&| ˈʌ w
hætte|h ˈε t ə 
hætteklædte|h ˈε t ə k l ε d ə 
hætten|h ˈε d ə n
hætter|h ˈε t ʔʌ 
hættetrøje|h ˈε t ə t ɐ̯ ʌ j ə 
hættetrøjer|h ˈε t ə t ɐ̯ ʌ j ˌʔʌ
hævdede|h ˈε w d ə ð ə
hævder|h ˈε w d ʔʌ
hævdes|h ˈε w d ə  s
hævdet|h ˈε w d ə ð
hæveautomat|h ˈɛ ʋ ə  ˌɑ u t ˌʔo m a t
hævede|h ˈɛ ʋ ə ð ə
hævekort|h ˈɛ ʋ ə k ɒɒ t
hæver|h ˈɛ ʋ ʔʌ 
hæves|h ˈɛ ʋ ə  s
hævesænkebord|h ˈɛ ʋ ə s ε n k ˌʔe b ʔo ɐ̯
hævet|h ˈɛ ʋ ə ð
hævn|h ˈε w n
hævn'|h ˈε w n
hævne|h ˈε w n ə 
hævnerup|h ˈε w n ə ʁ ɒ p
hævnet|h ˈε w n ə ð
hævngerrigt|h ˈε w n ɡ ɛ ɐ̯ ʁ ˌʔi t
hævninger|h ˈε w n ʔe ŋ ˌʔʌ
hævnlysten|h ˈε w n l œ s d ə n
hævntørst|h ˈε w n t ʔœ ɐ̯ s t
héctor|h ˈʔe k t ʔʌ
hédi|h ˈʔe ð ʔi
hélène|h ˈʔe l ə n ə
hér|h ˈʔe ɐ̯
höper|h ˈœ p ʔʌ 
hörup|h ˈʔœ ʁ ɒ p
hövdings|h ˈʔœ ʋ d ʔe ŋ s
høbjerg|h ˈʔœ b j ε ɐ̯ w
høeg|h ˈʔœ ʔe ɡ
høegh|h ˈʔœ ʔe ɡ h
høet|h ˈʔœ ə ð
høfder|h ˈʔœ f d ʔʌ 
høfeber|h ˈœ f ʔe b ˌʔʌ
høfler|h ˈʔœ f l ʔʌ 
høflig|h ˈʔœ f l ʔi
høfligere|h ˈʔœ f l i ˌʌ ʔʌ
høflighed|h ˈʔœ f l ʔi h ˌʔe ð
høfligt|h ˈʔœ f l ʔi t
høgh|h ˈʔœ j h
høgs|h ˈʔœ j s
høholt|h ˈʔœ h ʔʌ l t
høiby|h ˈʔœ ʔi b ˌʔy
høie|h ˈʔœ ʔi ə 
høier|h ˈʔœ j ʔʌ 
høj|h ˈʔʌ j
høj'|h ˈʔʌ j
højbede|h ˈʔʌ j b ə ð ə
højbjerg|h ˈʔʌ j b j ε ɐ̯ w
højbjerre|h ˈʔʌ j b j ɛ ɐ̯ ˌʔʌ
højblade|h ˈʔʌ j b l a ð ə 
højborge|h ˈʔʌ j b ɒɒ w ə 
højbroen|h ˈʔʌ j b ɐ̯ ʔo ə n
højby|h ˈʔʌ j b ʔy
højbyen|h ˈʔʌ j b ʔy ə n
højden|h ˈʔʌ j d ə n
højdepunkter|h ˈʔʌ j d ə p ɒ ŋ t ˌʔʌ
højdepunkterne|h ˈʔʌ j d ə p ɒ ŋ t ˌʔʌ n ə
højder|h ˈʔʌ j d ʔʌ 
højdespring|h ˈʔʌ j d ε s p ʁ ˌʔe ŋ
højdespringer|h ˈʔʌ j d ε s p ʁ ˌʔe ŋ ʔʌ
høje|h ˈʌ j ə
højelt|h ˈʌ j ə l t
højen|h ˈʌ j ə n
højene|h ˈʌ j ə n ə
højer|h ˈʌ j ʔʌ
højere|h ˈʌ j ʔʌ ˌʔʌ
højerup|h ˈʌ j ʔʌ ˌɒ p
højest|h ˈʌ j ə s t
højestbydende|h ˈʌ j ε s t b ˌy ð ə n ə
højeste|h ˈʌ j ə s d ə
højesteret|h ˈʌ j ε s t ə ʁ ˌa t
højesterets|h ˈʌ j ε s t ə ʁ ˌa t s
højesteretsbygningens|h ˈʌ j ε s t ə ʁ ˌa t s b ʔy ɡ n ˌʔe ŋ ə n s
højesteretsdommer|h ˈʌ j ε s t ə ʁ ˌa t s d ʔʌ m ˌʔʌ 
højesteretsdommere|h ˈʌ j ε s t ə ʁ ˌa t s d ʔʌ m ˌʔʌ ʔʌ
højesteretten|h ˈʌ j ε s t ə ʁ ˌa t d ə n
højesteret«|h ˈʌ j ε s t ə ʁ ˌa t
højgaard|h ˈʔʌ j ɡ a ˌɑ d
højgravid|h ˈʔʌ j ɡ ʁ ?ɑ ʋ ˌʔi ð
højgravide|h ˈʔʌ j ɡ ʁ ?ɑ ʋ ˌi ð ə 
højgravid…|h ˈʔʌ j ɡ ʁ ?ɑ ʋ ˌʔi ð
højhastighedsbane|h ˈʔʌ j h a s t ˌʔi ɡ h ʔe ð s b ˌa n ə 
højhastighedstoget|h ˈʔʌ j h a s t ˌʔi ɡ h ʔe s t ˌɒ w ə ð
højhed|h ˈʔʌ j h ʔe ð
højholt|h ˈʔʌ j h ʔʌ l t
højhus|h ˈʔʌ j h ʔu s
højhuse|h ˈʔʌ j h u s ə 
højhusets|h ˈʔʌ j h ʔu s ə ð s
højhælede|h ˈʔʌ j h ɛ l ə ð ə
højkant|h ˈʔʌ j k a n t
højkonjunktur|h ˈʔʌ j k ʔʌ n j ˌɒ ŋ t ʔu ɐ̯
højkonjunkturens|h ˈʔʌ j k ʔʌ n j ˌɒ ŋ t ʔu ɐ̯ ˌʔʌ n s
højkulturelle|h ˈʔʌ j k ʔu l t ˌu ʁ ε l ə
højlager|h ˈʔʌ j l a j ˌʌ
højland|h ˈʔʌ j l a n
højlandet|h ˈʔʌ j l a n ə ð
højlands|h ˈʔʌ j l a n s
højlund|h ˈʔʌ j l ɒ n
højlunds|h ˈʔʌ j l ɒ n s
højlydt|h ˈʔʌ j l ʔy t
højlydte|h ˈʔʌ j l ʔy d ə 
højlys|h ˈʔʌ j l ʔy s
højmark|h ˈʔʌ j m ɑɑ k
højmessen|h ˈʔʌ j m ʔe s ə n
højmesserne|h ˈʔʌ j m ʔe s ˌʔʌ n ə
højmose|h ˈʔʌ j m o s ə 
højmoser|h ˈʔʌ j m o s ˌʔʌ 
højne|h ˈʔʌ j n ə 
højner|h ˈʔʌ j n ʔʌ 
højnet|h ˈʔʌ j n ə ð
højniveaufag|h ˌʔʌ j n i ʋ ˈʔo f a j
højnordiske|h ˈʔʌ j n ʔo ɐ̯ d ˌʔi s ɡ ə 
højnæsvej|h ˈʔʌ j n ε s ʋ ˌ?ɑ j
højre|h ˈʔʌ j ʁ ʔʌ
højrebacken|h ˈʔʌ j ɐ̯ ʔʌ b ˌ?ɑ k ə n
højreben|h ˈʔʌ j ɐ̯ ʔʌ b ˌʔe n
højrebenet|h ˈʔʌ j ɐ̯ ʔʌ b ˌʔe n ə ð
højredrejende|h ˈʔʌ j ɐ̯ ʔʌ ð ʁ ˌ?ɑ j ə n ə 
højredrejet|h ˈʔʌ j ɐ̯ ʔʌ ð ʁ ˌaɪ ə ð
højreekstremisme|h ˌʔʌ j ɐ̯ ʔʌ ε k s t ʁ ˈe m ʔi s m ə 
højrefløj|h ˈʔʌ j ɐ̯ ʔʌ f l ˌʔʌ j
højrefløjen|h ˈʔʌ j ɐ̯ ʔʌ f l ˌʌ j ə n
højrefløjens|h ˈʔʌ j ɐ̯ ʔʌ f l ˌʌ j ə n s
højrefløjsparti|h ˈʔʌ j ɐ̯ ʔʌ f l ˌʔʌ j s p ɑ t ˌʔi
højrefløjspolitikere|h ˈʔʌ j ɐ̯ ʔʌ f l ˌʔʌ j s p o l ˌʔi t ʔi k ˌʔʌ ʔʌ
højrehåndet|h ˈʔʌ j ɐ̯ ʔʌ h ˌʔʌ n ə ð
højreklikke|h ˈʔʌ j ɐ̯ ʔʌ k l ˌʔe k ə 
højrenæssances|h ˈʔʌ j ɐ̯ ʔʌ n ˌε s ?ɑ ŋ s ə s
højreorienterede|h ˈʔʌ j ɐ̯ ʔʌ ˌɒ j ə n t ˌe ɐ̯ ʔʌ ð ə
højreorienteret|h ˈʔʌ j ɐ̯ ʔʌ ˌɒ j ə n t ˌʔe ɐ̯ ə ð
højreradikale|h ˈʔʌ j ɐ̯ ʔʌ ʁ ˌ?ɑ ð ʔe k ˌa l ə 
højresvingende|h ˈʔʌ j ɐ̯ ʔʌ s ʋ ˌʔe ŋ ə n ə
højresvingsbane|h ˈʔʌ j ɐ̯ ʔʌ s ʋ ˌʔe ŋ s b a n ə 
højresvingsbanen|h ˈʔʌ j ɐ̯ ʔʌ s ʋ ˌʔe ŋ s b a n ə n
højrisiko|h ˈʔʌ j ʁ ʔi s ˌʔi k ʔo
højrisikogrupper|h ˈʔʌ j ʁ ʔi s ˌʔi k ʔo ɡ ʁ ˌʔu p ʔʌ
højrup|h ˈʔʌ j ʁ ɒ p
højrøstet|h ˈʔʌ j ʁ ʔœ s t ə ð
højsgaard|h ˈʔʌ j s ɡ a ˌɑ d
højskole|h ˈʔʌ j s k o l ə
højskoleelever|h ˈʔʌ j s k o l ə  ˌʔe l ʔe ʋ ˌʔʌ
højskoleeleverne|h ˈʔʌ j s k o l ə  ˌʔe l ʔe ʋ ˌʔʌ n ə
højskolefolket|h ˈʔʌ j s k o l ə f ˌʔʌ l k ə ð
højskoleforening|h ˈʔʌ j s k o l ə f ˌɒ ε n ˌʔe ŋ
højskolekurser|h ˈʔʌ j s k o l ə k ˌʔu ɐ̯ s ʔʌ 
højskolelærer|h ˈʔʌ j s k o l ə l ˌɛ ʌ
højskolen|h ˈʔʌ j s k o l ə n
højskoleophold|h ˈʔʌ j s k o l ə  ˌʔʌ p h ʔʌ l
højskoler|h ˈʔʌ j s k o l ˌʔʌ 
højskolerne|h ˈʔʌ j s k o l ˌʔʌ n ə
højskolesang|h ˈʔʌ j s k o l ə s ˌ?ɑ ŋ
højskolesangbog|h ˈʔʌ j s k o l ə s ˌ?ɑ ŋ b ɒ w
højskolesangbogen|h ˈʔʌ j s k o l ə s ˌ?ɑ ŋ b ɒ w ə n
højskolesangbogsudvalget|h ˈʔʌ j s k o l ə s ˌ?ɑ ŋ b ɒ w s ˌʔu ð ʋ a l j ə ð
højskolesangbøger|h ˈʔʌ j s k o l ə s ˌ?ɑ ŋ b ʔœ j ˌʔʌ
højskolevenstre|h ˈʔʌ j s k o l ə ʋ ˌʔe n s t ʁ ʔʌ
højslette|h ˈʔʌ j s l ε t ə 
højsletvej|h ˈʔʌ j s l ε t ʋ ˌ?ɑ j
højsommeren|h ˈʔʌ j s ʔʌ m ˌʔʌ ʔʌ n
højspændingselektrode|h ˌʔʌ j s p ε n ʔe ŋ s ˈe l ə k t ʁ ʔo ð ə 
højspændingsmaster|h ˈʔʌ j s p ε n ˌʔe ŋ s m a s t ˌʔʌ 
højspændingsnettet|h ˈʔʌ j s p ε n ˌʔe ŋ s n ʔe t ə ð
højspændt|h ˈʔʌ j s p ε n t
højspændte|h ˈʔʌ j s p ε n d ə 
højstemte|h ˈʔʌ j s t ε m d ə 
højstrup|h ˈʔʌ j s t ʁ u p
højstruphave|h ˈʔʌ j s t ʁ u p h ˌa ʋ ə 
højsæde|h ˈʔʌ j s ɛ ð ə 
højsædet|h ˈʔʌ j s ɛ ð ə ð
højsæson|h ˈʔʌ j s ε s ˌʔʌ ŋ
højsæsonen|h ˈʔʌ j s ε s ˌʔʌ ŋ ə n
højt|h ˈʔʌ j t
højtalere|h ˈʔʌ j t a l ˌʔʌ ʔʌ
højtaleren|h ˈʔʌ j t a l ˌʌː ʌ n
højtalerne|h ˈʔʌ j t a l ˌʔʌ n ə
højte|h ˈʔʌ j d ə 
højteknologisk|h ˌʔʌ j t ə k n ʔo l ɒ ɡ ˈʔi s k
højtflyvende|h ˈʔʌ j t f l y ʋ ə n ə
højtid|h ˈʔʌ j t ʔi ð
højtidelig|h ʔʌ j t ˈʔi ð ə l i
højtidelighed|h ʔʌ j t ˈʔi ð ə l i h ˌʔe ð
højtiden|h ˈʔʌ j t ʔi ð ə n
højtider|h ˈʔʌ j t ʔi ð ˌʌ
højtliggende|h ˈʔʌ j t l ʔe ɡ ə n ə
højtlæsning|h ˈʔʌ j t l ε s n ˌʔe ŋ
højtlæsningsundervisning|h ˈʔʌ j t l ε s n ˌʔe ŋ s ɒ n ˌʔʌ ʋ ʔi s n ˌʔe ŋ
højtryk|h ˈʔʌ j t ʁ ʔœ k
højtrykkene|h ˈʔʌ j t ʁ ʔœ k ə n ə
højtryksdamp|h ˈʔʌ j t ʁ ʔœ k s d ˌ?ɑ m p
højtryksvejr|h ˈʔʌ j t ʁ ʔœ k s ʋ ˌε ɐ̯
højtstående|h ˈʔʌ j t s t ɒ ə n ə
højttalere|h ˈʔʌ j t a l ˌʔʌ ʔʌ
højttalerne|h ˈʔʌ j t a l ˌʔʌ n ə
højtuddannede|h ˈʔʌ j t ʔu ð d ˌa n ə ð ə
højtydende|h ˈʔʌ j t y ð ə n ə
højvande|h ˈʔʌ j ʋ a n ə 
højvandsvagt|h ˈʔʌ j ʋ a n s ʋ ˌa j t
højvang|h ˈʔʌ j ʋ ?ɑ ŋ
hølmkjær|h ˈʔœ l m k j ε ɐ̯
høm|h ˈʔœ m
hønborg|h ˈʔœ n b ɒɒ w
hønen|h ˈœ n ə n
høng|h ˈʔœ ŋ
hønge|h ˈʔœ ŋ ə 
hønseagtigt|h ˈʔœ n s ə  ?ɑ ɡ t ˌʔi t
hønsefræsere|h ˈʔœ n s ə f ʁ ɛ s ˌʔʌ ʔʌ
hønsegård|h ˈʔœ n s ə ɡ ɒɒ
hønsegården|h ˈʔœ n s ə ɡ ɒɒ ˌʔʌ n
hønsehus|h ˈʔœ n s ə h ʔu s
hønsene|h ˈʔœ n s ə n ə
hønsesalat|h ˈʔœ n s ə s a l ˌa t
hønsesuppen|h ˈʔœ n s ə s ɔ p ə n
hønseæg|h ˈʔœ n s ə  ε ɡ
hønsinge|h ˈʔœ n s ʔe ŋ ə 
høper|h ˈœ p ʔʌ 
høpfner|h ˈʔœ p f n ʔʌ 
hørby|h ˈʔœ ɐ̯ b ʔy
hørdum|h ˈʔœ ɐ̯ d ɒ m
høreapparat|h ˈœ ʔʌ ˌ?ɑ p ɑ ʁ ˌ?ɑ t
høreapparatet|h ˈœ ʔʌ ˌ?ɑ p ɑ ʁ ˌɑ t ə ð
hørebøffer|h ˈœ ʔʌ b ˌʔœ f ʔʌ 
hørehandicap|h ˈœ ʔʌ h ˌa n d ʔi k ˌɑ p
hørehæmmet|h ˈœ ʔʌ h ˌε m ə ð
hørelsen|h ˈœ ʔʌ l s ə n
hørenedsættelse|h ˈœ ʔʌ n ˌʔe ð s ε t ə l s ə 
høreområdet|h ˈœ ʔʌ ˌʔʌ m ʁ ɒ ð ə ð
hører|h ˈœ ʔʌ
høres|h ˈœ ʔʌ s
høresansen|h ˈœ ʔʌ s ˌa n s ə n
høreskadet|h ˈœ ʔʌ s k ˌa ð ə ð
hørespecialist|h ˈœ ʔʌ s p ˌʔe s j a l ˌʔi s t
høretelefoner|h ˈœ ʔʌ t ˌʔe l ə f o n ˌʔʌ 
høretelefonerne|h ˈœ ʔʌ t ˌʔe l ə f o n ˌʔʌ n ə
hørgult|h ˈʔœ ɐ̯ u ˌʔu l t
høring|h ˈœ ʁ ʔe ŋ
høringen|h ˈœ ʁ ʔe ŋ ə n
høringer|h ˈœ ʁ ʔe ŋ ˌʔʌ
høringerne|h ˈœ ʁ ʔe ŋ ˌʔʌ n ə
høringsbrev|h ˈœ ʁ ʔe ŋ s b ɐ̯ ˌε w
høringsfristen|h ˈœ ʁ ʔe ŋ s f ʁ ˌʔe s d ə n
høringsperiode|h ˈœ ʁ ʔe ŋ s p ˌε ʁ ʔi ˌo ð ə 
høringsperioden|h ˈœ ʁ ʔe ŋ s p ˌε ʁ ʔi ˌo ð ə n
høringsprocessen|h ˌœ ʁ ʔe ŋ s p ʁ o s ˈε s ə n
høringssvar|h ˈœ ʁ ʔe ŋ s ʋ ˌɑ
høringssvarene|h ˈœ ʁ ʔe ŋ s ʋ ˌɑ ɑ  n ə 
hørkram|h ˈʔœ ɐ̯ k ʁ ?ɑ m
hørkær|h ˈʔœ ɐ̯ k ε ɐ̯
hørning|h ˈʔœ ɐ̯ n ʔe ŋ
hørsholm|h ˈʔœ ɐ̯ s h ʔʌ l m
hørsholmparken|h ˈʔœ ɐ̯ s h ʔʌ l m p ˌɑ k ə n
hørsholms|h ˈʔœ ɐ̯ s h ʔʌ l m s
hørskætten|h ˈʔœ ɐ̯ s k ε d ə n
hørt|h ˈʔœ ɐ̯ t
hørte|h ˈʔœ ɐ̯ d ə
hørup|h ˈʔœ ʁ ɒ p
hørups|h ˈʔœ ʁ ɒ p s
hørve|h ˈʔœ ɐ̯ ʋ ə 
høsletdag|h ˈʔœ s l ε t d ˌa
høstarbejde|h ˈʔœ s t ɑ b ˌ?ɑ j d ə 
høstbal|h ˈʔœ s t b a l
høstede|h ˈʔœ s t ə ð ə
høsten|h ˈʔœ s d ə n
høster|h ˈʔœ s t ʔʌ
høsterkøb|h ˈʔœ s t ʔʌ k ˌʔœ b
høstes|h ˈʔœ s d ə  s
høstet|h ˈʔœ s t ə ð
høstfestivallen|h ˈʔœ s t f ε s t ˌʔi ʋ a l ə n
høstgaard|h ˈʔœ s t ɡ a ˌɑ d
høstmarked|h ˈʔœ s t m ɑ k ə ð
høstmoden|h ˈʔœ s t m o ð ə n
høstrup|h ˈʔœ s t ʁ u p
høsttid|h ˈʔœ s t ʔi ð
høve|h ˈœ ʋ ə 
høvedstensvej|h ˈœ ʋ ə s t ʔe n s ʋ ˌ?ɑ j
høvelte|h ˈœ ʋ ə l d ə 
høvlinger|h ˈʔœ w l ʔe ŋ ˌʔʌ
høvlspån|h ˈʔœ w l s p ɒ n
høy|h ˈʔœ ʔy
høybye|h ˈʔœ ʔy b ˌʔy ə 
høyer|h ˈʔœ ʔy ˌʔʌ 
høyersten|h ˈʔœ ʔy ˌʔʌ s d ə n
høyrup|h ˈʔœ ʔy ʁ ˌɒ p
hülkenberg|h ˈʔy l k ε n b ˌε ɐ̯ w
hüttel|h ˈʔy t ə l
hüttemeier|h ˈʔy t ə m ʔe j ˌʔʌ 
hütter|h ˈʔy t ʔʌ 
i| ˈi 
iaaf|ˈʔi a ˌa f
iagttagelsen|ˈʔi ?ɑ ɡ t ˌa j ə l s ə n
iagttager|ˈʔi ?ɑ ɡ t ˌa j ʔʌ
iagttagere|ˈʔi ?ɑ ɡ t ˌa j ʌ ˌʔʌ
iagttageres|ˈʔi ?ɑ ɡ t ˌa j ʌ ˌʔʌ s
ialt|ˈʔi a l t
ianis|ˈʔi a n ˌʔi s
iata|ˈʔi a t ˌa
ib|ˈʔi b
ibc|ˈʔi b k
iben|ˈʔi b ə n
ibenholdt|ˈʔi b ʔe n h ˌʔʌ l t
ibentræ|ˈʔi b ʔe n t ʁ ˌε
ibf|ˈʔi b f
ibirité|ˌʔi b ʔi ʁ ʔi t ˈʔe
ibis|ˈʔi b ʔi s
iblandet|ˈʔi b l a n ə ð
iblandt|ˈʔi b l a n t
ibm|ˈʔi b m
iboende|ˈʔi b ʔo ə n ə
ibragimova|ˈʔi b ɐ̯ ?ɑ w ˌʔi m ɔ w ˌa
ibrahim|ˈʔi b ɐ̯ ?ɑ h ˌʔe m
ibrahimovic|ˈʔi b ɐ̯ ?ɑ h ˌʔe m ɔ w ˌʔi k
ibrugtagelse|ˈʔi b ɐ̯ ɒ t ˌa j ə l s ə 
ibrugtagning|ˈʔi b ɐ̯ ɒ t ˌa j n ʔe ŋ
ibsen|ˈʔi b s ə n
ibyen|ˈʔi b ʔy ə n
ibyens|ˈʔi b ʔy ə n s
ic|ˈʔi k
ice|ˈʔi s ə 
icebreaker|ˈʔi s ʔe b ɐ̯ ˌε j k ʔʌ 
ices|ˈʔi s ə  s
id|ˌiː d ˈe
ida|ˈʔi ð a
idag|ˈʔi d a
idaho|ˌaɪ d a h ˈo w
idarus|ˈʔi ð ɑ ʁ ˌʔu s
idas|ˈʔi ð a s
idc|ˈʔi ð k
ide|ʔi d ˈʔe
ideal|ʔi d ˈʔe ˈa l
idealer|ʔi d ˈʔe ˈa l ʔʌ 
idealerne|ʔi d ˈʔe ˈa l ʔʌ n ə
idealistiske|ʔi d ˌʔe a l ˈi s t ʔi s ɡ ə 
idealoffice|ʔi d ˈʔe ˈa l ʔʌ f ˌi s ə 
ideel|ˌʔi d e ˈε l
ideele|ˌʔi d e ˈε l ə
ideelle|ˌʔi d e ˈε l ə 
ideelt|ˌʔi d e ˈε l t
ideen|ʔi d ˈʔeː ə n
ideer|ʔi d ˈʔe ʔʌ
ideerne|ʔi d ˈʔe ʔʌ n ə
idehistoriker|ʔi d ˈʔe h ʔi s t ˌʔo ɐ̯ ʔi k ˌʔʌ
idekatalog|ʔi d ˌʔe k a t a l ˈɒ
idekonkurrence|ʔi d ˈʔe k ʔʌ ŋ k ˌʔu ʁ ɑ ŋ s ə
idemændene|ʔi d ˈʔe m ε n ə n ə
identificere|ˌʔi d ε n t ʔi f ˌi s ˈe ʔʌ
identificerer|ˌʔi d ε n t ʔi f ˌi s ˈe ʔʌ 
identificeres|ˌʔi d ε n t ʔi f ˌi s ˈe ʔʌ s
identificeret|ˌʔi d ε n t ʔi f ˌi s ˈe ʌ ð
identifikation|ˌʔi d ε n t ˌʔi f ʔi k a ʃ ˈʔo n
identifikationen|ˌʔi d ε n t ˌʔi f ʔi k a ʃ ˈʔo n ə n
identifikationslinje|ˌʔi d ε n t ˌʔi f ʔi k a ʃ ˈʔo n s l ʔi n j ə 
identisk|ʔi d ˈε n t ʔi s ɡ
identiske|ʔi d ˈε n t ʔi s ɡ ə 
identitet|ˌʔi d ε n t ʔi t ˈʔe t
identiteten|ˌʔi d ε n t ʔi t ˈʔe t ə n
identiteter|ˌʔi d ε n t ʔi t ˈʔe t ʔʌ 
identitets|ˌʔi d ε n t ʔi t ˈʔe t s
identitetskrise|ˌʔi d ε n t ʔi t ˈʔe t s ɡ ʁ i s ə 
identitetspolitik|ˌʔi d ε n t ʔi t ˈʔe t s p o l ˌʔi t ʔi k
identitetspolitiske|ˌʔi d ε n t ʔi t ˈʔe t s p o l ˌʔi t ʔi s k ə 
identitetstyveri|ˌʔi d ε n t ʔi t ˈʔe t s t yː w ʁ ˌʔi
ideologi|ʔi d ˈʔe ʔo l o ɡ ˈʔi
ideologien|ʔi d ˈʔe ʔo l o ɡ ˈʔi ə n
ideologier|ʔi d ˈʔe ʔo l o ɡ j ˈʔʌ 
ideologisk|ʔi d ˈʔe ʔo l ˈo ʔi s ɡ
ideologiske|ʔi d ˈʔe ʔo l ˈo ʔi s ɡ ə
idet|ʔi d ˈʔe
ideværket|ʔi d ˈʔe ʋ ε ɐ̯ k ə ð
idg|ˈʔi ð ɡ
idiosynkrasier|ˈʔi ð ʔi ˌʔo s ʔy n k ʁ ˌ?ɑ s j ʔʌ
idiot|ˌʔi ð ʔi ˈʔo t
idioterne|ˌʔi ð ʔi ˈʔo t ʔʌ n ə
idiotisk|ˌʔi ð ʔi ˈʔo t ʔi s ɡ
idlib|ˈʔi ð l ʔi b
idningen|ˈʔi ð n ʔe ŋ ə n
idol|ʔi d ˈʔo l
idolerne|ʔi d ˈʔo l ʔʌ n ə
idom|ˈʔi ð ʔʌ m
idomlund|ˈʔi ð ʔʌ m l ˌɒ n
idriftsættelsen|ˈʔi ð ʁ ʔe f t s ˌε t ə l s ə n
idriss|ˈʔi ð ʁ ʔi s
idræts|ˈʔi ð ʁ ?a t s
idrætsaktiviteter|ˈʔi ð ʁ ?a t s ˌ?ɑ k t ʔi ʋ ˌi t ʔe t ˌʔʌ 
idrætsanlæg|ˈʔi ð ʁ ?a t s ˌa n l ε ɡ
idrætsanlæggene|ˈʔi ð ʁ ?a t s ˌa n l ε ɡ ə n ə
idrætsbegivenheder|ˈʔi ð ʁ ?a t s b ˌʔe ɡ i ʋ ə n h ˌʔe ð ʌ
idrætsbyen|ˈʔi ð ʁ ?a t s b ˌʔy ə n
idrætscenter|ˈʔi ð ʁ ?a t s ˌɛ n t ʔʌ 
idrætscentret|ˈʔi ð ʁ ?a t s ˌɛ n t ɐ̯ ʔʌ ð
idrætscentrets|ˈʔi ð ʁ ?a t s ˌɛ n t ɐ̯ ə ð s
idrætsefterskole|ˈʔi ð ʁ ?a t s ˌε f t ʔʌ s k ˌo l ə 
idrætsfaciliteter|ˈʔi ð ʁ ?a t s f ˌa s ʔi l ˌi t ʔe t ˌʔʌ 
idrætsfaglige|ˈʔi ð ʁ ?a t s f a j l ˌi ə
idrætsfolk|ˈʔi ð ʁ ?a t s f ˌʔʌ l k
idrætsforbund|ˈʔi ð ʁ ?a t s f ˌʌː b ɒ n
idrætsforbunds|ˈʔi ð ʁ ?a t s f ˌʌː b ɒ n s
idrætsforening|ˈʔi ð ʁ ?a t s f ˌɒ ε n ˌʔe ŋ
idrætsforeningen|ˈʔi ð ʁ ?a t s f ˌɒ ε n ˌʔe ŋ ə n
idrætsforeninger|ˈʔi ð ʁ ?a t s f ˌɒ ε n ˌʔe ŋ ʔʌ
idrætsforeningerne|ˈʔi ð ʁ ?a t s f ˌɒ ε n ˌʔe ŋ ʔʌ n ə
idrætsforeningernes|ˈʔi ð ʁ ?a t s f ˌɒ ε n ˌʔe ŋ ʔʌ n ə s
idrætsfælleskabet|ˈʔi ð ʁ ?a t s f ˌε l ε s k ˌa b ə ð
idrætsgrene|ˈʔi ð ʁ ?a t s ɡ ʁ ˌɛ n ə
idrætshal|ˈʔi ð ʁ ?a t s h ˌa l
idrætshaller|ˈʔi ð ʁ ?a t s h ˌa l ʔʌ 
idrætshallerne|ˈʔi ð ʁ ?a t s h ˌa l ʔʌ n ə
idrætshistoriker|ˈʔi ð ʁ ?a t s h ˌʔi s t ʔo ɐ̯ ˌʔi k ʔʌ
idrætshøjskole|ˈʔi ð ʁ ?a t s h ˌʔʌ j s k o l ə 
idrætsklubben|ˈʔi ð ʁ ?a t s k l ˌʔu b ə n
idrætsklubber|ˈʔi ð ʁ ?a t s k l ˌʔu b ʔʌ
idrætsklubberne|ˈʔi ð ʁ ?a t s k l ˌʔu b ʔʌ n ə
idrætslederpris|ˈʔi ð ʁ ?a t s l ˌʔe ð ʔʌ p ʁ ˌʔi s
idrætslederprisen|ˈʔi ð ʁ ?a t s l ˌʔe ð ʔʌ p ʁ ˌʔi s ə n
idrætsliv|ˈʔi ð ʁ ?a t s l ˌʔi w
idrætslivet|ˈʔi ð ʁ ?a t s l ˌʔi ʋ ə ð
idrætsmedicin|ˈʔi ð ʁ ?a t s m ˌʔe ð ʔi s ˌʔi n
idrætsministerium|ˈʔi ð ʁ ?a t s m ˌʔi n ʔi s t ˌʔe ɐ̯ j ɒ m
idrætsmuligheder|ˈʔi ð ʁ ?a t s m ˌu l ʔi h ˌʔe ð ʌ
idrætsområdet|ʔi ð ʁ ˈ?a t s ʔʌ m ʁ ˌɒ ð ə ð
idrætsorganisationer|ˈʔi ð ʁ ?a t s ˌɒ ɡ a n ˌʔi s a ʃ ˌo n ʔʌ 
idrætspark|ˈʔi ð ʁ ?a t s p ˌɑɑ k
idrætsparken|ˈʔi ð ʁ ?a t s p ˌɑ k ə n
idrætsparkprojektet|ˈʔi ð ʁ ?a t s p ˌɑɑ k p ʁ o ʃ ˌʔe k t ə ð
idrætsplads|ˈʔi ð ʁ ?a t s p l ˌa s
idrætspladsen|ˈʔi ð ʁ ?a t s p l ˌa s ə n
idrætspolitik|ˈʔi ð ʁ ?a t s p ˌo l ʔi t ˌʔi k
idrætspriserne|ˈʔi ð ʁ ?a t s p ʁ ˌʔi s ʔʌ n ə
idrætsskole|ˈʔi ð ʁ ?a t s k ˌo l ə 
idrætsskoler|ˈʔi ð ʁ ?a t s k ˌo l ʔʌ 
idrætstalent|ˈʔi ð ʁ ?a t s t ˌa l ə n t
idrætstid|ˈʔi ð ʁ ?a t s t ˌʔi ð
idrætstilbud|ˈʔi ð ʁ ?a t s t ˌʔe l b ʔu ð
