&|ɟ ˈəʊɜ v ˌaː2 
lợi|l ˈəː6 j 
lợi”|l ˈəː6 j 
lợm|l ˈəː6 m
lợn…|l ˈəː6 n 
lợt|l ˈəː6 t̪
lụ|l ˈu6
lục|l ˈu6 c
lụcđúng|(en) ˌɛ1 l l ˌe1 t ə1  m ˈo1 z t̪  ə1  ə1  n ˌa1 m  s ˈiː1 d ˈʌ7 ŋ (vi)
lụi|l ˈu6 j
lụng|l ˈu6 ŋ
lụp|l ˈu6 p
lụy|l w ˈi6
lủ|l ˈu4
lủi|l ˈu4 j
lủm|l ˈu4 m
lủn|l ˈu4 n 
lức|l ˈyɜ c
lứt|l ˈyɜ t̪
lứu|l ˈiɜ w 
lừ|l ˈy2
lừa|l ˈyə2 
lừa”|l ˈyə2 
lử|l ˈy4
lửa|l ˈyə4 
lửa'|l ˈyə4 
lửa”|l ˈyə4 
lữ|l ˈy5
lữa|l ˈyə5
lững|l ˈy5 ŋ
lực|l ˈy6 c
lực”|l ˈy6 c 
lực…|l ˈy6 c 
lỳ|l ˈi2
lỵ|l ˈi6
l’aurora|l ˈa7 w z ɔ1 z ˌaː1 
l’equipe| ˈɛ1 l ˈɛ7 k w aɪ1 p  
l’oreal| ˈɛ1 l ˈɔːɔː ɹ iə1 l  
l’équipe|l ˈɛɜ k w j p ɛ1 
l”|ˈɛ7 l əː2 
m|ˈɛ7 m əː2
m&a|ˈɛ1 m əː2  ɟ ˈəʊɜ v ˌaː2  ˈaː7 
ma|m ˈaː7
mabel| m ˈeɪ7 b ələl  
mabkhout| m ˈa7 b k h aʊ1 t  
mac| m ˈa7 k  
macan| m ˈa7 k ə1 n  
macao| m ˈa7 k aʊ1  
macau| m ˈa7 k aʊ1  
macbook| m ˈa7 k b ʊ1 k  
macd| m ə1 k d ˈiː7  
mace| m ˈeɪ7 s  
macgregor| m ˈa7 k ɡ ɹ ɛ1 ɡ əə  
mack| m ˈa7 k  
maclean| m ə1 k l ˈiː7 n  
macmot| m ə1 k m ˈɒ7 t  
macro| m ˈa7 k ɹ əʊəʊ  
macron| m ˈa7 k ɹ ɒ1 n  
mad| m ˈa7 d  
madad| m ˈa7 d a1 d  
madam| m ˈa7 d ə1 m  
madame|(en) m ˈa7 d ə1 m (vi)
maddison| m ˈa7 d ɪ1 s ə1 n  
made| m ˈeɪ7 d  
madeleine| m ˈa7 d ə1 l ɪ1 n  
mademoisell|(en) m ˈeɪ7 d m ɔɪ1 s ˌɛ1 l (vi)
madero| m a1 d ˈeə7 ɹ əʊəʊ  
madrid| m ə1 d ɹ ˈɪ7 d  
madrid’s| m ə1 d ɹ ˈɪ7 d z  
maduro| m a1 d j ˈʊə7 ɹ əʊəʊ  
maeda| m ˈiː7 d ə1  
maersk| m ˈeə7 s k  
mag|ˈɛ1 m əː2  ˈaː1  ð ˈe7 
magalhaes| m ˈa7 ɡ ɐɐ l h ˌiː1 z  
maggi| m ˈa7 ɡ ii  
magiê| m ˈa7 dʒ ɪ1  ˌeə1  
magma| m ˈa7 ɡ m ə1  
magnolia| m a1 ɡ n ˈəʊəʊ l iə1  
magnésium|(en) m a1 ɡ n ˈeɪ7 s iə1 m (vi)
magnêsium|(en) m a1 ɡ n ˈeə7 s iə1 m (vi)
magsafe| m ˈa7 ɡ s eɪ1 f  
maguire| m ə1 ɡ w ˈaɪə7  
mahadma| m ˈa7 h a1 d m ə1  
maharlika| m ˈa7 h ɑːɑː l ˌɪ1 k ə1  
mahdi| m ˈɑː7 d ii  
mahek| m ˈa7 h ɛ1 k  
maher| m ˈa7 h əə  
mahinda| m a1 h ˈɪ7 n d ə1  
mahmoud| m a1 x m ˈuː7 d  
mahrez| m ˈɑː7 ɹ ɛ1 z  
mahuta| m ˈa7 h j uː1 t ə1  
mai|m ˈaː7 j
maiden|m ˈaː7 j z ɛ1 n 
maier| m ˈeɪ7 ə1 ɹ əə  
maignan|ˈɛ1 m əː2  ˈaː1  ˈi1  ð ˈe7  ˈɛ1 n əː2  ˈaː1  ˈɛ7 n əː2 
maika|ˈɛ1 m əː2  ˈaː1  ˈi1  k ˈaː1  ˈaː7 
mail| m ˈeɪ7 l  
mailand| m ˈeɪ7 l ə1 n d  
mailène|m ˈaː7 j l ɛ2 n ˌɛ1
maine| m ˈeɪ7 n  
mainoo| m ˈeɪ7 n uː1  
mains|(en) m ˈeɪ7 n z (vi)
mais|(en) m ˈaɪ7 z (vi)
maison|m ˈaː7 j s ɔ1 n 
mai“|m ˈaː7 j 
mai”|m ˈaː7 j 
majesté|(en) m ɐɐ dʒ ɪ1 s t ˈeɪ7 (vi)
makarov| m ˈa7 k ɐɐ ɹ ˌɒ1 v  
make| m ˈeɪ7 k  
makeup| m ˈeɪ7 k ʌ1 p  
makhachev| m ˈa7 k h ɐɐ ʃ ˌɛ1 v  
makhir| m ˈa7 k h iə1  
makkelie| m ˈa7 k ɛ1 l ii  
maktoum| m a1 k t ˈuː7 m  
mal|(en) m ˈa7 l (vi)
malacca| m ˈa7 l a1 k ə1  
malacia| m a1 l ˈeɪ7 ʃ ə1  
malang| m ˈa7 l a1 ŋ  
malassezia| m ˌa1 l ɐɐ s ˈiː7 z iə1  
malaysia| m ə1 l ˈeɪ7 z iə1  
malaysia”| m ə1 l ˈeɪ7 z iə1  
malayxia| m ə1 l ˈeɪ7 k s iə1  
malcolm| m ˈa7 l k ə1 m  
maldives| m ɔː1 l d ˈiː7 v  
malen| m ˈeɪ7 l ə1 n  
malheureux|(en) m ˈa7 l h j uː1 ɹ ˌuː1 (vi)
mali| m ˈɑː7 l ii  
malibu| m ˈa7 l ɪ1 b ˌuː1  
malic| m ˈa7 l ɪ1 k  
malinovskyi| m ˈeɪ7 l ɪ1 n ˌɒ1 v s k ɪ1  ii  
malinovskyi…| m ˈeɪ7 l ɪ1 n ˌɒ1 v s k ɪ1  ii  
mall| m ˈa7 l  
malmortius| m a1 l m ˈɔːɔː t ɪ1  ə1 s  
malotaranovka| m ˈa7 l ə1 t ˌa1 ɹ ɐɐ n ˌɒ1 v k ə1  
malpass| m ˌa1 l p ˈaa s  
mama| m ˈa7 m ɐɐ  
maman|(en) m ˈa7 m ə1 n (vi)
man|m ˈaː7 n
managed| m ˈa7 n ɪ1 dʒ d  
management| m ˈa7 n ɪ1 dʒ m ə1 n t  
manager| m ˈa7 n ɪ1 dʒ əə  
manaker| m ˈa7 n eɪ1 k əə  
manchester| m ˈaa n tʃ ɛ1 s t əə  
manchin| m ˈaa n tʃ ɪ1 n  
mancini| m aa n s ˈiː7 n ɪ1  
mandala| m a1 n d ˈɑː7 l ə1  
mandara| m a1 n d ˈɑːɑː ɹ ə1  
mandarin| m ˈa7 n d ə1 ɹ ˌɪ1 n  
mandel| m ˈa7 n d ələl  
mane| m ˈeɪ7 n  
manet| m ˈa7 n ɪ1 t  
mang|m ˈaː7 ŋ
manga| m ˈa7 ŋ ɡ ə1  
manganese| m ˈa7 ŋ ɡ ə1 n ˌiː1 z  
mang’|m ˈaː7 ŋ 
mang”|m ˈaː7 ŋ 
manhattan| m a1 n h ˈa7 t ə1 n  
manila| m ɐɐ n ˈɪ7 l ə1  
manit| m ˈa7 n ɪ1 t  
mannschaft| m ˈa7 n ʃ aa f t  
mano| m ˈɑː7 n əʊəʊ  
manor| m ˈa7 n əə  
mansfield| m ˈa7 n s f iː1 l d  
mansions| m ˈa7 n ʃ ə1 n z  
mansory| m ˈa7 n s ə1 ɹ ii  
mansudae| m ˈa7 n s uː1 d ˌiː1  
manuconnect| m ˈa7 n j uː1 k ˌɒ1 n ɛ1 k t  
manuel| m a1 n w ˈɛ7 l  
manulife| m ˈa7 n j uː1 l ˌaɪ1 f  
manvelyan| m ˈa7 n v ɪ1 l ɪ1  ə1 n  
manzanal| m ˈa7 n z ə1 n ələl  
mao|m ˈaː7 w
maotanchang| m ˈaʊ7 t aa n tʃ ˌa1 ŋ  
map| m ˈa7 p  
maples| m ˈeɪ7 p ələl z  
maps| m ˈa7 p s  
mapuche| m ˈa7 p ʌ1 tʃ  
mar| m ˈɑːɑː  
maracana| m ˌa1 ɹ ɐɐ k ˈɑː7 n ə1  
maradona| m ˌa1 ɹ ɐɐ d ˈəʊəʊ n ə1  
maradona’| m ˌa1 ɹ ɐɐ d ˈəʊəʊ n ə1  
marathon| m ˈa7 ɹ ə1 θ ə1 n  
marc| m ˈɑːɑː k  
marca| m ˈɑːɑː k ə1  
marcel|(en) m ɑːɑː s ˈɛ7 l (vi)
marcella| m ɑːɑː s ˈɛ7 l ə1  
marciniak| m ˈɑːɑː s ɪ1 n ˌɪ1  a1 k  
marcio| m ˈɑːɑː s ɪ1  ˌəʊəʊ  
marco| m ˈɑːɑː k əʊəʊ  
marcos| m ˈɑːɑː k əʊəʊ z  
marcus| m ˈɑːɑː k ə1 s  
mareilaise|(en) m ˌeə1 ɹ ɪ1 l ˈeɪ7 z (vi)
margaret| m ˈɑːɑː ɡ ɹ ə1 t  
margaritatus| m ˈɑːɑː ɡ ɑːɑː ɹ ˌɪ1 t a1 t ə1 s  
margin| m ˈɑːɑː dʒ ɪ1 n  
margo| m ˈɑːɑː ɡ əʊəʊ  
margot|(en) m ˈɑːɑː ɡ ə1 t (vi)
margueritte|(en) m ˌɑːɑː ɡ əə ɹ ˈiː7 t (vi)
mari| m ˈa7 ɹ ii  
marian| m ˈa7 ɹ iə1 n  
marianne| m ˈa7 ɹ iə1 n  
marie| m ɐɐ ɹ ˈiː7  
marifah| m ˈa7 ɹ ɪ1 f ə1  
marina| m ə1 ɹ ˈiː7 n ə1  
marine|(en) m ə1 ɹ ˈiː7 n (vi)
marinos| m ə1 ɹ ˈiː7 n əʊəʊ z  
mario| m ˈa7 ɹ ɪ1  ˌəʊəʊ  
marios| m ˈa7 ɹ ɪ1  ˌəʊəʊ z  
mariott| m ˈa7 ɹ ɪ1  ə1 t  
mariupol| m ˈeə7 ɹ ɪ1 j ˌuː1 p ɒ1 l  
marius| m ˈeə7 ɹ ɪ1  ə1 s  
mariângela| m ˌa1 ɹ iə1 n dʒ ˈɛ7 l ə1  
marjorie| m ˈɑːɑː dʒ əə ɹ ii  
mark| m ˈɑːɑː k  
market| m ˈɑːɑː k ɪ1 t  
marketing| m ˈɑːɑː k ɪ1 t ɪ1 ŋ  
markez| m ˈɑːɑː k ɛ1 z  
markle| m ˈɑːɑː k ələl  
marko| m ˈɑːɑː k əʊəʊ  
markworth| m ˈɑːɑː k w ɜː1 θ  
marlel|(en) m ˈɑːɑː l ələl (vi)
marles| m ˈɑːɑː l z  
marochko| m a1 ɹ ˈɒ7 tʃ k əʊəʊ  
marq| m ˈɑːɑː k  
marques| m ˈɑːɑː k s  
marquinhos| m ɑːɑː k w ˈɪ7 n h əʊəʊ z  
marran| m ˈa7 ɹ ə1 n  
marrero| m a1 ɹ ˈeə7 ɹ əʊəʊ  
marriott| m ˈa7 ɹ ɪ1  ə1 t  
marris| m ˈa7 ɹ ɪ1 s  
mars| m ˈɑːɑː z  
marsch| m ˈɑːɑː ʃ  
marseille| m ɑːɑː s ˈeɪ7  
marshmallow| m ˈɑːɑː ʃ m ɐɐ l ˌəʊəʊ  
marta| m ˈɑːɑː t ə1  
martens| m ˈɑːɑː t ə1 n z  
martial| m ˈɑːɑː ʃ ələl  
martin| m ˈɑːɑː t ɪ1 n  
martinez| m ɑːɑː t ˈiː7 n ɛ1 z  
marvel| m ˈɑːɑː v ələl  
mary| m ˈeə7 ɹ ii  
maryah| m ˈeə7 ɹ ɪ1  ə1  
maryam| m ˈeə7 ɹ ɪ1  ˌa1 m  
maryland| m ˈeə7 ɹ ɪ1 l ˌa1 n d  
marzio| m ˈɑːɑː z ɪ1  ˌəʊəʊ  
mas| m ˈa7 s  
masan| m ˈa7 s ə1 n  
masataka| m ˌa1 s ɐɐ t ˈɑː7 k ə1  
mascara| m a1 s k ˈɑːɑː ɹ ə1  
mascot| m ˈa7 s k ɒ1 t  
masew| m ˈeɪ7 s uː1  
mashup| m ˈa7 ʃ ʌ1 p  
masked| m ˈaa s k t  
maslova| m ˈa7 s l ʌ1 v ə1  
masochism| m ˈa7 s ə1 k ˌɪ1 z ə1 m  
mason| m ˈeɪ7 s ə1 n  
massachusetts| m ˌa1 s ɐɐ tʃ ˈuː7 s ɪ1 t s  
massage| m ˈa7 s ɑː1 ʒ  
massda| m ˈa7 s d ə1  
massimiliano| m ˌa1 s ɪ1 m ˌɪ1 l ii  ˈɑː7 n əʊəʊ  
massimo| m a1 s ˈɪ7 m əʊəʊ  
master| m ˈaa s t əə  
mastercard| m ˈaa s t əə k ˌɑːɑː d  
masteri| m ˈaa s t əə ɹ ii  
masterise| m ˈaa s t ə1 ɹ ˌaɪ1 z  
masto| m ˈaa s t əʊəʊ  
mastromatteo| m ˌa1 s t ɹ ə1 m ɐɐ t ˈeɪ7 əʊəʊ  
mata| m ˈɑː7 t ə1  
matamata| m ˌa1 t ɐɐ m ˈɑː7 t ə1  
matanzas| m a1 t ˈa7 n z ə1 z  
match| m ˈa7 tʃ  
matcha| m ˈa7 tʃ ə1  
materials| m ə1 t ˈiə7 ɹ ii  ələl z  
mateu| m ˈa7 t j uː1  
mateusz| m ˈa7 t j uː1 s z  
mathew”| m ˈa7 θ j uː1  
mathias| m ˈa7 θ iə1 z  
mathide|(en) m ˈa7 θ aɪ1 d (vi)
mathieu| m ˈa7 θ ɪ1  ˌuː1  
matic| m ˈa7 t ɪ1 k  
matip| m ˈa7 t ɪ1 p  
matrix| m ˈeɪ7 t ɹ ɪ1 k s  
mats| m ˈa7 t s  
matsumoto| m ˌa1 t s uː1 m ˈəʊəʊ t əʊəʊ  
matt| m ˈa7 t  
mattarella| m ˌa1 t əə ɹ ˈɛ7 l ə1  
matter| m ˈa7 t əə  
matvey| m ˈa7 t v eɪ1  
matx| m ˈa7 t ɛ1 k s  
matxcơva| m a1 t k s k ˈəʊəʊ v ə1  
matzo| m ˈa7 t s əʊəʊ  
mau|m ˈa7 w
maua|m ˈa7 w aː1 
maunce|(en) m ˈɔː7 n s (vi)
maupassant|(en) m ˈɔː7 p aa s ə1 n t (vi)
maura|m ˈa7 w z aː1 
maurice|(en) m ˈɒ7 ɹ ɪ1 s (vi)
mauricio| m ɔː1 ɹ ˈɪ7 s ɪ1  ˌəʊəʊ  
mauro|m ˈa7 w z ɔ1 
maurras|(en) m ˈɔː7 ɹ ə1 z (vi)
mavin| m ˈa7 v ɪ1 n  
mawtãnã| m ɔː1 t ˈɑː7 n ə1  
max| m ˈa7 k s  
maximin| m ˈa7 k s ɪ1 m ˌɪ1 n  
may|m ˈa7 j
maya|m ˈa7 j aː1 
maybach|m ˈa7 j b e-1 c 
maybank| m ˈeɪ7 b a1 ŋ k  
mayron|m ˈa7 j z ɔ1 n 
mayuko|ˈɛ1 m əː2  ˈaː1  ˈi1  ˈu1  k ˈaː1  ˈɔ7 
mayweather| m ˈeɪ7 w ɛ1 ð əə  
mazda| m ˈa7 z d ə1  
mazrouei| m ˈa7 z ɹ aʊ1 ˌeɪ1  
mazut| m ˈa7 z ʌ1 t  
mà|m ˌaː2 
màn|m ˈaː2 n 
má|m ˈaːɜ 
mát|m ˈaːɜ t̪ 
mâu| m ˈa7 uː1  
mại|m ˈaː6 j 
mạn|m ˈaː6 n 
mạng|m ˈaː6 ŋ 
mạnh|m ˈe-6 ɲ 
mặt|m ˈaː6 t̪ 
ma’’|m ˈaː7 
mb|ˌɛ1 m əː2 b ˈe7 
mbappe| ˈɛ1 m b ˈa7 p  
mbappé| ˈɛ1 m b a1 p ˈeɪ7  
mbb|ˌɛ1 m əː2 b ˌe1 b ˈe7 
mbc|ˌɛ1 m əː2 b ˌe1 s ˈe7 
mc|ˌɛ1 m əː2 s ˈe7 
mccain| m ə1 k ˈeɪ7 n  
mcdonald| m ə1 k d ˈɒ7 n ələl d  
mcdonald's| m ə1 k d ˈɒ7 n ələl d z  
mcdonalds| m ə1 k d ˈɒ7 n ələl d z  
mcdonald’s| m ə1 k d ˈɒ7 n ələl d z  
mcgahn| m ə1 ɡ ˈɑː7 n  
mck|ˌɛ1 m əː2 s ˌe1 k ˈaː7 
mckennie| m ə1 k ˈɛ7 n ii  
mckinley| m ə1 k ˈɪ7 n l ii  
mckinsey| m ə1 k ˈɪ7 n s ii  
mclaren| m ə1 k l ˈa7 ɹ ə1 n  
mcnair| m ə1 k n ˈeə7  
mcredit| m ə1 k ɹ ɪ1 d ˈɪ7 t  
mcrorie| m ə1 k ɹ ˈɔːɔː ɹ ii  
mcshane| m ə1 k ʃ ˈeɪ7 n  
mctominay| m ə1 k t ˈɒ7 m ɪ1 n ˌeɪ1  
mcturk| m ə1 k t ˈɜː7 k  
mcu|m k ˈu7 
mcwhorter| m ə1 k h ˈɔːɔː t əə  
mdf|ˌɛ1 m əː2 d ˌe1 ˈɛɜ p 
mdrt|ˌɛ1 m əː2 d ˌe1 ˌɛ1 ʐ əː2 t ˈe7 
me|m ˈɛ7
meanchey| m ˈiː7 n tʃ ii  
meatdeli| m ˈiː7 t d ɛ1 l ii  
meatlife| m ˈiː7 t l aɪ1 f  
media| m ˈiː7 d iː1  ə1  
medicaid| m ˈɛ7 d ɪ1 k ˌeɪ1 d  
medical| m ˈɛ7 d ɪ1 k ələl  
medicine| m ˈɛ7 d s ə1 n  
medlatec| m ˈɛ7 d l eɪ1 t ə1 k  
medvedchuk| m ˈɛ7 d v ɪ1 d tʃ ˌʌ1 k  
medvedev| m ˈɛ7 d v ɪ1 d ˌɛ1 v  
meet| m ˈiː7 t  
meeting| m ˈiː7 t ɪ1 ŋ  
meey| m ˈiː7  ii  
mega| m ˈɛ7 ɡ ə1  
megadeath| m ˈɛ7 ɡ ə1 d ˌɛ1 θ  
megadeth| m ˈɛ7 ɡ ə1 d ə1 θ  
megamarket| m ˈɛ7 ɡ ə1 m ˌɑːɑː k ɪ1 t  
megan| m ˈɛ7 ɡ ə1 n  
megapixel| m ˈɛ7 ɡ ə1 p ˌɪ1 k s ələl  
meghan| m ˈɛ7 ɡ ə1 n  
mehdi| m ˈeɪ7 d ii  
mehmet| m ˈeɪ7 m ɪ1 t  
meijer| m ˈeɪ7 dʒ əə  
meiofauna| m ˈeɪ7 ə1 f ˌɔː1 n ə1  
meir| m ˈeə7  
meizhong| m ˈiː7 ʒ ɒ1 ŋ  
mejbri| m ˈɛ7 dʒ b ɹ ii  
mekong| m ˈɛ7 k ɒ1 ŋ  
mekthon| m ˈɛ7 k θ ɒ1 n  
melamin| m ˈɛ7 l ɐɐ m ˌɪ1 n  
melani| m ɛ1 l ˈɑː7 n ii  
melation| m ɛ1 l ˈeɪ7 ʃ ə1 n  
melatonin| m ˈɛ7 l ɐɐ t ˌɒ1 n ɪ1 n  
melbourne| m ˈɛ7 l b əə n  
melcher| m ˈɛ7 l tʃ əə  
melia| m ˈɛ7 l ii  ə1  
melissa| m ə1 l ˈɪ7 s ə1  
meliá| m ˌɛ1 l ɪ1  ˈɑː7  
mellor| m ˈɛ7 l əə  
melo| m ˈiː7 l əʊəʊ  
meloni| m ɛ1 l ˈəʊəʊ n ii  
melville| m ˈɛ7 l v ɪ1 l  
membrane| m ˈɛ7 m b ɹ eɪ1 n  
meme| m ˈiː7 m  
memo| m ˈɛ7 m əʊəʊ  
memorial| m ə1 m ˈɔːɔː ɹ ɪ1  ə1 l  
memory| m ˈɛ7 m ə1 ɹ ii  
memphis| m ˈɛ7 m f ɪ1 s  
men|m ˈɛ7 n 
menadol| m ˈɛ7 n ɐɐ d ˌɒ1 l  
mendes| m ˈɛ7 n d z  
mendicino| m ˌɛ1 n d ɪ1 s ˈiː7 n əʊəʊ  
mendoza| m ɛ1 n d ˈəʊəʊ z ə1  
mendy| m ˈɛ7 n d ii  
menendez| m ɛ1 n ˈɛ7 n d ɛ1 z  
menu| m ˈɛ7 n j uː1  
men’|m ˈɛ7 n 
men”|m ˈɛ7 n 
mepham| m ˈɛ7 p ə1 m  
mephisto|(en) m ɛ1 f ˈɪ7 s t əʊəʊ (vi)
meraki| m ə1 ɹ ˈa7 k ii  
mercato| m ɜː1 k ˈɑː7 t əʊəʊ  
mercedes| m ɜː1 s ˈeɪ7 d iː1 z  
merciful| m ˈɜː7 s ii f ələl  
mercure| m ˈɜː7 k j ʊə1  
merkel| m ˈɜː7 k ələl  
merlo| m ˈɜː7 l əʊəʊ  
merrell| m ˈɛ7 ɹ ələl  
merrick| m ˈɛ7 ɹ ɪ1 k  
merryland| m ˈɛ7 ɹ ɪ1 l ˌa1 n d  
merson| m ˈɜː7 s ə1 n  
mertens| m ˈɜː7 t ə1 n z  
mes| m ˈɛ7 s  
messages| m ˈɛ7 s ɪ1 dʒ ɪ1 z  
messi| m ˈɛ7 s ii  
messoyakha| m ˈɛ7 s ɔɪ1 ˌa1 k ə1  
mesut| m ˈɛ7 s ʌ1 t  
meta| m ˈɛ7 t ə1  
metaland| m ˌɛ1 t ə1 l ˈa7 n d  
metaverse| m ˌɛ1 t ə1 v ˈɜː7 s  
metfone| m ˈɛ7 t f əʊəʊ n  
methadone| m ˈɛ7 θ ɐɐ d ˌəʊəʊ n  
methane| m ˈiː7 θ eɪ1 n  
methanol| m ˈɛ7 θ ɐɐ n ˌɒ1 l  
methuselath| m ˈɛ7 θ j uː1 s ˌɛ1 l aa θ  
metina| m ɛ1 t ˈiː7 n ə1  
metkayina| m ˈɛ7 t k eɪ1 ˌɪ1 n ə1  
metor| m ˈɛ7 t əə  
metro| m ˈɛ7 t ɹ əʊəʊ  
metropole| m ˈɛ7 t ɹ ə1 p ˌəʊəʊ l  
metropolitan| m ˌɛ1 t ɹ ə1 p ˈɒ7 l ɪ1 t ə1 n  
metropolitano| m ˌɛ1 t ɹ ə1 p ˌɒ1 l ˈɪ7 t ə1 n ˌəʊəʊ  
meunier| m j ˈuː7 n ii  əə  
mexico| m ˈɛ7 k s ɪ1 k ˌəʊəʊ  
meyer| m ˈeɪ7 əə  
meyhomes| m ˈeɪ7 h əʊəʊ m z  
mè|m ˈɛ2 
mèo|m ˈɛ2 w 
mẽ|m ˈɛ5 
mẹ|m ˈɛ6 
mfast|ˈɛ1 m əː2  ˈɛɜ p  ˈaː1  ˈɛɜ s  t ˈe7 
mfn|ˌɛ1 m əː2 ˌɛɜ p ˈɛ7 n əː2 
mg|ˌɛ1 m əː2 ð ˈe7 
mgi|m z 
mhg|ˌɛ1 m əː2 h ˌaɜ t ð ˈe7 
mi|m ˈi7 
mia|m ˈiə7 
miami|m ˈiə7 m i1 
miao|m ˈiə7 ɔ1 
mic| m ˈaɪ7 k  
mica| m ˈaɪ7 k ə1  
mice| m ˈaɪ7 s  
michael| m ˈaɪ7 k ələl  
michel| m ˈɪ7 tʃ ələl  
michelangelo| m ˌaɪ1 k ələl ˈa7 n dʒ ə1 l ˌəʊəʊ  
michele| m ɪ1 ʃ ˈɛ7 l  
michelin| m ˈɪ7 tʃ ɪ1 l ˌɪ1 n  
michigan| m ˈɪ7 ʃ ɪ1 ɡ ə1 n  
michniewicz| m ˈɪ7 tʃ n j uː1 ˌɪ1 k z  
michova| m ɪ1 tʃ ˈəʊəʊ v ə1  
mick| m ˈɪ7 k  
micro| m ˈaɪ7 k ɹ əʊəʊ  
microbeads| m ˈaɪ7 k ɹ əʊəʊ b ˌiː1 d z  
microchip| m ˈaɪ7 k ɹ əʊəʊ tʃ ˌɪ1 p  
micromet| m ˈaɪ7 k ɹ əʊəʊ m ˌɛ1 t  
microsoft| m ˈaɪ7 k ɹ ə1 s ˌɒ1 f t  
micviet| m ˈɪ7 k v iə1 t  
midas| m ˈiː7 d ə1 z  
midcap| m ˈɪ7 d k a1 p  
midi| m ˈɪ7 d ii  
midol| m ˈɪ7 d ɒ1 l  
midtown| m ˈɪ7 d t aʊ1 n  
midu| m ˈɪ7 d uː1  
miduana| m ˌɪ1 d j uː1 ˈɑː7 n ə1  
mie| m ˈaɪ7  
miguel| m iː1 ɡ ˈɛ7 l  
miguez| m ˈiː7 ɡ ɛ1 z  
mihir| m ˈɪ7 h iə1  
mikael| m ˈɪ7 k eɪ1 l  
mikazuki| m ˌɪ1 k ɐɐ z ˈuː7 k ii  
mike| m ˈaɪ7 k  
mikel| m ˈɪ7 k ələl  
mikgroup| m ˈɪ7 k ɡ ɹ uː1 p  
mikhail| m ˈɪ7 k aɪ1 l  
mikhailo| m ɪ1 k h ˈeɪ7 l əʊəʊ  
miki| m ˈɪ7 k ii  
milan| m ɪ1 l ˈa7 n  
miles| m ˈaɪ7 l z  
miley| m ˈaɪ7 l ii  
mili| m ˈɪ7 l ii  
milik| m ˈɪ7 l ɪ1 k  
milinkovic| m ˌɪ1 l ɪ1 ŋ k ˈɒ7 v ɪ1 k  
militao| m ˈɪ7 l ɪ1 t ˌaʊ1  
milk| m ˈɪ7 l k  
milko| m ˈɪ7 l k əʊəʊ  
millennial| m ɪ1 l ˈɛ7 n ɪ1  ə1 l  
miller| m ˈɪ7 l əə  
milley| m ˈɪ7 l ii  
millian| m ˈɪ7 l ɪ1  ə1 n  
milligan| m ˈɪ7 l ɪ1 ɡ ə1 n  
milner| m ˈɪ7 l n əə  
milo| m ˈaɪ7 l əʊəʊ  
milstar| m ˈɪ7 l s t ɑːɑː  
min|m ˈi7 n 
mina| m ˈiː7 n ə1  
minaj| m ˈɪ7 n a1 dʒ  
minamino| m ˌɪ1 n ɐɐ m ˈiː7 n əʊəʊ  
minanimo| m ˌɪ1 n ɐɐ n ˈɪ7 m əʊəʊ  
minecraft| m ˈaɪ7 ŋ k ɹ aa f t  
mingy| m ˈɪ7 n dʒ ii  
minh|m ˈi7 ɲ
minh”|m ˈi7 ɲ 
mini| m ˈɪ7 n ɪ1  
minigame| m ˈɪ7 n ɪ1 ɡ ˌeɪ1 m  
minions| m ˈɪ7 n ɪ1  ə1 n z  
minnekaev| m ˈɪ7 n ɪ1 k ˌiː1 v  
minnekayev| m ˈɪ7 n ɪ1 k ˌeɪ1 ɛ1 v  
minnie| m ˈɪ7 n ii  
minor| m ˈaɪ7 n əə  
minsk| m ˈɪ7 n s k  
mint| m ˈɪ7 n t  
mintsifry| m ˈɪ7 n t s ɪ1 f ɹ ii  
minu| m ˈɪ7 n uː1  
minzy| m ˈɪ7 n z ii  
minđơ|(en) m ˈaɪ7 n d əʊəʊ (vi)
mio| m ˈiː7  əʊəʊ  
miocen| m ɪ1  ˈəʊəʊ s ə1 n  
mir| m ˈiə7  
mirabel| m ˈɪ7 ɹ ə1 b ˌɛ1 l  
miracle| m ˈɪ7 ɹ ə1 k ələl  
mirae| m ˈɜː7 ɹ iː1  
mirror| m ˈɪ7 ɹ əə  
mis| m ˈɪ7 s  
mishnah| m ɪ1 s h n ˈɑː7  
misinformation”| m ˌɪ1 s ɪ1 n f əə m ˈeɪ7 ʃ ə1 n  
mismart| m ɪ1 s m ˈɑːɑː t  
mismatched| m ɪ1 s m ˈa7 tʃ t  
misoa| m ɪ1 s ˈəʊəʊ ə1  
miss| m ˈɪ7 s  
missosology| m ˌɪ1 s ə1 s ˈɒ7 l ə1 dʒ ii  
missouri| m ɪ1 z ˈʊə7 ɹ ii  
misthy| m ɪ1 s ð ˌaɪ1  
mit| m ˈɪ7 t  
mitani| m ɪ1 t ˈɑː7 n ii  
mito| m ˈaɪ7 t əʊəʊ  
mitoma| m aɪ1 t ˈəʊəʊ m ə1  
mitsubishi| m ˌɪ1 t s uː1 b ˈiː7 ʃ ii  
mitt| m ˈɪ7 t  
mix| m ˈɪ7 k s  
miyagi| m ɪ1 j ˈɑː7 ɡ ɪ1  
mizaki| m ɪ1 z ˈa7 k ii  
miêu|m ˈiɛ7 w
miếng|m ˈiɛɜ ŋ 
miễn|m ˈiɛ5 n 
miệng|m ˈiɛ6 ŋ 
mì|m ˈi2 
