&| v ˈɛ
kategorilendirilen|k a t e ɡ o ɾ i l æ n d i ɾ i l ˈæ n
kategorilerde|k a t e ɡ o ɾ i l ɛ r d ˈɛ
kategorilerden|k a t e ɡ o ɾ i l ɛ r d ˈæ n
kategorileri|k a t e ɡ o ɾ i l e ɾ ˈɪ
kategorilerinde|k a t e ɡ o ɾ i l e ɾ ɪ n d ˈɛ
kategorisinde|k a t e ɡ o ɾ i s ɪ n d ˈɛ
kategorisine|k a t e ɡ o ɾ i s i n ˈɛ
kategoriye|k a t e ɡ o ɾ i j ˈɛ
kategorize|k a t e ɡ ˈo ɾ i z ɛ
katerina|k a t e ɾ i n ˈa
kateryna|k a t ɛ r j n ˈa
katetmemiz|k a t ɛ t m ˈe m ɪ z
katettiği|k a t e tː i j ˈɪ
kateşinler|k a t e ʃ ɪ n l ˈɛ r
katherine|k a t h e ɾ i n ˈɛ
kathimerini|k a t h i m e ɾ i n ˈɪ
kathleen|k a t h l e ˈæ n
kati|k a t ˈɪ
katibi|k a t i b ˈɪ
katibin|k a t i b ˈɪ n
katibine|k a t i b i n ˈɛ
katil|k a t ˈɪ l
katil'|k a t ˈɪ l
katilden|k a t ɪ l d ˈæ n
katile|k a t ˈi l ɛ
katili|k a t i l ˈɪ
katilin|k a t i l ˈɪ n
katilini|k a t i l i n ˈɪ
katilinin|k a t i l i n ˈɪ n
katille|k a t ˈɪ l l ɛ
katiller|k a t ɪ l l ˈɛ r
katilleri|k a t ɪ l l e ɾ ˈɪ
katillerin|k a t ɪ l l e ɾ ˈɪ n
katip|k a t ˈɪ p
katipliğe|k a t ɪ p l i j ˈɛ
katipliği|k a t ɪ p l i j ˈɪ
katiyen|k a t i j ˈæ n
katkı|k a t k ˈɯ
katkıda|k a t k ɯ d ˈa
katkıdan|k a t k ɯ d ˈa n
katkılar|k a t k ɯ ɫ ˈa r
katkılara|k a t k ɯ ɫ a ɾ ˈa
katkılarda|k a t k ɯ ɫ a r d ˈa
katkılardan|k a t k ɯ ɫ a r d ˈa n
katkıları|k a t k ɯ ɫ a ɾ ˈɯ
katkılarından|k a t k ɯ ɫ a ɾ ɯ n d ˈa n
katkılarını|k a t k ɯ ɫ a ɾ ɯ n ˈɯ
katkılarınızdan|k a t k ɯ ɫ ˈa ɾ ɯ n ɯ z d a n
katkılarıyla|k a t k ɯ ɫ a ɾ ˈɯ j ɫ a
katkılarıyla”|k a t k ɯ ɫ a ɾ ˈɯ j ɫ a
katkım|k ˈa t k ɯ m
katkımızın|k a t k ˈɯ m ɯ z ɯ n
katkısı|k a t k ɯ s ˈɯ
katkısına|k a t k ɯ s ɯ n ˈa
katkısıyla|k a t k ɯ s ˈɯ j ɫ a
katkıya|k a t k ɯ j ˈa
katkıyı|k a t k ɯ j ˈɯ
katlama|k ˈa t ɫ a m a
katlamak|k a t ɫ a m ˈa k
katlamaktan|k a t ɫ a m a k t ˈa n
katlanabilenler|k a t ɫ a n a b i l æ n l ˈɛ r
katlanabilme|k a t ɫ a n a b ˈɪ l m ɛ
katlanacak|k a t ɫ a n a dʒ ˈa k
katlanacaklar|k a t ɫ a n a dʒ a k ɫ ˈa r
katlanacaktır”|k a t ɫ a n a dʒ ˈa k t ɯ r
katlanamayanlar|k a t ɫ a n a m a j a n ɫ ˈa r
katlanamıyor|k a t ɫ a n a m ˈɯ j ɔ r
katlanamıyorum|k a t ɫ a n a m ˈɯ j o ɾ ʊ m
katlanan|k a t ɫ a n ˈa n
katlanarak|k a t ɫ a n a ɾ ˈa k
katlandı|k a t ɫ a n d ˈɯ
katlandığında|k a t ɫ a n d ɯɯ ɯ n d ˈa
katlanmaktadır|k a t ɫ a n m a k t ˈa d ɯ r
katlanmaya|k a t ɫ ˈa n m a j a
katlanmayı|k a t ɫ ˈa n m a j ɯ
katlanmaz|k a t ɫ a n m ˈa z
katlanmış|k a t ɫ a n m ˈɯ ʃ
katlanılan|k a t ɫ a n ɯ ɫ ˈa n
katlanır|k a t ɫ a n ˈɯ r
katlanıyor|k a t ɫ a n ˈɯ j ɔ r
katlar|k a t ɫ ˈa r
katlara|k a t ɫ a ɾ ˈa
katlarda|k a t ɫ a r d ˈa
katlardaki|k a t ɫ a r d a k ˈɪ
katları|k a t ɫ a ɾ ˈɯ
katlarına|k a t ɫ a ɾ ɯ n ˈa
katlarının|k a t ɫ a ɾ ɯ n ˈɯ n
katlayan|k a t ɫ a j ˈa n
katlayarak|k a t ɫ a j a ɾ ˈa k
katleden|k ˈa t l e d æ n
katledildi|k a t l e d ɪ l d ˈɪ
katledilen|k a t l e d i l ˈæ n
katledilmeseydi|k a t l e d ɪ l m e s ɛ j d ˈɪ
katledilmesi|k a t l e d ɪ l m e s ˈɪ
katledilmesine|k a t l e d ɪ l m e s i n ˈɛ
katlediyor|k a t l e d ˈi j ɔ r
katlediyoruz|k a t l e d ˈi j o ɾ ʊ z
katletmesine|k a t l ɛ t m e s i n ˈɛ
katlettiklerini|k a t l e tː ɪ k l e ɾ i n ˈɪ
katlet”|k a t l ˈɛ t
katli|k a t l ˈɪ
katliam|k a t l i ˈa m
katliama|k a t l i ˈa m a
katliamda|k a t l i a m d ˈa
katliamdan|k a t l i a m d ˈa n
katliamla|k a t l i ˈa m ɫ a
katliamlar|k a t l i a m ɫ ˈa r
katliamların|k a t l i a m ɫ a ɾ ˈɯ n
katliamlarından|k a t l i a m ɫ a ɾ ɯ n d ˈa n
katliamlar”|k a t l i a m ɫ ˈa r
katliamı|k a t l i a m ˈɯ
katliamı'yla|k a t l i a m ˈɯ j ɫ a
katliamın|k a t l i a m ˈɯ n
katlı|k a t ɫ ˈɯ
katlıdır|k a t ɫ ˈɯ d ɯ r
katlımcı|k a t ɫ ɯ m dʒ ˈɯ
katlıyor|k a t l ˈɯ j ɔ r
katma|k ˈa t m a
katmadan|k ˈa t m a d a n
katmadılar|k ˈa t m a d ɯ ɫ a r
katmak|k a t m ˈa k
katmaktadır|k a t m a k t ˈa d ɯ r
katmaktır|k a t m ˈa k t ɯ r
katmaları|k a t m a ɫ a ɾ ˈɯ
katman|k a t m ˈa n
katmanlandırılan|k a t m a n ɫ a n d ɯ ɾ ɯ ɫ ˈa n
katmanları|k a t m a n ɫ a ɾ ˈɯ
katmanlarından|k a t m a n ɫ a ɾ ɯ n d ˈa n
katmanı|k a t m a n ˈɯ
katmanın|k ˈa t m a n ɯ n
katmanına|k a t m a n ɯ n ˈa
katmanıyla|k a t m a n ˈɯ j ɫ a
katmaya|k ˈa t m a j a
katmayan|k a t m a j ˈa n
katmerli|k a t m ɛ r l ˈɪ
katmıştı|k a t m ɯ ʃ t ˈɯ
katmıştır|k a t m ˈɯ ʃ t ɯ r
katolik|k a t o l ˈɪ k
katotlardaki|k a t ɔ t ɫ a r d a k ˈɪ
katran|k a t r ˈa n
katranı|k a t r a n ˈɯ
katsak|k ˈa t s a k
katsayısı|k a t s a j ɯ s ˈɯ
katsayısına|k a t s a j ɯ s ɯ n ˈa
katsayısını|k a t s a j ɯ s ɯ n ˈɯ
katsayıyı|k a t s a j ɯ j ˈɯ
katseli|k ˈa t s e l ɪ
katsın|k a t s ˈɯ n
katsınlar|k a t s ɯ n ɫ ˈa r
katta|k a tː ˈa
kattaki|k a tː a k ˈɪ
kattı|k a tː ˈɯ
kattıkları|k a tː ɯ k ɫ a ɾ ˈɯ
kattıklarını|k a tː ɯ k ɫ a ɾ ɯ n ˈɯ
kattım|k ˈa tː ɯ m
kattın|k a tː ˈɯ n
kattıysak|k a tː ˈɯ j s a k
kattığı|k a tː ɯɯ ˈɯ
kattığımız|k a tː ˈɯɯ ɯ m ɯ z
kattığına|k a tː ɯɯ ɯ n ˈa
kattığını|k a tː ɯɯ ɯ n ˈɯ
katy|k ˈa t j
katz|k ˈa t z
katä±ldä±m|k a t ˈɛ  p l ˈʌ s ɔː m ˈaɪ n ə s  l d ˈɛ  p l ˈʌ s ɔː m ˈaɪ n ə s  m ˈɛ
katı|k a t ˈɯ
katıan|k a t ɯ ˈa n
katık|k a t ˈɯ k
katıksız|k a t ˈɯ k s ɯ z
katıl|k a t ˈɯ ɫ
katıla|k a t ˈɯ ɫ a
katılabilecek|k a t ɯ ɫ a b i l e dʒ ˈɛ k
katılabilecekler|k a t ɯ ɫ a b i l e dʒ ɛ k l ˈɛ r
katılabileceğini|k a t ɯ ɫ a b i l e dʒ e j i n ˈɪ
katılabilir|k a t ɯ ɫ a b i l ˈɪ r
katılabilirsiniz|k a t ɯ ɫ a b i l ˈɪ r s i n ɪ z
katılabilmek|k a t ɯ ɫ a b ɪ l m ˈɛ k
katılacak|k a t ɯ ɫ a dʒ ˈa k
katılacaklarmış|k a t ɯ ɫ a dʒ a k ɫ a r m ˈɯ ʃ
katılacaklarını|k a t ɯ ɫ a dʒ a k ɫ a ɾ ɯ n ˈɯ
katılacaksınız|k a t ɯ ɫ a dʒ ˈa k s ɯ n ɯ z
katılacağı|k a t ɯ ɫ a dʒ aː ˈɯ
katılacağım|k a t ɯ ɫ a dʒ ˈaː ɯ m
katılacağını|k a t ɯ ɫ a dʒ aː ɯ n ˈɯ
katılacağız|k a t ɯ ɫ a dʒ ˈaː ɯ z
katılamadı|k a t ɯ ɫ ˈa m a d ɯ
katılamamıştı|k a t ɯ ɫ a m a m ɯ ʃ t ˈɯ
katılamayacağını|k a t ɯ ɫ a m a j a dʒ aː ɯ n ˈɯ
katılamayan|k a t ɯ ɫ a m a j ˈa n
katılan|k a t ɯ ɫ ˈa n
katılanlar|k a t ɯ ɫ a n ɫ ˈa r
katılanlara|k a t ɯ ɫ a n ɫ a ɾ ˈa
katılanlardan|k a t ɯ ɫ a n ɫ a r d ˈa n
katılanların|k a t ɯ ɫ a n ɫ a ɾ ˈɯ n
katılarak|k a t ɯ ɫ a ɾ ˈa k
katılaşan|k a t ɯ ɫ a ʃ ˈa n
katılaştırılması|k a t ɯ ɫ a ʃ t ɯ ɾ ɯ ɫ m a s ˈɯ
katıldı|k a t ɯ ɫ d ˈɯ
katıldık|k a t ɯ ɫ d ˈɯ k
katıldıkları|k a t ɯ ɫ d ɯ k ɫ a ɾ ˈɯ
katıldıklarını|k a t ɯ ɫ d ɯ k ɫ a ɾ ɯ n ˈɯ
katıldıklarının|k a t ɯ ɫ d ɯ k ɫ a ɾ ɯ n ˈɯ n
katıldıktan|k a t ɯ ɫ d ɯ k t ˈa n
katıldım|k a t ɯ ɫ d ˈɯ m
katıldığı|k a t ɯ ɫ d ɯɯ ˈɯ
katıldığım|k a t ɯ ɫ d ˈɯɯ ɯ m
katıldığımdan|k a t ɯ ɫ d ˈɯɯ ɯ m d a n
katıldığımın|k a t ɯ ɫ d ˈɯɯ ɯ m ɯ n
katıldığımız|k a t ɯ ɫ d ˈɯɯ ɯ m ɯ z
katıldığını|k a t ɯ ɫ d ɯɯ ɯ n ˈɯ
katıldığınız|k a t ɯ ɫ d ˈɯɯ ɯ n ɯ z
katılma|k a t ˈɯ ɫ m a
katılmadı|k a t ˈɯ ɫ m a d ɯ
katılmadıkları|k a t ɯ ɫ m a d ɯ k ɫ a ɾ ˈɯ
katılmadığı|k a t ɯ ɫ m a d ɯɯ ˈɯ
katılmadığını|k a t ɯ ɫ m a d ɯɯ ɯ n ˈɯ
katılmak|k a t ɯ ɫ m ˈa k
katılmaktadırlar|k a t ɯ ɫ m a k t ˈa d ɯ r ɫ a r
katılmaktan|k a t ɯ ɫ m a k t ˈa n
katılmaları|k a t ɯ ɫ m a ɫ a ɾ ˈɯ
katılmalarına|k a t ɯ ɫ m a ɫ a ɾ ɯ n ˈa
katılmalarında|k a t ɯ ɫ m a ɫ a ɾ ɯ n d ˈa
katılmama|k a t ˈɯ ɫ m a m a
katılmamaları|k a t ɯ ɫ m a m a ɫ a ɾ ˈɯ
katılmaması|k a t ɯ ɫ m a m a s ˈɯ
katılmamızı|k a t ɯ ɫ m ˈa m ɯ z ɯ
katılmamıştır|k a t ɯ ɫ m a m ˈɯ ʃ t ɯ r
katılması|k a t ɯ ɫ m a s ˈɯ
katılmasını|k a t ɯ ɫ m a s ɯ n ˈɯ
katılmasının|k a t ɯ ɫ m a s ɯ n ˈɯ n
katılmasıyla|k a t ɯ ɫ m a s ˈɯ j ɫ a
katılmaya|k a t ˈɯ ɫ m a j a
katılmayacaklarını|k a t ɯ ɫ m a j a dʒ a k ɫ a ɾ ɯ n ˈɯ
katılmayacağım|k a t ɯ ɫ m a j a dʒ ˈaː ɯ m
katılmayacağını|k a t ɯ ɫ m a j a dʒ aː ɯ n ˈɯ
katılmayı|k a t ˈɯ ɫ m a j ɯ
katılmayınca|k a t ɯ ɫ m a j ɯ n dʒ ˈa
katılmayıp|k a t ɯ ɫ m a j ˈɯ p
katılmıyor|k a t ɯ ɫ m ˈɯ j ɔ r
katılmıyordu|k a t ɯ ɫ m ˈɯ j ɔ r d ʊ
katılmıyorlar|k a t ɯ ɫ m ˈɯ j ɔ r ɫ a r
katılmıyorum|k a t ɯ ɫ m ˈɯ j o ɾ ʊ m
katılmış|k a t ɯ ɫ m ˈɯ ʃ
katılmıştı|k a t ɯ ɫ m ɯ ʃ t ˈɯ
katılmıştık|k a t ɯ ɫ m ɯ ʃ t ˈɯ k
katılmış”|k a t ɯ ɫ m ˈɯ ʃ
katılsın|k a t ɯ ɫ s ˈɯ n
katılım|k a t ˈɯ ɫ ɯ m
katılımcı|k a t ɯ ɫ ɯ m dʒ ˈɯ
katılımcılar|k a t ɯ ɫ ɯ m dʒ ɯ ɫ ˈa r
katılımcılara|k a t ɯ ɫ ɯ m dʒ ɯ ɫ a ɾ ˈa
katılımcılardan|k a t ɯ ɫ ɯ m dʒ ɯ ɫ a r d ˈa n
katılımcılarla|k a t ɯ ɫ ɯ m dʒ ɯ ɫ ˈa r ɫ a
katılımcıları|k a t ɯ ɫ ɯ m dʒ ɯ ɫ a ɾ ˈɯ
katılımcılarımız|k a t ɯ ɫ ɯ m dʒ ɯ ɫ ˈa ɾ ɯ m ɯ z
katılımcılarımıza|k a t ɯ ɫ ɯ m dʒ ɯ ɫ a ɾ ˈɯ m ɯ z a
katılımcıların|k a t ɯ ɫ ɯ m dʒ ɯ ɫ a ɾ ˈɯ n
katılımcılarından|k a t ɯ ɫ ɯ m dʒ ɯ ɫ a ɾ ɯ n d ˈa n
katılımcılarıyla|k a t ɯ ɫ ɯ m dʒ ɯ ɫ a ɾ ˈɯ j ɫ a
katılımcılık|k a t ɯ ɫ ɯ m dʒ ɯ ɫ ˈɯ k
katılımcıyla|k a t ɯ ɫ ɯ m dʒ ˈɯ j ɫ a
katılımda|k a t ˈɯ ɫ ɯ m d a
katılımdaki|k a t ɯ ɫ ɯ m d a k ˈɪ
katılımdan|k a t ˈɯ ɫ ɯ m d a n
katılımla|k a t ˈɯ ɫ ɯ m ɫ a
katılımları|k a t ɯ ɫ ɯ m ɫ a ɾ ˈɯ
katılımların|k a t ɯ ɫ ɯ m ɫ a ɾ ˈɯ n
katılımlarından|k a t ɯ ɫ ɯ m ɫ a ɾ ɯ n d ˈa n
katılımlarını|k a t ɯ ɫ ɯ m ɫ a ɾ ɯ n ˈɯ
katılımlarıyla|k a t ɯ ɫ ɯ m ɫ a ɾ ˈɯ j ɫ a
katılımlı|k a t ˈɯ ɫ ɯ m ɫ ɯ
katılımı|k a t ˈɯ ɫ ɯ m ɯ
katılımın|k a t ˈɯ ɫ ɯ m ɯ n
katılımına|k a t ɯ ɫ ɯ m ɯ n ˈa
katılımından|k a t ɯ ɫ ɯ m ɯ n d ˈa n
katılımını|k a t ɯ ɫ ɯ m ɯ n ˈɯ
katılımının|k a t ɯ ɫ ɯ m ɯ n ˈɯ n
katılımıyla|k a t ɯ ɫ ɯ m ˈɯ j ɫ a
katılın|k a t ɯ ɫ ˈɯ n
katılın'|k a t ɯ ɫ ˈɯ n
katılın”|k a t ɯ ɫ ˈɯ n
katılıp|k a t ɯ ɫ ˈɯ p
katılır|k a t ɯ ɫ ˈɯ r
katılırcasına|k a t ɯ ɫ ɯ r dʒ a s ɯ n ˈa
katılırdım|k a t ɯ ɫ ɯ r d ˈɯ m
katılırken|k a t ɯ ɫ ˈɯ r c æ n
katılırlarsa|k a t ɯ ɫ ɯ r ɫ ˈa r s a
katılırsa|k a t ɯ ɫ ˈɯ r s a
katılırım|k a t ɯ ɫ ˈɯ ɾ ɯ m
katılıyor|k a t ɯ ɫ ˈɯ j ɔ r
katılıyorum|k a t ɯ ɫ ˈɯ j o ɾ ʊ m
katılığı|k a t ɯ ɫ ɯɯ ˈɯ
katılışı|k a t ɯ ɫ ɯ ʃ ˈɯ
katın|k a t ˈɯ n
katına|k a t ɯ n ˈa
katında|k a t ɯ n d ˈa
katındaki|k a t ɯ n d a k ˈɪ
katından|k a t ɯ n d ˈa n
katını|k a t ɯ n ˈɯ
katıp|k a t ˈɯ p
katıra|k a t ɯ ɾ ˈa
katırcıoğlu|k a t ɯ r dʒ ɯ oː ɫ ˈʊ
katırcıoğlu’nun|k a t ɯ r dʒ ɯ oː ɫ u n ˈʊ n
katırını|k a t ɯ ɾ ɯ n ˈɯ
katısıvı|k a t ɯ s ɯ v ˈɯ
katıymış|k a t ɯ j m ˈɯ ʃ
katıyor|k a t ˈɯ j ɔ r
katıyorlar|k a t ˈɯ j ɔ r ɫ a r
katıyoruz|k a t ˈɯ j o ɾ ʊ z
katışacağım|k a t ɯ ʃ a dʒ ˈaː ɯ m
katışamam|k a t ɯ ʃ a m ˈa m
katı”|k a t ˈɯ
kat’ındaki|k a t ɯ n d a k ˈɪ
kauför|k a u f ˈœ r
kauçuk|k a u tʃ ˈʊ k
kavacık|k a v a dʒ ˈɯ k
kavak|k a v ˈa k
kavak'ın|k a v a k ˈɯ n
kavakcı|k a v a k dʒ ˈɯ
kavakcı'nın|k a v a k dʒ ɯ n ˈɯ n
kavaklä±|k a v a k l ˈɛ  p l ˈʌ s ɔː m ˈaɪ n ə s 
kavaklı|k a v a k ɫ ˈɯ
kavaklıdere|k a v a k ɫ ɯ d e ɾ ˈɛ
kavakpınar|k a v a k p ɯ n ˈa r
kavakçı|k a v a k tʃ ˈɯ
kaval|k a v ˈa ɫ
kaval'ın|k a v a ɫ ˈɯ n
kavala'nın|k a v a ɫ a n ˈɯ n
kavala'ya|k a v a ɫ a j ˈa
kavala'yı|k a v a ɫ a j ˈɯ
kavala’nın|k a v a ɫ a n ˈɯ n
kavala’yı|k a v a ɫ a j ˈɯ
kaval’ın|k a v a ɫ ˈɯ n
kavanoz|k a v a n ˈɔ z
kavanozu|k a v a n o z ˈʊ
kavanozun|k a v a n o z ˈʊ n
kavanozunuza|k a v a n ˈo z u n u z a
kavasoğlu|k a v a s oː ɫ ˈʊ
kavcıoğlu|k a v dʒ ɯ oː ɫ ˈʊ
kavcıoğlu’nun|k a v dʒ ɯ oː ɫ u n ˈʊ n
kavga|k a v ɡ ˈa
kavgacı|k a v ɡ a dʒ ˈɯ
kavgada|k a v ɡ a d ˈa
kavgadan|k a v ɡ a d ˈa n
kavgalar|k a v ɡ a ɫ ˈa r
kavgaları|k a v ɡ a ɫ a ɾ ˈɯ
kavgalı|k a v ɡ a ɫ ˈɯ
kavganın|k a v ɡ a n ˈɯ n
kavganız|k a v ɡ ˈa n ɯ z
kavgası|k a v ɡ a s ˈɯ
kavgasına|k a v ɡ a s ɯ n ˈa
kavgasında|k a v ɡ a s ɯ n d ˈa
kavgasından|k a v ɡ a s ɯ n d ˈa n
kavgasının|k a v ɡ a s ɯ n ˈɯ n
kavgasıyla|k a v ɡ a s ˈɯ j ɫ a
kavgası…|k a v ɡ a s ˈɯ
kavgaya|k a v ɡ a j ˈa
kavgayı|k a v ɡ a j ˈɯ
kavgda|k a v ɡ d ˈa
kavi|k a v ˈɪ
kavimler|k ˈa v ɪ m l ɛ r
kavimlere|k a v ɪ m l e ɾ ˈɛ
kavimmiş|k a v ɪ m m ˈɪ ʃ
kavis|k a v ˈɪ s
kavlak|k a v ɫ ˈa k
kavminin|k a v m i n ˈɪ n
kavmiyetçi|k a v m i j ɛ t tʃ ˈɪ
kavradım|k ˈa v r a d ɯ m
kavram|k a v r ˈa m
kavrama|k ˈa v r a m a
kavramak|k a v r a m ˈa k
kavramalı|k a v r ˈa m a ɫ ɯ
kavramaya|k a v r ˈa m a j a
kavramdır|k a v r ˈa m d ɯ r
kavramlar|k a v r a m ɫ ˈa r
kavramlardan|k a v r a m ɫ a r d ˈa n
kavramlarla|k a v r a m ɫ ˈa r ɫ a
kavramları|k a v r a m ɫ a ɾ ˈɯ
kavramların|k a v r a m ɫ a ɾ ˈɯ n
kavramlarını|k a v r a m ɫ a ɾ ɯ n ˈɯ
kavramlarının|k a v r a m ɫ a ɾ ɯ n ˈɯ n
kavramlarız|k a v r a m ɫ ˈa ɾ ɯ z
kavramsallaştırılsa|k a v r a m s a ɫ ɫ a ʃ t ɯ ɾ ˈɯ ɫ s a
kavramı|k a v r a m ˈɯ
kavramın|k a v r a m ˈɯ n
kavramına|k a v r a m ɯ n ˈa
kavramından|k a v r a m ɯ n d ˈa n
kavramını|k a v r a m ɯ n ˈɯ
kavramının|k a v r a m ɯ n ˈɯ n
kavramıyla|k a v r a m ˈɯ j ɫ a
kavranabilir|k a v r a n a b i l ˈɪ r
kavrandığını|k a v r a n d ɯɯ ɯ n ˈɯ
kavrar|k a v r ˈa r
kavrayabildiği|k a v r a j a b ɪ l d i j ˈɪ
kavrayabilecek|k a v r a j a b i l e dʒ ˈɛ k
kavrulan|k a v r u ɫ ˈa n
kavrulmuş|k a v r ʊ ɫ m ˈʊ ʃ
kavrıyor|k a v r ˈɯ j ɔ r
kavuk|k a v ˈʊ k
kavun|k a v ˈʊ n
kavuncu|k a v ʊ n dʒ ˈʊ
kavuncu'ya|k a v ʊ n dʒ u j ˈa
kavunda|k a v ʊ n d ˈa
kavuralım|k a v u ɾ a ɫ ˈɯ m
kavuran|k a v u ɾ ˈa n
kavurdu|k a v ʊ r d ˈʊ
kavurganın|k a v ʊ r ɡ a n ˈɯ n
kavurma|k a v ˈʊ r m a
kavurmada|k a v ˈʊ r m a d a
kavurmalarımız|k a v ʊ r m a ɫ ˈa ɾ ɯ m ɯ z
kavurmaya|k a v ˈʊ r m a j a
kavuru|k a v u ɾ ˈʊ
kavurucu|k a v u ɾ u dʒ ˈʊ
kavururken|k a v u ɾ ˈʊ r c æ n
kavuruyorlardı|k a v u ɾ u j ɔ r ɫ a r d ˈɯ
kavuruyoruz|k a v u ɾ ˈu j o ɾ ʊ z
kavur’|k a v ˈʊ r
kavuşabilecektir|k a v u ʃ a b i l e dʒ ˈɛ k t ɪ r
kavuşabilmesi|k a v u ʃ a b ɪ l m e s ˈɪ
kavuşacak|k a v u ʃ a dʒ ˈa k
kavuşacaktır|k a v u ʃ a dʒ ˈa k t ɯ r
kavuşacak”|k a v u ʃ a dʒ ˈa k
kavuşacağı|k a v u ʃ a dʒ aː ˈɯ
kavuşacağını|k a v u ʃ a dʒ aː ɯ n ˈɯ
kavuşamadı|k a v u ʃ ˈa m a d ɯ
kavuşan|k a v u ʃ ˈa n
kavuşarak|k a v u ʃ a ɾ ˈa k
kavuşmadan|k a v ˈʊ ʃ m a d a n
kavuşmak|k a v ʊ ʃ m ˈa k
kavuşmaları|k a v ʊ ʃ m a ɫ a ɾ ˈɯ
kavuşmanın|k a v ˈʊ ʃ m a n ɯ n
kavuşmanıza|k a v ʊ ʃ m ˈa n ɯ z a
kavuşmanızdır|k a v ʊ ʃ m ˈa n ɯ z d ɯ r
kavuşmanızı|k a v ʊ ʃ m ˈa n ɯ z ɯ
kavuşması|k a v ʊ ʃ m a s ˈɯ
kavuşmasıdır|k a v ʊ ʃ m a s ˈɯ d ɯ r
kavuşmasının|k a v ʊ ʃ m a s ɯ n ˈɯ n
kavuşmaumudumuz|k a v ʊ ʃ m a u m u d ˈu m ʊ z
kavuşmayı|k a v ˈʊ ʃ m a j ɯ
kavuşmuş|k a v ʊ ʃ m ˈʊ ʃ
kavuşmuşlar|k a v ʊ ʃ m ʊ ʃ ɫ ˈa r
kavuşmuştu|k a v ʊ ʃ m ʊ ʃ t ˈʊ
kavuştu|k a v ʊ ʃ t ˈʊ
kavuştuk|k a v ʊ ʃ t ˈʊ k
kavuştukları|k a v ʊ ʃ t ʊ k ɫ a ɾ ˈɯ
kavuştuklarını|k a v ʊ ʃ t ʊ k ɫ a ɾ ɯ n ˈɯ
kavuştuktan|k a v ʊ ʃ t ʊ k t ˈa n
kavuştularbakan|k a v ʊ ʃ t u ɫ a r b a k ˈa n
kavuştum|k a v ˈʊ ʃ t ʊ m
kavuşturacak|k a v ˈʊ ʃ t u ɾ a dʒ a k
kavuşturacağız|k a v ʊ ʃ t u ɾ a dʒ ˈaː ɯ z
kavuşturan|k a v ʊ ʃ t u ɾ ˈa n
kavuşturdu|k a v ˈʊ ʃ t ʊ r d ʊ
kavuşturduk|k a v ˈʊ ʃ t ʊ r d ʊ k
kavuşturmak|k a v ʊ ʃ t ʊ r m ˈa k
kavuşturmaktır|k a v ʊ ʃ t ʊ r m ˈa k t ɯ r
kavuşturmaktır”|k a v ʊ ʃ t ʊ r m ˈa k t ɯ r
kavuşturmayı|k a v ʊ ʃ t ˈʊ r m a j ɯ
kavuşturulamadı|k a v ʊ ʃ t u ɾ u ɫ ˈa m a d ɯ
kavuşturulmalıydı|k a v ʊ ʃ t u ɾ ʊ ɫ m a ɫ ɯ j d ˈɯ
kavuşturulması|k a v ʊ ʃ t u ɾ ʊ ɫ m a s ˈɯ
kavuşturulmasını|k a v ʊ ʃ t u ɾ ʊ ɫ m a s ɯ n ˈɯ
kavuşturulmasıyla|k a v ʊ ʃ t u ɾ ʊ ɫ m a s ˈɯ j ɫ a
kavuşturulmuş|k a v ʊ ʃ t u ɾ ʊ ɫ m ˈʊ ʃ
kavuştururken|k a v ʊ ʃ t u ɾ ˈʊ r c æ n
kavuşturuyor|k a v ˈʊ ʃ t u ɾ u j ɔ r
kavuştuğu|k a v ʊ ʃ t ˈʊː
kavuştuğunu|k a v ʊ ʃ t uː n ˈʊ
kavuşumu|k a v ˈu ʃ u m ʊ
kavuşuncaya|k a v u ʃ ʊ n dʒ a j ˈa
kavuşur|k a v u ʃ ˈʊ r
kavuşurken|k a v u ʃ ˈʊ r c æ n
kavuşuyor|k a v u ʃ ˈu j ɔ r
kavzan|k a v z ˈa n
kavşak|k a v ʃ ˈa k
kavşakların|k a v ʃ a k ɫ a ɾ ˈɯ n
kavşakta|k a v ʃ a k t ˈa
kavşağı|k a v ʃ aː ˈɯ
kavşağı'nın|k a v ʃ aː ɯ n ˈɯ n
kavşağında|k a v ʃ aː ɯ n d ˈa
kavşağından|k a v ʃ aː ɯ n d ˈa n
kavşağı’ndaki|k a v ʃ aː ɯ n d a k ˈɪ
kavşağı’ndan|k a v ʃ aː ɯ n d ˈa n
kay|k ˈa j
kaya|k a j ˈa
kaya'nın|k a j a n ˈɯ n
kaya'yı|k a j a j ˈɯ
kayaalp|k a j a ˈa ɫ p
kayabalı|k a j a b a ɫ ˈɯ
kayabaş|k a j a b ˈa ʃ
kayabaşı|k a j a b a ʃ ˈɯ
kayabileceğimi|k a j a b i l e dʒ ˈe j i m ɪ
kayacan'ın|k a j a dʒ a n ˈɯ n
kayacı|k a j a dʒ ˈɯ
kayacık'ın|k a j a dʒ ɯ k ˈɯ n
kayacı’ya|k a j a dʒ ɯ j ˈa
kayadan|k a j a d ˈa n
kayageçit|k a j a ɟ e tʃ ˈɪ t
kayahan|k a j a h ˈa n
kayahan'ı|k a j a h a n ˈɯ
kayahan’ın|k a j a h a n ˈɯ n
kayak|k a j ˈa k
kayakla|k a j ˈa k ɫ a
kayakçıların|k a j a k tʃ ɯ ɫ a ɾ ˈɯ n
