&| ˈɔ k
låtsasmänniskor|l ˌoː t s a s m ˈɛ n ɪ sx ˌuː r
låtsats|l ˈoː t s a t s
låtskatt|l ˈoː t s k a t
låtskrivare|l ˈoː t s k r iː v ˌa r ə
låtskrivaren|l ˈoː t s k r iː v ˌa r ə n
låtskrivarkollegor|l ˈoː t s k r iː v ˌa r k ɔ l ə ɡ ˌʊ r
låtskrivarkonsten|l ˈoː t s k r iː v ˌa r k ɔ n s t ə n
låtskrivarna|l ˈoː t s k r iː v ˌɑː r n a
låtskrivarproffs|l ˈoː t s k r iː v ˌa r p r ɔ f s
låtstöld|l oː t s t ˈœ l d
låttexten|l ˈɔ tː ə k s t ə n
låttexter|l ˈɔ tː ə k s t ə r
låttolkningarna|l ˈɔ tː ɔ l k n ˌɪ ŋ a r n ˌa
låtval|l ˈoː t v a l
låtverkstad|l ˈoː t v ə r k s t ˌa d
lópez|l ˈuː p ə s
löberöd|l ˈøː b ə r ˌøː d
lödde|l ˈœ d ə
löddret|l ˈœ d r ə t
löder|l ˈøː d ə r
lödningar|l ˈœ d n ɪ ŋ ˌa r
lödöse|l ˈøː d øː s ə
löf|l ˈøː f
löfgren|l ˈœ f ɡ r ə n
löfkvist|l ˈœ f k v ɪ s t
löfqvist|l ˈœ f k v ɪ s t
löfstrand|l ˈœ f s t r a n d
löfström|l ˈœ f s t r ˈœ m
löfströms|l ˈœ f s t r ˈœ m s
löfte|l ˈøː f t ə
löften|l ˈœ f t ə n
löftena|l ˈœ f t ə n ˌa
löftesrik|l ˈœ f t ə s r ˌiː k
löftet|l ˈœ f t ə t
löfven|l ˈœ f v ə n
löfvens|l ˈœ f v ə n s
löfving|l ˈœ f v ɪ ŋ
löfvings|l ˈœ f v ɪ ŋ s
lögn|l ˈœ ŋ n
lögnaktig|l ˈœ ŋ n a k t ˌɪ ɡ
lögnaraktig|l ˈœ ŋ n a r ˌa k t ɪ ɡ
lögnare|l ˈœ ŋ n a r ə
lögnaren|l ˈœ ŋ n a r ə n
lögnen|l ˈœ ŋ n ə n
lögnens|l ˈœ ŋ n ə n s
lögnen”|l ˈœ ŋ n ə n
lögner|l ˈœ ŋ n ə r
lögnerna|l ˈœ ŋ n ə r n ˌa
löjlig|l ˈœ j l ɪ ɡ
löjliga|l ˈœ j l iː ɡ ˌa
löjligt|l ˈœ j l ɪ k t
löjrom|l ˈœ j r ɔ m
löjtnantshjärtan|l ˈœ j t n a n t s j ˌɛ t a n
lök|l ˈøː k
lökar|l ˈøː k a r
löken|l ˈøː k ə n
lökkupolen|l ˈœ k k ʉ p ˌuː l ə n
lökkupolerna|l ˈœ k k ʉ p ˌuː l ə r n ˌa
lökringar|l ˈœ k r ɪ ŋ ˌa r
lömngången|l ˈœ m ŋ ɔ ŋ ə n
lömska|l ˈœ m s k a
lömskt|l ˈœ m s k t
lön|l ˈøː n
löna|l ˈøː n a
lönande|l ˈøː n a n d ə
lönar|l ˈøː n a r
lönberg|l ˈœ n b ə r j
löne|l ˈøː n ə
löneavgiften|l ˈøː n ə ˌɑː v j ɪ f t ə n
lönebegränsningar|l ˈøː n ə b ə ɡ r ˌɛ n s n ɪ ŋ ˌa r
lönedumpning|l ˈøː n ə d ˌɵ m p n ɪ ŋ
löneflexibilitet|l ˈøː n ə f l ˌɛ k s ɪ b ˌɪ l ɪ t ˌeː t
löneförhandlingar|l ˌøː n ə f ˈœ r h a n d l ˌɪ ŋ a r
löneförhöjning|l ˌøː n ə f ˈœ r h ˈœ j n ɪ ŋ
löneförhöjningar|l ˌøː n ə f ˈœ r h ˈœ j n ɪ ŋ ˌa r
lönegolv|l ˈøː n ə ɡ ˌɔ l v
lönehöjningarna|l ˌøː n ə h ˈœ j n ɪ ŋ ˌa r n a
löneinflation|l ˌøː n ə ɪ n f l a sx ˈuː n
löneinkomsterna|l ˈøː n ə ˌɪ ŋ k ɔ m s t ˌɛ r n a
lönekartläggning|l ˈøː n ə k ˌa t l ə ɡ n ˌɪ ŋ
lönekompensation|l ˌøː n ə k ˌɔ m p ə n s a sx ˈuː n
lönekonto|l ˈøː n ə k ˌɔ n t uː
lönekontoret|l ˌøː n ə k ɔ n t ˈuː r ə t
lönekostnaden|l ˈøː n ə k ˌɔ s t n a d ə n
lönekostnaderna|l ˈøː n ə k ˌɔ s t n a d ˌɛ r n a
lönekrav|l ˈøː n ə k r ˌa v
löneläge|l ˈøː n ə l ˌɛː ɡ ə
löneläget|l ˈøː n ə l ˌɛː ɡ ə t
lönen|l ˈøː n ə n
löner|l ˈøː n ə r
lönerna|l ˈøː n ə r n ˌa
lönesatsningar|l ˈøː n ə s ˌa t s n ɪ ŋ ˌa r
löneskillnader|l ˈøː n ə sx ˌɪ l n a d ə r
lönespiral|l ˈøː n ə s p ˌiː r a l
lönespridning|l ˈøː n ə s p r ˌɪ d n ɪ ŋ
lönestöd|l ˈøː n ə s t ˌøː d
lönesänkning|l ˈøː n ə s ˌɛ ŋ k n ɪ ŋ
lönetillägget|l ˈøː n ə t ˌɪ l ə ɡ ə t
löneutrymme|l ˈøː n ə ˌʉ t r y m ə
löneutveckling|l ˈøː n ə ˌʉ t v ə k l ˌɪ ŋ
löneökningar|l ˌøː n ə ˈœ k n ɪ ŋ ˌa r
löneökningarna|l ˌøː n ə ˈœ k n ɪ ŋ ˌa r n a
lönge|l ˈœ ŋ ə
löningshelg|l ˈøː n ɪ ŋ s h ˌɛ l j
lönlöst|l ˈœ n l ˈøː s t
lönneberga|l ˈœ n ə b ə r ɡ ˌa
lönnebo|l ˈœ n ə b ˌuː
lönnerblad|l ˈœ n ə r b l ˌɑː d
lönngången|l ˈœ ŋ ɔ ŋ ə n
lönnmordförsök|l ˈœ n m uː r d f ˈœ ʂ øː k
lönnroth|l ˈœ n r ɔ t h
lönnrum|l ˈœ n r ɵː m
lönnå|l ˈœ n oː
lönnånger|l ˈœ n ɔ ŋ ə r
lönsamhet|l ˈœ n s a m h ˌeː t
lönsamheten|l ˈœ n s a m h ˌeː t ə n
lönsamhetsmått|l ˈœ n s a m h ˌɛ t s m ɔ t
lönsamhet”|l ˈœ n s a m h ˌeː t
lönsamma|l ˈœ n s a m ˌa
lönsammare|l ˈœ n s a m ˌa r ə
lönsamt|l ˈœ n s a m t
lönt|l ˈœ n t
löntagarinflytande|l ˈœ n t ɑː ɡ ˌa r ɪ n f l ˌyː t a n d ə
löntagarna|l ˈœ n t ɑː ɡ ˌa r n a
löntagarperspektiv|l ˈœ n t ɑː ɡ ˌa r p ə ʂ p ˌɛ k t iː v
löpa|l ˈøː p a
löpande|l ˈøː p a n d ə
löparbanan|l ˈøː p a r b ˌa n a n
löparen|l ˈøː p a r ə n
löparlegenden|l ˈøː p a r l ə j ə n d ə n
löparna|l ˈøː p a r n ˌa
löpband|l ˈœ p b a n d
löper|l ˈøː p ə r
löpmotor|l ˈœ p m ˈuː t ɔ r
löpningar|l ˈœ p n ɪ ŋ ˌa r
löpningen|l ˈœ p n ɪ ŋ ə n
löprundor|l ˈœ p r ɵ n d ˌuː r
löpsedeln|l ˈœ p s ə d ˌeː l n
löpsedlar|l ˈœ p s ə d l ˌa r
löpsedlarna|l ˈœ p s ə d l ˌa r n a
löpstarke|l ˈœ p s t a r k ə
löpstyrka|l ˈœ p s t y r k ˌa
löpt|l ˈœ p t
löpte|l ˈøː p t ə
löptid|l ˈœ p t iː d
löptider|l ˈœ p t iː d ə r
löpturer|l ˈœ p t ʉ r ə r
lördag|l ˈœ r d ɑː ɡ
lördagarna|l ˈœ r d ɑː ɡ ˌa r n a
lördagen|l ˈœ r d ɑː ɡ ˌɛ n
lördagens|l ˈœ r d ɑː ɡ ˌɛ n s
lördagen…|l ˈœ r d ɑː ɡ ˌɛ n
lördags|l ˈœ r d ɑː ɡ s
lördagsdygnet|l ˈœ r d ɑː ɡ s d ˌy ŋ n ə t
lördagseftermiddag|l ˈœ r d ɑː ɡ s ˌɛ f t ə r m ˌɪ d a ɡ
lördagseftermiddagen|l ˈœ r d ɑː ɡ s ˌɛ f t ə r m ˌɪ d ɑː ɡ ˌɛ n
lördagsförmiddagen|l ˈœ r d ɑː ɡ s f ˈœ r m ɪ d ˌɑː ɡ ə n
lördagsgodis|l ˈœ r d ɑː ɡ s ɡ ˌuː d iː s
lördagsintervju|l ˈœ r d ɑː ɡ s ˌɪ n t ə r v j ˌʉ
lördagskväll|l ˈœ r d ɑː ɡ s k v ˌɛ l
lördagskvällen|l ˈœ r d ɑː ɡ s k v ˌɛ l ə n
lördagskvällens|l ˈœ r d ɑː ɡ s k v ˌɛ l ə n s
lördagsmatchen|l ˈœ r d ɑː ɡ s m ˌa t ʃ ə n
lördagsmorgonen|l ˈœ r d ɑː ɡ s m ˌɔ r ɡ ɔ n ə n
lördagsnatten|l ˈœ r d ɑː ɡ s n ˌa tː ə n
lördagsöppet|l ˈœ r d ɑː ɡ s ˈœ p ə t
lösa|l ˈøː s a
lösare|l ˈøː s a r ə
lösas|l ˈøː s a s
lösenodet|l ˈøː s ə n ˌuː d ə t
lösenord|l ˈøː s ə n ˌuː r d
lösenordet|l ˈøː s ə n ˌuː r d ə t
lösenordsfras|l ˈøː s ə n ˌuː r d s f r a s
lösenordsfunktion|l ˌøː s ə n ˌuː r d s f ɵ ŋ k sx ˈuː n
lösensummor|l ˈøː s ə n s ˌɵ m uː r
löser|l ˈøː s ə r
löses|l ˈøː s ə s
lösgodis|l ˈœ s ɡ uː d ˌiː s
lösgom|l ˈœ s ɡ ɔ m
lösnaglar|l ˈøː s n a ɡ l ˌa r
lösning|l ˈøː s n ɪ ŋ
lösningar|l ˈøː s n ɪ ŋ ˌa r
lösningarna|l ˈøː s n ɪ ŋ ˌa r n a
lösningar”|l ˈøː s n ɪ ŋ ˌa r
lösningen|l ˈøː s n ɪ ŋ ə n
lösningsförmåga|l ˈøː s n ɪ ŋ s f ˈœ r m oː ɡ ˌa
lösnitz|l ˈøː s n ɪ t s
lösnummerförsäljningen|l ˈøː s n ɵ m ə r f ˈœ ʂ ə l j n ˌɪ ŋ ə n
lösspringande|l ˈœ s p r ɪ ŋ ˌa n d ə
löst|l ˈøː s t
lösta|l ˈøː s t a
löste|l ˈøː s t ə
lösviktsgodis|l ˈœ s v ɪ k t s ɡ ˌuː d iː s
lösögonfransar|l ˈøː s øː ɡ ˌɔ n f r a n s ˌa r
löthman|l ˈœ t h m a n
lötnanter|l ˈœ t n a n t ə r
lövblåsar|l ˈœ v b l ˈoː s a r
lövbrandt|l ˈœ v b r a n d t
lövestad|l ˈøː v ə s t ˌa d
lövholmen|l ˈœ v h ɔ l m ə n
lövin|l øː v ˈiː n
lövklädda|l ˈœ v k l ə d ˌa
lövmassaved|l ˈœ v m a s ˌa v ə d
lövsjuka|l ˈœ v sx ʉ k ˌa
lövskog|l ˈœ v s k uː ɡ
lövsta|l ˈœ v s t a
lövstabruk|l ˈœ v s t a b r ˌʉ k
löv”|l ˈøː v
löwenborgs|l ˈøː v ə n b ˌɔ r ɡ s
löwengrip|l ˈøː v ə ŋ r ˌiː p
löwengrips|l ˈøː v ə ŋ r ˌɪ p s
löwinder|l ˈøː v ɪ n d ə r
lööf|l ˈøː øː f
lööke|l ˈøː øː k ə
lööv|l ˈøː øː v
löövs|l øː ˈœ v s
løvkvist|l ˈoː v k v ɪ s t
løyning|l ˈuː yː n ˌɪ ŋ
lückner|l ˈɵ k n ə r
l’équipe|l ˈeː k w iː p ə
m|ˈɛ m
m&a|ˈɛ m  ˈɔ k ˈɑː
m'appelle|m ˈa p ə l ə
ma|m ˈa
maadeed|m ˈɑː a d ə ə d
maantiede|m ˈɑː a n t ˌiː  ə d ə
maas|m ˈɑː a s
maaskola…|m ˈɑː a s k ˌuː l a
maaza|m ˈɑː a s ˌa
mabäcker|m ˈɑː b ə kː ə r
mac|m ˈɑː k
macaos|m ˈɑː k a ˌuː s
macaus|m ˈɑː k a ˌʉ s
macchiarini|m ˈa k s h iː  ˌa r iː n ˌiː
macdisi|m ˈa k d iː s ˌiː
macedo|m ˈɑː s ə d ˌuː
mach|m ˈa ʃ
machete|m ˈa ʃ ə t ə
machiavelliska|m ˈa ʃ iː  ˌa v ə l ˌɪ s k a
machine|m ˈa ʃ iː n ə
machines|m ˈa ʃ iː n ə s
macho|m ˈa ʃ uː
machoideal|m ˈa ʃ uː ˌiː d ə ˌa l
machu|m ˈa ʃ ʉ
macintosh|m ˈɑː s ɪ n t ˌɔ s h
mack|m ˈa k
macka|m ˈa kː a
mackapärerna|m ˈa kː a p ˌɛː r ə r n ˌa
mackarna|m ˈa kː a r n ˌa
macken|m ˈa kː ə n
mackenzie|m ˈa kː ə n s ˌiː  ə
mackey|m ˈa kː ə ˌyː
mackinnon|m ˈa kː ɪ n ˌuː n
mackintors|m ˈa kː ɪ n t ˌɔ ʂ
mackmyra|m ˈa k m yː r ˌa
mackor|m ˈa kː uː r
mackorna|m ˈa kː uː r n ˌa
macky|m ˈa kː yː
macmaster|m ˈa k m a s t ə r
macquaries|m ˈa k k w a r ˌiː  ə s
macro|m ˈa k r uː
macromedia|m ˈa k r uː m ə d ˌiː  a
macron|m ˈa k r uː n
macrons|m ˈa k r ʊ n s
macron”|m ˈa k r uː n
macus|m ˈɑː k ʉ s
macías|m ˈɑː s ɪ  ˌa s
mac’n'cheese|m ˈɑː k n ʃ ə ə s ə
madagaskar|m ˈɑː d ɑː ɡ ˌa s k a r
madam|m ˈɑː d a m
madame|m ˈɑː d a m ə
madaras|m ˈɑː d a r ˌa s
madde|m ˈa d ə
maddern|m ˈa d ə r n
madeira|m ˈa d ə ˌiː r a
madeleine|m ˈa d ə l ə ˌiː n ə
madeleinekakor|m ˈa d ə l ə ˌiː n ə k ˌɑː k uː r
madeleines|m ˈa d ə l ə ˌiː n ə s
madelen|m ˈa d ə l ə n
madelén|m ˌa d ə l ˈeː n
madicken|m ˈɑː d ɪ kː ə n
madison|m ˈɑː d iː s ˌuː n
madness”|m ˈa d n ə s
mado|m ˈɑː d uː
madonna|m ˈɑː d ɔ n ˌa
madonnan|m ˈɑː d ɔ n ˌa n
madonnas|m ˈɑː d ɔ n ˌa s
madrasser|m ˈa d r a s ə r
madrid|m ˈa d r iː d
madrids|m ˈa d r ɪ d s
mads|m ˈa d s
mae|m ˈɑː ə
maersk|m ˈɑː ə ʂ k
maffia|m ˈa f iː  ˌa
maffiaklassikern|m ˈa f iː  ˌa k l a s ˌiː k ə r n
maffiakopplad|m ˈa f iː  ˌa k ɔ p l ˌa d
maffialiknande|m ˈa f iː  ˌa l iː k n ˌa n d ə
maffiamedlemmar|m ˌa f iː  a m ˈeː d l ə m ˌa r
maffians|m ˌa f iː  ˈa n s
maffiga|m ˈa f iː ɡ ˌa
maffigare|m ˈa f iː ɡ ˌa r ə
mag|m ˈɑː ɡ
magasinen|m ˌa ɡ a s ˈiː n ə n
magasinet|m ˌa ɡ a s ˈiː n ə t
magazine|m ˈa ɡ a s ˌiː n ə
magbesvären|m ˈa ɡ b ə s v ˌɛː r ə n
magblödningar|m a ɡ b l ˈœ d n ɪ ŋ ˌa r
magda|m ˈa ɡ d a
magdalena|m ˈa ɡ d a l ə n ˌa
magdeburg|m ˈa ɡ d ə b ˌɵ r j
magdi|m ˈa ɡ d iː
mage|m ˈɑː ɡ ə
magellan|m ˈɑː ɡ ə l ˌa n
magen|m ˈɑː ɡ ə n
magenta|m ˈɑː ɡ ə n t ˌa
mager|m ˈɑː ɡ ə r
magga|m ˈa ɡ a
maggie|m ˈa ɡ iː  ə
maggio|m ˈa ɡ iː  ˌuː
maggiore|m ˈa ɡ iː  ˌuː r ə
maggropen|m ˈa ɡ r uː p ə n
maggsta|m ˈa ɡ s t a
magic|m ˈɑː ɡ iː k
magick|m ˈɑː ɡ ɪ k
magiker|m ˈɑː ɡ iː k ə r
magion|m ˈɑː ɡ iː  ˌuː n
magisk|m ˈɑː ɡ ɪ s k
magiska|m ˈɑː ɡ ɪ s k ˌa
magiskt|m ˈɑː ɡ ɪ s k t
magister|m ˈɑː ɡ ɪ s t ə r
magistern|m ˈɑː ɡ ɪ s t ˌɛ r n
magisterprogram|m ˈɑː ɡ ɪ s t ˌɛ r p r ɔ ɡ r ˌa m
magkänsla|m ˈa ɡ ɕ ə n s l ˌa
maglats|m ˈa ɡ l a t s
magle|m ˈa ɡ l ə
magmuskeln|m ˈa ɡ m ɵ sx ˌɛ l n
magnergård|m ˈa ŋ n ə r ɡ ˌoː r d
magnesium|m ˈa ŋ n ə s ˌiː  ʉ m
magneter|m ˈa ŋ n ə t ə r
magnetfältet|m ˈa ŋ n ə t f ˌɛ l t ə t
magnetism|m ˈa ŋ n ə t ˌɪ s m
magnetkameraavbildning|m ˈa ŋ n ə t k ˌa m eː r ˌa ɑː v b ˌɪ l d n ɪ ŋ
magnetröntgen|m ˌa ŋ n ə t r ˈœ n t j ə n
magnhild|m ˈa ŋ n h ɪ l d
magnifica|m ˈa ŋ n iː f ˌiː k a
magnifika|m ˈa ŋ n iː f ˌiː k a
magnifike|m ˈa ŋ n iː f ˌiː k ə
magnitogorsk|m ˈa ŋ n iː t ˌuː ɡ ɔ ʂ k
magnituden|m ˈa ŋ n iː t ˌʉ d ə n
magnon|m ˈa ŋ n uː n
magnum|m ˈa ŋ n ʉ m
magnus|m ˈa ŋ n ʉ s
magnusson|m ˈa ŋ n ɵ s ˌɔ n
magnussons|m ˈa ŋ n ɵ s ˌɔ n s
magont|m ˈɑː ɡ ɔ n t
magplask|m ˈa ɡ p l a s k
magproblem|m ˈa ɡ p r ɔ b l ə m
magpumpad|m ˈa ɡ p ɵ m p ˌa d
magrat|m ˈa ɡ r ɑː t
magrutor|m ˈa ɡ r ʉ t ˌɔ r
magsjuka|m ˈa ɡ sx ʉ k ˌa
magstarkt|m ˈa ɡ s t a r k t
magsurt|m ˈa ɡ s ɵ t
maguire|m ˈɑː ɡ ʉ ˌiː r ə
maguires|m ˈɑː ɡ ʉ ˌiː r ə s
magyar|m ˈɑː j yː ˌa r
mahabad|m ˈɑː h a b ˌa d
mahad|m ˈɑː h a d
mahamoud|m ˈɑː h a m ˌuː ʉ d
mahamud|m ˈɑː h a m ˌʉ d
mahamé|m ˌɑː h a m ˈeː
maher|m ˈɑː h ə r
mahieu|m ˈɑː h iː  ə ˌʉ
mahini|m ˈɑː h iː n ˌiː
mahlberg|m ˈa h l b ə r j
mahlers|m ˈa h l ə ʂ
mahmood|m ˈa h m uː ˌuː d
mahmoods|m ˈa h m uː ˌɔ d s
mahmoudi|m ˈa h m uː ˌʉ d iː
mahmouds|m ˈa h m uː ˌɵ d s
mahogny|m ˈɑː h ɔ ŋ n ˌyː
mahomes|m ˈɑː h uː m ə s
mahsa|m ˈa h s a
mai|m ˈɑː iː
maia|m ˈɑː iː  ˌa
maiden|m ˈɑː iː d ə n
maiers|m ˈɑː iː  ˌɛ ʂ
maiken|m ˈɑː iː k ə n
mail| m ˈeɪ l 
mailen|m ˈɑː iː l ə n
mailet|m ˈɑː iː l ə t
maillet|m ˈɑː ɪ l ə t
mails|m ˈɑː ɪ l s
main|m ɑː ˈiː n
mainstream|m ˈɑː ɪ n s t r ə ˌa m
mainz|m ˈɑː ɪ n s
maiorana|m ˈɑː iː  ˌuː r a n ˌa
maiqvist|m ˈɑː ɪ k v ˌɪ s t
maire|m ˈɑː iː r ə
mairehamn|m ˈɑː iː r ə h ˌa m n
maisam|m ˈɑː iː s ˌa m
mait|m ˈɑː iː t
maj|m ˈa j
maja|m ˈa j a
majadahonda|m ˈa j a d ˌa h ɔ n d ˌa
majas|m ˈa j a s
majasaari|m ˈa j a s ˌa a r ˌiː
majbrasan|m ˈa j b r a s ˌa n
majbrasor|m ˈa j b r a s ˌɔ r
majbrasorna|m ˌa j b r a s ˈɔ r n a
majdan|m ˈa j d a n
majestäterna|m ˈa j ə s t ˌɛː t ə r n ˌa
majestätiska|m ˈa j ə s t ˌɛː t ɪ s k ˌa
majestätiskt|m ˈa j ə s t ˌɛː t ɪ s k t
majestäts|m ˈa j ə s t ˌɛ t s
majeure|m ˈa j ə ˌʉ r ə
majken|m ˈa j k ə n
major|m ˈa j uː r
majoren|m ˈa j uː r ə n
majoritet|m ˈa j uː r ˌiː t eː t
majoriteten|m ˈa j uː r ˌiː t eː t ə n
majoritetens|m ˈa j uː r ˌiː t eː t ə n s
majoriteter|m ˈa j uː r ˌiː t eː t ə r
majoritetsbefolkningen|m ˈa j uː r ˌiː t eː t s b ə f ˌɔ l k n ɪ ŋ ə n
majoritetsbeslut|m ˈa j uː r ˌiː t eː t s b ə s l ˌʉ t
majoritetsdelägare|m ˈa j uː r ˌiː t eː t s d ə l ˌɛː ɡ a r ə
majoritetskulturerna|m ˈa j uː r ˌiː t eː t s k ˌɵ l t ʉ r ˌɛ r n a
majoritetspartierna|m ˈa j uː r ˌiː t eː t s p ˌa t iː  ˌɛ r n a
majoritetspost|m ˈa j uː r ˌiː t eː t s p ˌɔ s t
majoritetsregering|m ˈa j uː r ˌiː t eː t s r ə j ˌeː r ɪ ŋ
majoritetsviljan|m ˈa j uː r ˌiː t eː t s v ˌɪ l j a n
majoritetsägare|m ˈa j uː r ˌiː t eː t s ˌɛ j a r ə
majorn|m ˈa j uː r n
majorna|m ˈa j uː r n ˌa
majors|m ˈa j ɔ ʂ
majortävlingen|m ˈa j uː t ˌɛ v l ɪ ŋ ə n
majorvinnaren|m ˈa j uː r v ˌɪ n a r ə n
majorvinnarna|m ˈa j uː r v ˌɪ n a r n ˌa
major”|m ˈa j uː r
majresorna|m a j r ˈeː s ɔ r n ˌa
majros|m ˈa j r uː s
majskolv|m ˈa j s k ɔ l v
majvor|m ˈa j v uː r
maj–juli|m ˈa j j ˈʉ l iː
maka|m ˈɑː k a
makabra|m ˈɑː k a b r ˌa
makak|m ˈɑː k ɑː k
makalösa|m ˈɑː k a l ˌøː s a
makan|m ˈɑː k a n
makapärerna|m ˈɑː k a p ˌɛː r ə r n ˌa
makariv|m ˈɑː k a r ˌiː v
makarna|m ˈɑː k a r n ˌa
makarnas|m ˈɑː k a r n ˌa s
makayla|m ˈɑː k a ˌyː l a
makedonien|m ˈɑː k ə d ˌɔ n iː  ə n
makedonska|m ˈɑː k ə d ˌɔ n s k a
makej|m ˈɑː k ə j
maken|m ˈɑː k ə n
makeup|m ˈɑː k ə ˌʉ p
makko|m ˈa k k uː
makoto|m ˈɑː k uː t ˌuː
makram|m ˈa k r a m
makroekonomisk|m ˌa k r uː ˈɛ k uː n ˌɔː m ɪ s k
makroekonomiska|m ˌa k r uː ˈɛ k uː n ˌɔː m ɪ s k ˌa
makrofyter|m ˈa k r uː f ˌyː t ə r
makromedia|m ˈa k r uː m ə d ˌiː  a
makrorådet|m ˈa k r uː r ˌoː d ə t
makrotillsynsreflexer|m ˈa k r uː t ˌɪ l s y n s r ˌɛ f l ə k s ə r
makrovirus|m ˈa k r uː v ˌiː r ʉ s
maksimov|m ˈa k s iː m ˌuː v
maksym|m ˈa k s yː m
makt|m ˈa k t
maktapparater|m ˈa k t a p ˌa r ɑː t ə r
maktbalansen|m ˈa k t b a l ˌa n s ə n
maktbefogenheter|m ˈa k t b ə f ˌuː j eː n h ˌeː t ə r
maktbolag|m ˈa k t b uː l ˌɑː ɡ
maktcentrum|m ˈa k t s ə n t r ˌɵː m
maktelit|m ˈa k t ə l ˌiː t
makten|m ˈa k t ə n
maktens|m ˈa k t ə n s
makter|m ˈa k t ə r
makterna|m ˈa k t ə r n ˌa
makthavande|m ˈa k t h a v ˌa n d ə
makthavare|m ˈa k t h a v ˌa r ə
makthavarna|m ˈa k t h a v ˌɑː r n a
makthungriga|m ˈa k t h ɵ ŋ r ˌiː ɡ a
maktinflytande|m ˈa k t ɪ n f l ˌyː t a n d ə
maktinnehav|m ˈa k t ɪ n ə h ˌa v
maktkamp|m ˈa k t k a m p
maktkampen|m ˈa k t k a m p ə n
maktkretsen|m ˈa k t k r ə t s ə n
maktlösa|m ˈa k t l øː s ˌa
maktlöshet|m a k t l ˈœ s h eː t
maktmedel|m ˈa k t m eː d ˌɛ l
maktmetoder|m ˈa k t m ə t ˌuː d ə r
maktmissbruk|m ˈa k t m ɪ s b r ˌʉ k
maktmänniskorna|m a k t m ˈɛ n ɪ sx ˌuː r n a
maktposition|m ˌa k t p uː s ɪ sx ˈuː n
maktpositioner|m ˌa k t p uː s ɪ sx ˈuː n ə r
maktrelaterad|m ˈa k t r ə l ˌa t eː r ˌa d
maktskifte|m ˈa k t sx iː f t ˌɛ
maktskiftet|m ˈa k t sx ɪ f t ə t
maktspelare|m ˈa k t s p eː l ˌa r ə
maktställning|m ˈa k t s t ə l n ˌɪ ŋ
maktsystemet|m ˈa k t s y s t ˌeː m ə t
maktutövningen|m ˌa k t ʉ t ˈœ v n ɪ ŋ ə n
maktväxling|m ˈa k t v ə k s l ˌɪ ŋ
maktövertagande|m ˈa k t øː v ˌɛ t ɑː ɡ ˌa n d ə
maktövertagandet|m ˈa k t øː v ˌɛ t ɑː ɡ ˌa n d ə t
makuladegeneration|m ˌɑː k ʉ l ˌa d ə j ə n ˌeː r a sx ˈuː n
makulerade|m ˈɑː k ʉ l ˌeː r a d ə
malaga|m ˈɑː l ɑː ɡ ˌa
malagueta|m ˈɑː l ɑː ɡ ˌʉ ə t ˌa
malajerna|m ˈɑː l a j ˌɛ r n a
malala|m ˈɑː l a l ˌa
malard|m ˈɑː l a r d
malas|m ˈɑː l a s
malatya|m ˈɑː l a t ˌyː a
malawi|m ˈɑː l a v ˌiː
malax|m ˈɑː l a k s
malaysia|m ˈɑː l a ˌyː s iː  ˌa
malaysias|m ˈɑː l a ˌyː s iː  ˌa s
malcolm|m ˈa l k ɔ l m
maldonado|m ˈa l d ɔ n ˌa d uː
malede|m ˈɑː l ə d ə
malena|m ˈɑː l ə n ˌa
malet|m ˈɑː l ə t
malexandermördaren|m ˌɑː l ə k s ˌa n d ə r m ˈœ r d a r ə n
mali|m ˈɑː l iː
malibu|m ˈɑː l iː b ˌʉ
malignt|m ˈɑː l ɪ ŋ n t
malik|m ˈɑː l iː k
malin|m ɑː l ˈiː n
malinda|m ˈɑː l ɪ n d ˌa
malines|m ˈɑː l iː n ə s
malins|m ˈɑː l ɪ n s
malint|m ˈɑː l ɪ n t
malis|m ˈɑː l iː s
mali”|m ˈɑː l iː
malkin|m a l k ˈiː n
mallarmé|m ˌa l a r m ˈeː
mallen|m ˈa l ə n
mallorca|m ˈa l uː r k ˌa
mallorcas|m ˈa l uː r k ˌa s
malmberg|m ˈa l m b ə r j
malmberget|m ˈa l m b ə r j ə t
malmbrytningen|m ˈa l m b r y t n ˌɪ ŋ ə n
malmbäck|m ˈa l m b ə k
malmbäcks|m ˈa l m b ə k s
malmcrona|m ˈa l m k r uː n ˌa
malmen|m ˈa l m ə n
malmer|m ˈa l m ə r
malmfyndigheter|m ˈa l m f y n d ˌɪ ɡ h eː t ə r
malmgren|m ˈa l m ɡ r ə n
malmgård|m ˈa l m ɡ oː r d
malmkvist|m ˈa l m k v ɪ s t
malmköpingsvägen|m ˈa l m ɕ øː p ˌɪ ŋ s v ɛː ɡ ə n
malmqvist|m ˈa l m k v ɪ s t
malmqvists|m ˈa l m k v ɪ s t s
malms|m ˈa l m s
malmsgatan|m ˈa l m s ɡ ɑː t ˌa n
malmsten|m ˈa l m s t ə n
malmvägen|m ˈa l m v ɛː ɡ ə n
malmén|m a l m ˈeː n
malmö|m ˈa l m øː
malmöbaserade|m ˈa l m øː b ˌa s eː r ˌa d ə
malmöbon|m ˈa l m øː b ˌuː n
malmöbor|m ˈa l m øː b ˌuː r
malmöfestival|m ˈa l m øː f ˌɛ s t iː v ˌa l
malmöfestivalen|m ˈa l m øː f ˌɛ s t iː v ˌa l ə n
