&| ˈe 
júdice|ʒ ˈu d i s ɨ
júlia|ʒ ˈu l j ɐ
júlian|ʒ ˈu l i  ɐ̃ ŋ
júlie|ʒ ˈu l j ɨ
júnior|ʒ ˈu n i  u ɹ
júniores|ʒ ˈu n i  u ɾ ɨ ʃ
júpiter|ʒ ˈu p i t ɨ ɹ
júris|ʒ ˈu ɾ i ʃ
jürgen|ʒ ˈu ɾ ə ʒ eɪ ŋ
ka|k ˈɐ
kaba|k ˈa b ɐ
kadyrov|k ˌɐ d i ɾ ˈo v
kaefer|k ˌɐ ɨ f ˈe ɹ
kaellen|k ˌɐ ˈɛ l eɪ ŋ
kafka|k ˈa f k ɐ
kaftancioglu|k ˌɐ f t ɐ̃ ŋ s ˌi  u ɡ l ˈu
kafunga|k ˌɐ f ˈũ ŋ ɡ ɐ
kaguya|k ˈa ɡ j ɐ
kahn|k ˈa n
kaiak|k aɪ  ˈa k
kaiane|k ˌaɪ  ˈɐ̃ n ɨ
kaik|k ɐ ˈi k
kaiky|k ˈaɪ k i
kailane|k ˌaɪ l ˈɐ̃ n ɨ
kain|k ɐ ˈi n
kaingang|k ˌɐ i ŋ ɡ ˈɐ̃ ŋ ɡ
kaio|k ˈaɪ  ʊ
kaique|k ˈaɪ k ɨ
kairó|k aɪ ɾ ˈɔ
kais|k ˈaɪ ʃ
kajiwara|k ˌɐ ʒ i w ˈa ɾ ɐ
kajoly|k ˌɐ ʒ ˈo l i
kajuru|k ˌɐ ʒ u ɾ ˈu
kaka|k ˈa k ɐ
kakachi|k ˌɐ k ɐ ʃ ˈi
kakaka|k ˌɐ k ˈa k ɐ
kakakaka|k ˌɐ k ɐ k ˈa k ɐ
kakhovka|k ˌɐ k ˈo v k ɐ
kakogawa|k ˌɐ k u ɡ ˈa w ɐ
kaká|k ɐ k ˈa
kali|k ɐ l ˈi
kalil|k ɐ l ˈi l
kalimann|k ˌɐ l i m ˈɐ̃ ŋ n
kaliningrado|k ˌɐ l i n i ŋ ɡ ɹ ˈa d ʊ
kally|k ˈa l i
kalupeteka|k ˌɐ l u p ɨ t ˈe k ɐ
kamala|k ɐ m ˈa l ɐ
kamei|k ɐ m ˈeɪ
kamel|k ɐ̃ m ˈɛ l
kamikaze|k ɐ m i k ˈa z ɨ
kamila|k ɐ m ˈi l ɐ
kamile|k ɐ m ˈi l ɨ
kamilla|k ɐ m ˈi l ɐ
kamyla|k ɐ m ˈi l ɐ
kanamari|k ɐ n ɐ m ɐ ɾ ˈi
kananda|k ɐ n ˈɐ̃ ŋ d ɐ
kane|k ˈɐ̃ n ɨ
kanela”|k ɐ n ˈɛ l ɐ
kansas|k ˈɐ̃ ŋ s ɐ ʃ
kant|k ˈɐ̃ ŋ t
kantar|k ɐ̃ ŋ t ˈa ɹ
kanté|k ɐ̃ ŋ t ˈɛ
kanye|k ɐ n j ˈɨ
kaposso|k ˌɐ p ˈɔ s ʊ
kappa|k ˈa p ɐ
kar|k ˈa ɹ
karacelik|k ˌɐ ɾ ɐ s ɨ l ˈi k
karam|k ˈa ɾ ɐ̃ʊ̃
karangumruk|k ˌɐ ɾ ɐ̃ ŋ ɡ ũ m ɹ ˈu k
karaokes|k ˌɐ ɾ ɐ ˈo k ɨ ʃ
karaokê|k ˌɐ ɾ ɐ u k ˈe
karate|k ˌɐ ɾ ˈa t ɨ
karatê|k ˌɐ ɾ ɐ t ˈe
kardashian|k ˌɐ ɾ ə d ɐ ʒ i  ˈɐ̃ ŋ
kardec|k ɐ ɾ ə d ˈe k
karen|k ˈa ɾ eɪ ŋ
karim|k ɐ ɾ ˈi ŋ
karin|k ɐ ɾ ˈi n
karina|k ˌɐ ɾ ˈi n ɐ
karine|k ˌɐ ɾ ˈi n ɨ
karish|k ɐ ɾ ˈi ʃ
karl|k ˈa ɾ ə l
karla|k ˈa ɾ ə l ɐ
karnal|k ɐ ɾ ə n ˈɑ l
karnezis|k ˌɐ ɾ ə n ɨ z ˈi ʃ
karol|k ɐ ɾ ˈɔ l
karolina|k ˌɐ ɾ u l ˈi n ɐ
karp|k ˈa ɾ ə p
karpaty|k ˌɐ ɾ ə p ˈa t i
kart|k ˈa ɾ ə t
karts|k ˈa ɾ ə t ʃ
kartódromos|k ˌɐ ɾ ə t ˈɔ d ɹ u m ʊ ʃ
kasdan|k ɐ ʒ d ˈɐ̃ ŋ
kashin|k ɐ ʒ ˈi n
kashlinskaya|k ˌɐ ʒ l i ŋ s k ˈaɪ  ɐ
kasper|k ɐ ʃ p ˈe ɹ
kassab|k ɐ s ˈa b
kassia|k ˌɐ s ˈi  ɐ
kassiele|k ˌɐ s i  ˈɛ l ɨ
kassio|k ɐ s ˈiʊ
kat|k ˈa t
kata|k ˈa t ɐ
katanas|k ˌɐ t ˈɐ̃ n ɐ ʃ
kate|k ˈa t ɨ
katelen|k ˌɐ t ˈe l eɪ ŋ
katendê|k ˌɐ t eɪ ŋ d ˈe
kateryna|k ˌɐ t ɨ ɾ ˈi n ɐ
kathellen| k ˈa θ ɛ l ə n (pt-pt)
katherine| k ˈa θ ɹ ɪ n (pt-pt)
katia|k ˌɐ t ˈi  ɐ
katiani|k ˌɐ t i  ɐ̃ n ˈi
katie|k ˌɐ t ˈi  ɨ
katotobwe|k ˌɐ t u t ˈo b w ɨ
katy|k ˈa t i
katya|k ˈa t j ɐ
katz|k ˈa t ʃ
katúcia|k ˌɐ t ˈu s j ɐ
kauan|k aʊ ˈɐ̃ ŋ
kauani|k ˌaʊ ɐ̃ n ˈi
kauany|k ˌaʊ ˈɐ̃ n i
kauã|k aʊ ˈɐ̃
kavici|k ˌɐ v i s ˈi
kavli|k ɐ v l ˈi
kawall|k ɐ w ˈa l
kawésqar|k ˌɐ w ˈɛ ʃ k ɐ ɹ
kaxinawa|k ˌɐ k s i n ˈa w ɐ
kay|k ˈaɪ
kaya|k ˈaɪ  ɐ
kayak|k aɪ  ˈa k
kayane|k ˌaɪ  ˈɐ̃ n ɨ
kayky|k ˈaɪ k i
kayleigh|k ˌaɪ l ɨ ˈi ɡ
kaymakam|k ˌaɪ m ˈa k ɐ̃ʊ̃
kayque|k ˈaɪ k ɨ
kazaki|k ˌɐ z ɐ k ˈi
kazooie|k ˌɐ z u ˈoɪ ɨ
kazuki|k ˌɐ z u k ˈi
kaér|k ɐ ˈɛ ɹ
ka’apor|k ˌɐ ɐ p ˈo ɹ
keanu|k ˌi  ɐ̃ n ˈu
kebede|k ˌe b ˈɛ d ɨ
kechichian|k ˌɛ ʃ i ʃ i  ˈɐ̃ ŋ
kecmanovic|k ˌɛ k m ɐ n u v ˈi k
kees|k ˈi  ɨ ʃ
keffiyeh|k ɨ f j j ˈe
kehdi|k ɨ d ˈi
keiko|k ˈeɪ k ʊ
keila|k ˈeɪ l ɐ
keir|k ɨ ˈi ɹ
keira|k ˈeɪ ɾ ɐ
keishi|k eɪ ʒ ˈi
keiti|k eɪ t ˈi
keitlen|k ˌe ˈi t l eɪ ŋ
keitlin|k ˌe i t l ˈi n
keitlyn|k ˌe i t l ˈi n
kelle|k ˈɛ l ɨ
keller|k ɨ l ˈe ɹ
kellerman|k ˌɛ l ɨ ɾ ə m ˈɐ̃ ŋ
kells|k ˈɛ l ʃ
kelly|k ˈɛ l i
kelman|k ɨ l m ˈɐ̃ ŋ
kelmo|k ˈe l m ʊ
kelmon|k ɨ l m ˈo ŋ
kelneudy|k ˌe l n ˈeʊ d i
kelsey|k ɨ l s ˈeɪ
kelson|k ˈe l s u ŋ
kely|k ˈe l i
kemp|k ˈeɪ m p
kemuel|k ˌe m u ˈɛ l
ken|k ˈeɪ ŋ
kendry|k ˈeɪ ŋ d ɹ i
kendson|k ˈeɪ ŋ d s u ŋ
kenishi|k ˌe n i ʒ ˈi
kennedy|k ˌeɪ ŋ n ˈe d i
kennehertz|k ˌeɪ ŋ n ɨ ˈe ɾ ə t ʃ
kenneth| k ˈɛ n ə θ (pt-pt)
kenny|k ˈeɪ ŋ n i
keno|k ˈe n ʊ
kensington|k ˌeɪ ŋ s i ŋ ɡ t ˈo ŋ
kent|k ˈeɪ ŋ t
kepler|k ɨ p l ˈe ɹ
ker|k ˈe ɹ
kerch|k ˈe ɾ ə ʃ
kering| k ˈɜː ɹ ɪ ŋ (pt-pt)
kerings| k ˈɜː ɹ ɪ ŋ z (pt-pt)
kerline|k ˌe ɾ ə l ˈi n ɨ
kerolayne|k ˌe ɾ u l ˈaɪ n ɨ
kerolin|k ˌe ɾ u l ˈi n
kerouac|k ˌe ɾ u w ˈa k
kerr|k ˈe r
kershaw| k ˈɜː ʃ ɔː (pt-pt)
kessel|k ɨ s ˈɛ l
kessia|k ˌe s ˈi  ɐ
kessié|k ɨ s j ˈɛ
ketanji|k ˌe t ɐ̃ ŋ ʒ ˈi
ketchup|k ɨ t ʃ ˈu p
kethlen| k ˈɛ θ l ə n (pt-pt)
ketlen|k ˈe t l eɪ ŋ
ketlin|k ɨ t l ˈi n
ketlyn|k ɨ t l ˈi n
keto|k ˈɛ t ʊ
keven|k ˈe v eɪ ŋ
kevin|k ɨ v ˈi n
kevin'|k ɨ v ˈi n
kevinho|k ˌe v ˈi ɲ ʊ
kevinn|k ɨ v ˈi ŋ n
keyless|k eɪ l ˈɛ s
keyllo|k ˈeɪ l ʊ
keys|k ˈeɪ ʃ
keyt|k ˈeɪ t
keyti|k eɪ t ˈi
kezia|k ˌe z ˈi  ɐ
kfouri|k f u w ɾ ˈi
kg|k ˌɐ p ɐ ɡ ˈe
kgb|k ˌɐ p ɐ ʒ ˌe b ˈe
khachanov|k ˌɐ ʃ ɐ̃ n ˈo v
khalid|k ɐ l ˈi d
khan|k ˈɐ̃ ŋ
kharkiv|k ɐ ɾ ə k ˈi v
khashoggi|k ˌɐ ʒ u ʒ ˈi
khatibzadeh|k ˌɐ t i b z ɐ d ˈe
khellven|k ˈɛ l v eɪ ŋ
kherson|k ˈe ɾ ə s u ŋ
khloé|k l u ˈɛ
khor|k ˈo ɹ
khosnolin|k ˌu ʒ n u l ˈi n
kia|k ˈi  ɐ
kiara|k ˌi  ˈa ɾ ɐ
kiaxi|k ˌi  ɐ k s ˈi
kibidé|k ˌi b i d ˈɛ
kicis|k i s ˈi ʃ
kickboxing| k ˈɪ k b ɒ k s ɪ ŋ (pt-pt)
kid|k ˈi d
kidd|k ˈi d
kids|k ˈi d ʃ
kiefer|k ˌi  ɨ f ˈe ɹ
kieran|k ˌi  ɨ ɾ ˈɐ̃ ŋ
kiev|k i  ˈe v
kiev”|k i  ˈe v
kihavah|k ˌi  ɐ v ˈa
kikito|k ˌi k ˈi t ʊ
kilamba|k ˌi l ˈɐ̃ m b ɐ
kill|k ˈi l
killer|k i l ˈe ɹ
killers|k i l ˈe ɾ ə ʃ
kiloutou|k ˌi l u w t ˈo w
kim|k ˈi ŋ
kimberly|k ˌi m b ˈe ɾ ə l i
kimmich|k i m m ˈi ʃ
kimono|k ˌi m ˈo n ʊ
kimura|k ˌi m ˈu ɾ ɐ
kinabalu|k ˌi n ɐ b ɐ l ˈu
kinder|k i ŋ d ˈe ɹ
kindle|k ˈi ŋ d l ɨ
kindlifresserbrunnen|k ˌi ŋ d l i f ɹ ˌɨ s ɨ ɾ ə b ɹ ˈũ ŋ n eɪ ŋ
king|k ˈi ŋ ɡ
king's|k ˈi ŋ ɡ ʃ
kinga|k ˈi ŋ ɡ ɐ
kingston|k i ŋ ɡ s t ˈo ŋ
king’s|k ˈi ŋ ɡ ʃ
kinley|k i ŋ l ˈeɪ
kinzinger|k ˌi ŋ z i ŋ ʒ ˈe ɹ
kirby|k ˈi ɾ ə b i
kirchner|k i ɾ ə ʃ n ˈe ɹ
kirchneristas|k ˌi ɾ ə ʃ n ɨ ɾ ˈi ʃ t ɐ ʃ
kiril|k i ɾ ˈi l
kirilenko|k ˌi ɾ i l ˈeɪ ŋ k ʊ
kirk|k ˈi ɾ ə k
kiruna|k ˌi ɾ ˈu n ɐ
kis|k ˈi ʃ
kiseki|k ˌi z ɨ k ˈi
kishida|k ˌi ʒ ˈi d ɐ
kit|k ˈi t
kita|k ˈi t ɐ
kitagawa|k ˌi t ɐ ɡ ˈa w ɐ
kitana|k ˌi t ˈɐ̃ n ɐ
kitchen|k ˈi t ʃ eɪ ŋ
kitesurfista|k ˌi t ɨ z u ɾ ə f ˈi ʃ t ɐ
kito|k ˈi t ʊ
kits|k ˈi t ʃ
kivás|k i v ˈa ʃ
kiyogo|k j j ˈɔ ɡ ʊ
kk|k ˌɐ p ɐ k ˈa p ɐ
kkkkk|k ˌɐ p ɐ k ˌɐ p ɐ k ˈa p ɐ k ˌɐ p ɐ k ˈa p ɐ
kkkkkkkkk|k ˌɐ p ɐ k ˌɐ p ɐ k ˈa p ɐ k ˌɐ p ɐ k ˌɐ p ɐ k ˈa p ɐ k ˌɐ p ɐ k ˌɐ p ɐ k ˈa p ɐ
kkkkkkkkkkkkk|k ˌɐ p ɐ k ˌɐ p ɐ k ˈa p ɐ k ˌɐ p ɐ k ˌɐ p ɐ k ˈa p ɐ k ˌɐ p ɐ k ˌɐ p ɐ k ˈa p ɐ k ˌɐ p ɐ k ˌɐ p ɐ k ˌɐ p ɐ k ˈa p ɐ
kkkkkkkkkkkkkk|k ˌɐ p ɐ k ˌɐ p ɐ k ˈa p ɐ k ˌɐ p ɐ k ˌɐ p ɐ k ˈa p ɐ k ˌɐ p ɐ k ˌɐ p ɐ k ˈa p ɐ k ˌɐ p ɐ k ˌɐ p ɐ k ˈa p ɐ k ˌɐ p ɐ k ˈa p ɐ
klaassen|k l ˌɐ ˈa s eɪ ŋ
klabin|k l ɐ b ˈi n
klara|k l ˈa ɾ ɐ
klatten|k l ˈa t eɪ ŋ
klaudia|k l ˌaʊ d ˈi  ɐ
klauss|k l ˈaʊ s
klaytn|k l ˈaɪ t n
klb|k ˌɐ p ɐ ˌɛ l b ˈe
kleber|k l ɨ b ˈe ɹ
kleenex|k l ˌi  ɨ n ˈɛ k s
klee’|k l ˈi  ɨ
klein|k l ˈaɪ n
kleina|k l ˈeɪ n ɐ
klemer|k l ɨ m ˈe ɹ
klever|k l ɨ v ˈe ɹ
kley|k l ˈeɪ
klingele|k l ˌi ŋ ʒ ˈɛ l ɨ
klopp|k l ˈo p
kléber|k l ˈɛ b ɨ ɹ
kléberson|k l ˈɛ b ɨ ɾ ə s u ŋ
klébér|k l ˈɛ b ˈɛ ɹ
km|k ˌɐ p ɐ ˈɛ m
knaresborough|k n ˌɐ ɾ ɨ ʒ b u ɾ ˈo w ɡ
kneib|k n ɨ ˈi b
knicks|k n ˈi k ʃ
knight| n ˈaɪ t (pt-pt)
knights| n ˈaɪ t s (pt-pt)
knippenberg|k n ˌi p eɪ ŋ b ˈe ɾ ə ɡ
knorr|k n ˈo r
know| n ˈəʊ (pt-pt)
knudson|k n ˈu d s u ŋ
koaric|k ˌu ɐ ɾ ˈi k
kodama|k ˌu d ˈɐ̃ m ɐ
kodaryonok|k ˌu d ɐ ɾ j u n ˈo k
koffi|k u f ˈi
kogout|k u ɡ ˈo w t
kogut|k u ɡ ˈu t
kojima|k ˌu ʒ ˈi m ɐ
kolos|k ˈo l ʊ ʃ
kombat|k u m b ˈa t
kombis|k u m b ˈi ʃ
kommandos|k ˌu m m ˈɐ̃ ŋ d ʊ ʃ
komodo|k ˌu m ˈo d ʊ
komsic|k u m s ˈi k
konami|k ˌu n ɐ̃ m ˈi
kondlatsch|k u ŋ d l ˈa t s ʃ
kong|k ˈo ŋ ɡ
kongo|k ˈo ŋ ɡ ʊ
konishi|k ˌu n i ʒ ˈi
konorramaru|k ˌu n u ʁ ɐ m ɐ ɾ ˈu
konstantin|k ˌu ŋ s t ɐ̃ ŋ t ˈi n
kopenaua|k ˌu p ɨ n ˈaʊ ɐ
kopenawa|k ˌu p ɨ n ˈa w ɐ
kora|k ˈɔ ɾ ɐ
korando|k ˌu ɾ ˈɐ̃ ŋ d ʊ
kord|k ˈo ɾ ə d
koressawa|k ˌu ɾ ɨ s ˈa w ɐ
korolev|k ˌu ɾ u l ˈe v
korosi|k ˌu ɾ u z ˈi
korpatsch|k u ɾ ə p ˈa t s ʃ
kortrijk|k u ɾ ə t ɹ ˈi ʒ k
kos|k ˈʊ ʃ
koshak|k u ʒ ˈa k
kosi|k u z ˈi
koslowski|k ˌu ʒ l u w s k ˈi
kosovo|k ˌu z ˈo v ʊ
kota|k ˈɔ t ɐ
kotinda|k ˌu t ˈi ŋ d ɐ
koundé|k u w n d ˈɛ
koussevitzki|k ˌu w s ɨ v i t z k ˈi
kovacic|k ˌu v ɐ s ˈi k
kovalchiuk|k u v ˌɑ l ʃ i  ˈu k
kozan|k u z ˈɐ̃ ŋ
kp|k ˌɐ p ɐ p ˈe
kpis|k p ˈi ʃ
kr|k ˌɐ p ɐ ˈɛ r r
krack|k ɹ ˈa k
kraemer|k ɹ ˌɐ ɨ m ˈe ɹ
krajcberg|k ɹ ɐ ʒ k b ˈe ɾ ə ɡ
kramaric|k ɹ ɐ m ɐ ɾ ˈi k
kramators|k ɹ ɐ m ɐ t ˈo ɾ ə ʃ
kramatorsk|k ɹ ɐ m ɐ t ˈo ɾ ə s k
kratos|k ɹ ˈa t ʊ ʃ
kraus|k ɹ ˈaʊ ʃ
kravchychyn|k ɹ ˌɐ v ʃ i ʃ ˈi n
krebsonsecurity|k ɹ ˌe b s u ŋ s ˌe k u ɾ ˈi t i
kremlim|k ɹ eɪ m l ˈi ŋ
kremlin|k ɹ eɪ m l ˈi n
kreutz|k ɹ ɨ ˈu t ʃ
kribirsk|k ɹ i b ˈi ɾ ə s k
krieps|k ɹ i  ˈe p ʃ
krilltech|k ɹ ˈi l t ˌɛ ʃ
kriptonita|k ɹ ˌi p t u n ˈi t ɐ
kris|k ɹ ˈi ʃ
kristalina|k ɹ ˌi ʃ t ɐ l ˈi n ɐ
kristan|k ɹ i ʃ t ˈɐ̃ ŋ
kristen|k ɹ ˈi ʃ t eɪ ŋ
krugman|k ɹ u ɡ m ˈɐ̃ ŋ
krupoviesa|k ɹ ˌu p u v i  ˈe z ɐ
krypton|k ɹ i p t ˈo ŋ
krystófi|k ɹ ˌi ʃ t ˈɔ f i
ksk|k ˌɐ p ɐ ˌɛ s k ˈa p ɐ
ktm|k ˌɐ p ɐ t ˌe ˈɛ m
ku|k ˈu
kuaishou|k ˌu aɪ ʒ ˈo w
kuarup|k ˌu ɐ ɾ ˈu p
kuba|k ˈu b ɐ
kubitschek|k ˌu b i t s ʃ ˈe k
kubra|k ˈu b ɹ ɐ
kubrakov|k ˌu b ɹ ɐ k ˈo v
kudretsky|k ˌu d ɹ ˈe t s k i
kuduro”|k ˌu d ˈu ɾ ʊ
kuelho|k ˌu ˈe ʎ ʊ
kuhn|k ˈu n
kuikuro|k ˌuɪ k ˈu ɾ ʊ
kuir|k u ˈi ɹ
kuleba|k ˌu l ˈe b ɐ
kumar|k u m ˈa ɹ
kuna|k ˈu n ɐ
kunde|k ˈũ ŋ d ɨ
kundlatsch|k ũ ŋ d l ˈa t s ʃ
kunimoto|k ˌu n i m ˈɔ t ʊ
kunming| k ˈʌ n ə m ɪ ŋ (pt-pt)
kunshan|k ũ ŋ ʃ ˈɐ̃ ŋ
kuol|k w ˈɔ l
kupiansk|k ˌu p i  ˈɐ̃ ŋ s k
kupp|k ˈu p
kurama|k ˌu ɾ ˈɐ̃ m ɐ
kurd|k ˈu ɾ ə d
kurobe|k ˌu ɾ ˈo b ɨ
kuroda|k ˌu ɾ ˈɔ d ɐ
kurora|k ˌu ɾ ˈɔ ɾ ɐ
kurt|k ˈu ɾ ə t
kurtz|k ˈu ɾ ə t ʃ
kusama|k ˌu z ˈɐ̃ m ɐ
kuscevic|k ˌu s ɨ v ˈi k
kusch|k ˈu ʃ ʃ
kv|k ˌɐ p ɐ v ˈe
kvass|k v ˈa s
kwanzas|k w ˈɐ̃ ŋ z ɐ ʃ
kwanzas”|k w ˈɐ̃ ŋ z ɐ ʃ
kwong|k w ˈo ŋ ɡ
kyi|k j ˈi
kyiv|k j ˈi v
kylian|k ˌi l i  ˈɐ̃ ŋ
kyootbot|k j ˌu u t b ˈo t
kyoto|k j ˈɔ t ʊ
kyrgios|k i ɾ ə ʒ ˈiʊ ʃ
kyrie|k ˌi ɾ ˈi  ɨ
kyrylo|k ˌi ɾ ˈi l ʊ
kyslytsya|k ˌi ʒ l ˈi t s j ɐ
kythera| k ˈɪ θ ɜː ɹ ə (pt-pt)
kássio|k ˈa s j ʊ
kátia|k ˈa t j ɐ
kélida|k ˈɛ l i d ɐ
kênia|k ˈe n j ɐ
königsberg|k ˌu n i ɡ z b ˈe ɾ ə ɡ
kühtaamia|k ˌu t ɐ ɐ m ˈi  ɐ
l|ˈɛ l
l'institut|l ˌi ŋ s t i t ˈu t
l'équipe|l ˈɛ k i p ɨ
la|l ˈɐ
laac|l ɐ ˈa k
laatus|l ˌɐ ɐ t ˈu ʃ
lab|l ˈa b
labaredas|l ˌɐ b ɐ ɾ ˈe d ɐ ʃ
labatut|l ˌɐ b ɐ t ˈu t
labelo|l ˌɐ b ˈɛ l ʊ
labial|l ˌɐ b i  ˈɑ l
labibe|l ˌɐ b ˈi b ɨ
labirinto|l ˌɐ b i ɾ ˈi ŋ t ʊ
lablínguas|l ˌɐ b l ˈi ŋ ɡ w ɐ ʃ
laborais|l ˌɐ b u ɾ ˈaɪ ʃ
laboral|l ˌɐ b u ɾ ˈɑ l
laboralmente|l ˌɐ b u ɾ ˌɑ l m ˈeɪ ŋ t ɨ
laboratoriais|l ˌɐ b u ɾ ˌɐ t u ɾ i  ˈaɪ ʃ
laboratorial|l ˌɐ b u ɾ ˌɐ t u ɾ i  ˈɑ l
laboratório|l ˌɐ b u ɾ ɐ t ˈɔ ɾ j ʊ
laboratórios|l ˌɐ b u ɾ ɐ t ˈɔ ɾ iʊ ʃ
laboratórios”|l ˌɐ b u ɾ ɐ t ˈɔ ɾ j ʊ ʃ
labore|l ˌɐ b ˈɔ ɾ ɨ
labores|l ˌɐ b ˈo ɾ ɨ ʃ
labrador|l ˌɐ b ɹ ɐ d ˈo ɹ
labrinth| l ˈa b ɹ ɪ n θ (pt-pt)
labriola|l ˌɐ b ɹ i  ˈɔ l ɐ
labsid|l ɐ b s ˈi d
labsonica|l ˌɐ b s u n ˈi k ɐ
labuta|l ˌɐ b ˈu t ɐ
labutações|l ˌɐ b u t ɐ s ˈõ j ʃ
lacaio|l ˌɐ k ˈaɪ  ʊ
lacen|l ˈa s eɪ ŋ
lacerado|l ˌɐ s ɨ ɾ ˈa d ʊ
lacerda|l ˌɐ s ˈɛ ɾ ə d ɐ
lachlan|l ɐ ʃ l ˈɐ̃ ŋ
laci|l ɐ s ˈi
lacmar|l ɐ k m ˈa ɹ
lacombe|l ˌɐ k ˈo m b ɨ
laconismo|l ˌɐ k u n ˈi ʒ m ʊ
lacradas|l ˌɐ k ɹ ˈa d ɐ ʃ
lacrado|l ˌɐ k ɹ ˈa d ʊ
lacrados|l ˌɐ k ɹ ˈa d ʊ ʃ
lacrar|l ɐ k ɹ ˈa ɹ
lacre|l ˈa k ɹ ɨ
lacres|l ˈa k ɹ ɨ ʃ
lacrimejar|l ˌɐ k ɹ i m ɨ ʒ ˈa ɹ
lacrimejarem|l ˌɐ k ɹ i m ɨ ʒ ˈa ɾ eɪ ŋ
lacrimogêneo|l ˌɐ k ɹ i m u ʒ ˈe n i  ʊ
lactantes|l ˌɐ t ˈɐ̃ ŋ t ɨ ʃ
lactação|l ˌɐ t ɐ s ˈɐ̃ʊ̃
lacticínios|l ˌɐ t i s ˈi n iʊ ʃ
lactose|l ˌɐ t ˈɔ z ɨ
lacuna|l ˌɐ k ˈu n ɐ
lacunas|l ˌɐ k ˈu n ɐ ʃ
ladainha|l ˌɐ d ɐ ˈi ɲ ɐ
ladeada|l ˌɐ d i  ˈa d ɐ
ladeado|l ˌɐ d i  ˈa d ʊ
ladeiam|l ˌɐ d ˈeɪ  ɐ̃ʊ̃
ladeira|l ˌɐ d ˈeɪ ɾ ɐ
ladeiras|l ˌɐ d ˈeɪ ɾ ɐ ʃ
laden|l ˈa d eɪ ŋ
ladies|l ˌɐ d ˈi  ɨ ʃ
ladinho|l ˌɐ d ˈi ɲ ʊ
lado|l ˈa d ʊ
lado'|l ˈa d ʊ
lador|l ɐ d ˈo ɹ
lados|l ˈa d ʊ ʃ
lado’|l ˈa d ʊ
lado”|l ˈa d ʊ
ladra|l ˈa d ɹ ɐ
ladrilho|l ˌɐ d ɹ ˈi ʎ ʊ
ladrão|l ɐ d ɹ ˈɐ̃ʊ̃
ladrão”|l ɐ d ɹ ˈɐ̃ʊ̃
ladrões|l ɐ d ɹ ˈõ j ʃ
lady|l ˈeɪ d ɨ
ladybug|l ˌɐ d i b ˈu ɡ
ladário|l ˌɐ d ˈa ɾ j ʊ
lafaiete|l ˌɐ f aɪ  ˈɛ t ɨ
lafões|l ɐ f ˈõ j ʃ
lag|l ˈa ɡ
lagarde|l ˌɐ ɡ ˈa ɾ ə d ɨ
lagares|l ˌɐ ɡ ˈa ɾ ɨ ʃ
lagarto|l ˌɐ ɡ ˈa ɾ ə t ʊ
lagartos|l ˌɐ ɡ ˈa ɾ ə t ʊ ʃ
lage|l ˈa ʒ ɨ
lager|l ɐ ʒ ˈe ɹ
lages|l ˈa ʒ ɨ ʃ
lago|l ˈa ɡ ʊ
lagoa|l ˌɐ ɡ ˈo ɐ
lagoas|l ˌɐ ɡ ˈo ɐ ʃ
lagoinha|l ˌɐ ɡ u ˈi ɲ ɐ
lagoon|l ɐ ɡ ˈʊ n
lagos|l ˈa ɡ ʊ ʃ
lagosta|l ˌɐ ɡ ˈo ʃ t ɐ
lagostim|l ˌɐ ɡ u ʃ t ˈi ŋ
lagoão|l ˌɐ ɡ u ˈɐ̃ʊ̃
lagrange|l ˌɐ ɡ ɹ ˈɐ̃ ŋ ʒ ɨ
laguna|l ˌɐ ɡ ˈu n ɐ
lahesio|l ˌɐ ɨ z ˈiʊ
lai|l ˈaɪ
laia|l ˈaɪ  ɐ
laiane|l ˌaɪ  ˈɐ̃ n ɨ
laicismo|l ˌaɪ s ˈi ʒ m ʊ
laicos|l ˈaɪ k ʊ ʃ
laien|l ˈaɪ  eɪ ŋ
laignier|l ˌɐ i ɡ n i  ˈɛ ɹ
laika|l ˈaɪ k ɐ
laila|l ˈaɪ l ɐ
lais|l ˈaɪ ʃ
laive|l ˈaɪ v ɨ
laivi|l aɪ v ˈi
laivos|l ˈaɪ v ʊ ʃ
laje|l ˈa ʒ ɨ
lajeado|l ˌɐ ʒ i  ˈa d ʊ
lajem|l ˈa ʒ eɪ ŋ
lajes|l ˈa ʒ ɨ ʃ
lajinha|l ˌɐ ʒ ˈi ɲ ɐ
lake|l ˈa k ɨ
lakers|l ɐ k ˈe ɾ ə ʃ
laks|l ˈa k ʃ
lala|l ˈa l ɐ
lalani|l ˌɐ l ɐ̃ n ˈi
laleska|l ˌɐ l ˈe ʃ k ɐ
laliga|l ˌɐ l ˈi ɡ ɐ
laloni|l ˌɐ l u n ˈi
lam|l ˈɐ̃ʊ̃
lama|l ˈɐ̃ m ɐ
lamacento|l ɐ m ɐ s ˈeɪ ŋ t ʊ
laman|l ɐ̃ m ˈɐ̃ ŋ
lamar|l ɐ m ˈa ɹ
lamares|l ɐ m ˈa ɾ ɨ ʃ
lamari|l ɐ m ɐ ɾ ˈi
lamartine|l ɐ m ɐ ɾ ə t ˈi n ɨ
lamas|l ˈɐ̃ m ɐ ʃ
lamasenta|l ɐ m ɐ z ˈeɪ ŋ t ɐ
lamaçal|l ɐ m ɐ s ˈɑ l
lamb|l ˈɐ̃ m b
lambança|l ˌɐ̃ m b ˈɐ̃ ŋ s ɐ
