$|d ˈo l a
lutfisk|l ˈu t f i s k
luther|l ˈu θ e r
lutherani|l ˌu θ e r ˈa n i
luti|l ˈu t i
luton|l ˈu t o n
lutu|l ˈu t u
lutumba|l u t ˈu m b a
lutundwe|l u t ˈu n d w e
luv|l ˈu v
luvironza|l ˌu v i r ˈo n z a
luwegu|l u w ˈe ɡ u
luwum|l ˈu w u m
luxembourg|l ˌu k s e m b ˈo u r ɡ
luxemburg|l u k s ˈe m b u r ɡ
luxemburgska|l ˌu k s e m b ˈu r ɡ s k a
luxuös|l u k s ˈu o s
luzon|l ˈu z o n
lwa|l w ˈa
lwenzera|l w e n z ˈe r a
lwezear|l w e z ˈe a r
lya|l j ˈa
lyan|l j ˈa n
lycaena|l j k a ˈe n a
lycka|l j k k ˈa
lyckad|l j k k ˈa d
lyckades|l j k  k ˈa d e s
lyckas|l j k k ˈa s
lyckat|l j k k ˈa t
lyckats|l j k k ˈa t s
lycklig|l j k k l ˈi ɡ
lyckligt|l j k k l ˈi ɡ t
lyckligtvis|l j k  k l ˈi ɡ t v i s
lyder|l j d ˈe r
lyft|l j f t
lyfta|l j f t ˈa
lyftkranarna|l j f t  k  r a n ˈa r n a
lyimo|l j ˈi m o
lying|l j ˈi ŋ ɡ
lyle|l j l ˈe
lynch|l j ˈn̩ tʃ
lynette|l j n ˈe t t e
lynx|l j n k s
lyon|l j ˈo n
lyons|l j ˈo n s
lyra|l j r ˈa
lyricism|l j r ˈi k i s m
lysande|l j s ˈa n d e
lyser|l j s ˈe r
lysing|l j s ˈi ŋ ɡ
lyssna|l j s s n ˈa
lyssnade|l j s s n ˈa d e
lyssnar|l j s s n ˈa r
lyssnare|l j s s n ˈa r e
lyster|l j s t ˈe r
lyte|l j t ˈe
lyxhotell|l j k s h ˈo t e l l
läckage|l a k  k ˈa ɡ e
läderföremål|l ˌa d e r f o r ˈe m a l
läge|l ˈa ɡ e
lägenhet|l a ɡ ˈe n h e t
lägenheten|l ˌa ɡ e n h ˈe t e n
lägerplats|l a ɡ ˈe r p l a t s
läget|l ˈa ɡ e t
lägg|l ˈa ɡ ɡ
lägga|l ˈa ɡ ɡ a
lägger|l ˈa ɡ ɡ e r
läggs|l ˈa ɡ ɡ s
lägre|l ˈa ɡ  r e
lägst|l ˈa ɡ s t
lägsta|l ˈa ɡ s t a
läkare|l a k ˈa r e
läkarmottagningen|l ˌa k a r  m ˌo t t a ɡ n ˈi ŋ ɡ e n
läkarna|l a k ˈa r n a
läkeörter|l ˌa k e ˈo r t e r
lämna|l ˈa m n a
lämnade|l a m n ˈa d e
lämnades|l a m n ˈa d e s
lämnar|l ˈa m n a r
lämnas|l ˈa m n a s
lämnat|l ˈa m n a t
lämpade|l a m p ˈa d e
lämpat|l ˈa m p a t
länder|l ˈa n d e r
länderna|l a n d ˈe r n a
länen|l ˈa n e n
länge|l ˈa ŋ ɡ e
längre|l ˈa ŋ ɡ  r e
längs|l ˈa ŋ ɡ s
längsmed|l ˈa ŋ ɡ s m e d
längst|l ˈa ŋ ɡ s t
längtade|l a ŋ ɡ t ˈa d e
längtar|l ˈa ŋ ɡ t a r
längtat|l ˈa ŋ ɡ t a t
länkar|l ˈa ŋ k a r
länkning|l ˈa ŋ k n i ŋ ɡ
läns|l ˈa n s
länsar|l ˈa n s a r
läppstift|l ˈa p p s t i f t
lär|l ˈa r
lära|l ˈa r a
läran|l ˈa r a n
lärande|l a r ˈa n d e
lärare|l a r ˈa r e
lärarförbundets|l ˌa r a r f o r b ˈu n d e t s
lärarinnan|l ˌa r a r ˈi n n a n
lärarna|l a r ˈa r n a
lärarnas|l a r ˈa r n a s
lärartätheten|l ˌa r a r t a θ ˈe t e n
lärarutbildningshuset|l ˌa r a r ˌu t b i l d n i ŋ ɡ ʃ ˈu s e t
lärde|l ˈa r d e
lärkan|l ˈa r k a n
lärlingsvägen|l ˌa r l i ŋ ɡ s v ˈa ɡ e n
läromedel|l ˌa r o m ˈe d e l
lärt|l ˈa r t
läs|l ˈa s
läsa|l ˈa s a
läsare|l a s ˈa r e
läsarkategorierna|l ˌa s a r  k ˌa t e ɡ ˌo r i ˈe r n a
läser|l ˈa s e r
läses|l ˈa s e s
läst|l ˈa s t
läste|l ˈa s t e
läsår|l ˈa s a r
lät|l ˈa t
läten|l ˈa t e n
lätt|l ˈa t t
lätta|l ˈa t t a
lättad|l ˈa t t a d
lättade|l a t t ˈa d e
lättadministrerade|l ˌa t t a d  m ˌi n i s t  r e r ˈa d e
lättare|l a t t ˈa r e
lättaste|l a t t ˈa s t e
lättfil|l ˈa t t f i l
lättförtjänta|l ˌa t t f o r t ɟ ˈa n t a
lättja|l ˈa t t ɟ a
lättnaderna|l ˌa t t n a d ˈe r n a
lättpaddlat|l a t t p ˈa d d l a t
lättsmord|l ˈa t t s m o r d
lättyoghurt|l a t t j ˈo ɣ u r t
låda|l ˈa d a
lådboxen|l a d b ˈo k s e n
lådor|l ˈa d o r
låg|l ˈa ɡ
låga|l ˈa ɡ a
lågavlönade|l ˌa ɡ a v l o n ˈa d e
lågmälda|l a ɡ  m ˈa l d a
låna|l ˈa n a
lånade|l a n ˈa d e
låneekonomins|l ˌa n e ˌe k o n ˈo m i n s
låneärende|l ˌa n e a r ˈe n d e
lång|l ˈa ŋ ɡ
långa|l ˈa ŋ ɡ a
långbyxorna|l a ŋ ɡ b j k s ˈo r n a
långdragens|l a ŋ ɡ d  r ˈa ɡ e n s
långivare|l ˌa ŋ ɡ i v ˈa r e
långlunch|l a ŋ ɡ l ˈu n̩ tʃ
långresenärer|l ˌa ŋ ɡ  r e s e n ˈa r e r
långrock|l ˈa ŋ ɡ  r o k k
långsam|l ˈa ŋ ɡ s a m
långsammare|l ˌa ŋ ɡ s a m  m ˈa r e
långsamt|l ˈa ŋ ɡ s a m t
långsidorna|l ˌa ŋ ɡ s i d ˈo r n a
långsiktig|l a ŋ ɡ s ˈi k t i ɡ
långsiktiga|l ˌa ŋ ɡ s i k t ˈi ɡ a
långsiktigt|l a ŋ ɡ s ˈi k t i ɡ t
långt|l ˈa ŋ ɡ t
långvagnar|l a ŋ ɡ v ˈa ɡ n a r
långvårdsklinikerna|l ˌa ŋ ɡ v a r d s  k l ˌi n i k ˈe r n a
låret|l ˈa r e t
låsbara|l a s b ˈa r a
låstes|l ˈa s t e s
låt|l ˈa t
låta|l ˈa t a
låtar|l ˈa t a r
låten|l ˈa t e n
låter|l ˈa t e r
låtit|l ˈa t i t
låtsas|l ˈa t s a s
léger|l ˈe ɡ e r
löd|l ˈo d
lödder|l ˈo d d e r
löffler|l ˈo f f l e r
löfte|l ˈo f t e
löftet|l ˈo f t e t
lögn|l ˈo ɡ n
lögnaraktig|l ˌo ɡ n a r ˈa k t i ɡ
lögnen|l ˈo ɡ n e n
lögner|l ˈo ɡ n e r
löjligt|l ˈo ɟ l i ɡ t
löjtnant|l ˈo ɟ t n a n t
löjtnantshjärtan|l ˌo ɟ t n a n t ʃ ɟ ˈa r t a n
lök|l ˈo k
lökar|l ˈo k a r
lökkupolen|l ˌo k  k u p ˈo l e n
lökkupolerna|l ˌo k  k u p o l ˈe r n a
lökringar|l o k  r ˈi ŋ ɡ a r
lömskt|l ˈo m s k t
lön|l ˈo n
löneflexibilitet|l ˌo n e f l ˌe k s i b i l ˈi t e t
lönehöjningarna|l ˌo n e h ˌo ɟ n i ŋ ɡ ˈa r n a
löneinkomsterna|l ˌo n e ˌi ŋ  k o m s t ˈe r n a
lönekonto|l ˌo n e k ˈo n t o
lönen|l ˈo n e n
löner|l ˈo n e r
lönerna|l o n ˈe r n a
löneskillnader|l ˌo n e s  k i l l n ˈa d e r
lönespridning|l ˌo n e s p  r ˈi d n i ŋ ɡ
löneökningar|l ˌo n e o k n ˈi ŋ ɡ a r
lönnebo|l o n n ˈe b o
lönngången|l o n ŋ ɡ ˈa ŋ ɡ e n
lönsamhet|l o n s ˈa m h e t
löntagarinflytande|l ˌo n t a ɡ ˌa r i n f l j t ˈa n d e
löntagarperspektiv|l ˌo n t a ɡ ˌa r p e r s p ˈe k t i v
löparbanan|l ˌo p a r b ˈa n a n
löparlegenden|l ˌo p a r l e ɡ ˈe n d e n
löper|l ˈo p e r
löpte|l ˈo p t e
lördag|l ˈo r d a ɡ
lördagskväll|l o r d ˈa ɡ s k v a l l
lös|l ˈo s
lösa|l ˈo s a
lösas|l ˈo s a s
lösenord|l o s ˈe n o r d
lösenordet|l ˌo s e n ˈo r d e t
löser|l ˈo s e r
lösgom|l ˈo s ɡ o m
lösning|l ˈo s n i ŋ ɡ
lösningar|l o s n ˈi ŋ ɡ a r
lösningen|l o s n ˈi ŋ ɡ e n
löst|l ˈo s t
löste|l ˈo s t e
löv|l ˈo v
lövbrandt|l ˈo v b  r a n d t
lüneburg|l u n ˈe b u r ɡ
m|ˈe m
ma|m ˈa
ma'am|m ˈa a m
ma'at| m ˈa a t
ma'bo|m ˈa b o
maa|m ˈa a
maaalum|m ˌa a ˈa l u m
maaan|m a ˈa a n
maabara|m ˌa a b ˈa r a
maabate|m ˌa a b ˈa t e
maada|m a ˈa d a
maadamu|m ˌa a d ˈa m u
maadhari| m ˌa a ð ˈa r i
maadhimisho|m ˌa a ð i m ˈi ʃ o
maadiili| m ˌa a d i ˈi l i
maadili|m ˌa a d ˈi l i
maadui|m ˌa a d ˈu i
maafikiano|m ˌa a f ˌi k i ˈa n o
maafisa|m ˌa a f ˈi s a
maagano|m ˌa a ɡ ˈa n o
maagizo|m ˌa a ɡ ˈi z o
maahirisho| m ˌa a h i r ˈi ʃ o
maajabu|m ˌa a ɟ ˈa b u
maakida|m ˌa a k ˈi d a
maakuli|m ˌa a k ˈu l i
maalbamu|m ˌa a l b ˈa m u
maalien|m ˌa a l ˈi e n
maaliens| m ˌa a l ˈi e n s
maalim|m a ˈa l i m
maalum|m a ˈa l u m
maalumu|m ˌa a l ˈu m u
maaluum| m ˌa a l ˈu u m
maambukizi|m ˌa a m b u k ˈi z i
maambukizo|m ˌa a m b u k ˈi z o
maamur|m a ˈa m u r
maamuzi| m ˌa a m ˈu z i
maana|m a ˈa n a
maanani|m ˌa a n ˈa n i
maandalio|m ˌa a n d a l ˈi o
maandalizi|m ˌa a n d a l ˈi z i
maandamano|m ˌa a n d a m ˈa n o
maandazi| m ˌa a n d ˈa z i
maandiko|m ˌa a n d ˈi k o
maandio| m ˌa a n d ˈi o
maandishi|m ˌa a n d ˈi ʃ i
maangamizi|m ˌa a ŋ ɡ a m ˈi z i
maangamizo|m ˌa a ŋ ɡ a m ˈi z o
maangavu|m ˌa a ŋ ɡ ˈa v u
maanguko|m ˌa a ŋ ɡ ˈu k o
maanisha|m ˌa a n ˈi ʃ a
maansar|m a ˈa n s a r
maapizo|m ˌa a p ˈi z o
maarafifa|m ˌa a r a f ˈi f a
maaraufu|m ˌa a r a ˈu f u
maarifa|m ˌa a r ˈi f a
maarifaakili|m ˌa a r ˌi f a a k ˈi l i
maarifaili|m ˌa a r ˌi f a ˈi l i
maarifapokea|m ˌa a r ˌi f a p o k ˈe a
maarifashahidi|m ˌa a r ˌi f a ʃ a h ˈi d i
maarifausimnyime|m ˌa a r ˌi f a ˌu s i m ɲ ˈi m e
maarifawenye|m ˌa a r ˌi f a w ˈe ɲ e
maarufi|m ˌa a r ˈu f i
maarufu|m ˌa a r ˈu f u
maarufuku|m ˌa a r u f ˈu k u
maasai|m ˌa a s ˈa i
maasailand|m ˌa a s a ˈi l a n d
maashera|m ˌa a ʃ ˈe r a
maashtorethi|m ˌa a ʃ t o r ˈe θ i
maashuhuri| m ˌa a ʃ u h ˈu r i
maasi|m a ˈa s i
maaskari|m ˌa a s  k ˈa r i
maaskofu|m ˌa a s  k ˈo f u
maathi|m a ˈa θ i
maatumizi| m ˌa a t u m ˈi z i
maazimio|m ˌa a z i m ˈi o
maazimo| m ˌa a z ˈi m o
mabaa|m a b ˈa a
mabaali|m ˌa b a ˈa l i
mababa| m a b ˈa b a
mababmba|m ˌa b a b ˈm̩ b a
mababu|m a b ˈa b u
mabadiliko|m ˌa b a d i l ˈi k o
mabadilishano|m ˌa b a d ˌi l i ʃ ˈa n o
mabaharia|m ˌa b a h a r ˈi a
mabaka| m a b ˈa k a
mabaki|m a b ˈa k i
mabalcony|m a b ˈa l k o ɲ
mabalimabali|m ˌa b a l ˌi m a b ˈa l i
mabalimbali|m ˌa b a l i m b ˈa l i
maballad|m a b ˈa l l a d
mabalozi|m ˌa b a l ˈo z i
mabamba|m a b ˈa m b a
maban| m ˈa b a n
mabanda|m a b ˈa n d a
mabandani| m ˌa b a n d ˈa n i
mabandari|m ˌa b a n d ˈa r i
mabangladeshi|m ˌa b a ŋ ɡ l a d ˈe ʃ i
mabango|m a b ˈa ŋ ɡ o
mabano| m a b ˈa n o
mabao|m a b ˈa o
mabara|m a b ˈa r a
mabarabara| m ˌa b a r a b ˈa r a
mabarafu|m ˌa b a r ˈa f u
mabaroni| m ˌa b a r ˈo n i
mabasi|m a b ˈa s i
mabata|m a b ˈa t a
mabati|m a b ˈa t i
mabatini| m ˌa b a t ˈi n i
mabavu|m a b ˈa v u
mabawa|m a b ˈa w a
mabawabu| m ˌa b a w ˈa b u
mabaya|m a b ˈa j a
mabayausifurahi|m ˌa b a j ˌa u s ˌi f u r ˈa h i
mabeberu|m ˌa b e b ˈe r u
mabega|m a b ˈe ɡ a
mabegani|m ˌa b e ɡ ˈa n i
mabegi|m a b ˈe ɡ i
mabehewa|m ˌa b e h ˈe w a
mabeki|m a b ˈe k i
mabendi| m a b ˈe n d i
mabenki|m a b ˈe ŋ k i
mabepari|m ˌa b e p ˈa r i
mabeteri| m ˌa b e t ˈe r i
mabia| m a b ˈi a
mabibi|m a b ˈi b i
mabichi|m a b ˈi tʃ i
mabiichi| m ˌa b i ˈi tʃ i
mabikira|m ˌa b i k ˈi r a
mabilionea|m ˌa b i l ˌi o n ˈe a
mabilioni|m ˌa b i l i ˈo n i
mabingwa|m a b ˈi ŋ ɡ w a
mabinti|m a b ˈi n t i
mabirika|m ˌa b i r ˈi k a
mabiringani|m ˌa b i r i ŋ ɡ ˈa n i
mabishano| m ˌa b i ʃ ˈa n o
mabivu|m a b ˈi v u
mabli|m ˈa b l i
mablimbali|m ˌa b l i m b ˈa l i
mabo|m ˈa b o
mabode| m a b ˈo d e
maboga|m a b ˈo ɡ a
mabogawazalishaji| m ˌa b o ɡ ˌa w a z ˌa l i ʃ ˈa ɟ i
maboma|m a b ˈo m a
mabomba|m a b ˈo m b a
mabomu|m a b ˈo m u
mabonde|m a b ˈo n d e
mabondeni|m ˌa b o n d ˈe n i
mabondia|m ˌa b o n d ˈi a
mabopa| m a b ˈo p a
maboti|m a b ˈo t i
mabovu|m a b ˈo v u
mabradha|m a b  r ˈa ð a
mabrahamini| m ˌa b  r a h a m ˈi n i
mabroka|m a b  r ˈo k a
mabruda|m a b  r ˈu d a
mabua|m a b ˈu a
mabudha| m a b ˈu ð a
mabula|m a b ˈu l a
mabulushi|m ˌa b u l ˈu ʃ i
mabunge| m a b ˈu ŋ ɡ e
maburuzo|m ˌa b u r ˈu z o
mabustani|m ˌa b u s t ˈa n i
mabuu|m a b ˈu u
mabwana|m a b w ˈa n a
mabwawa|m a b w ˈa w a
mabwawani| m ˌa b w a w ˈa n i
mabweni| m a b w ˈe n i
mabyo| m ˈa b j o
mac|m ˈa k
macadam|m a k ˈa d a m
macarthur|m a k ˈa r θ u r
macau| m a k ˈa u
macaulay|m ˌa k a ˈu l a j
macbeth|m ˈa k b e θ
macconkey|m a k k ˈo ŋ k e j
macduff|m ˈa k d u f f
macha|m ˈa tʃ a
machachari|m ˌa tʃ a tʃ ˈa r i
machache|m a tʃ ˈa tʃ e
machachemaana|m ˌa tʃ a tʃ ˌe m a ˈa n a
machafu|m a tʃ ˈa f u
machafuko|m ˌa tʃ a f ˈu k o
machaguo|m ˌa tʃ a ɡ ˈu o
machakos|m a tʃ ˈa k o s
machale|m a tʃ ˈa l e
machame|m a tʃ ˈa m e
machanga| m a tʃ ˈa ŋ ɡ a
machaon| m a tʃ ˈa o n
machapisho|m ˌa tʃ a p ˈi ʃ o
machar|m ˈa tʃ a r
macheda|m a tʃ ˈe d a
machel|m ˈa tʃ e l
machela|m a tʃ ˈe l a
machelambaye|m ˌa tʃ e l a m b ˈa j e
macheo|m a tʃ ˈe o
machezo|m a tʃ ˈe z o
machi|m ˈa tʃ i
machifu|m a tʃ ˈi f u
machimbo| m a tʃ ˈi m b o
machine|m a tʃ ˈi n e
machinga|m a tʃ ˈi ŋ ɡ a
machinjioni| m ˌa tʃ i ɲ ɟ i ˈo n i
machinjo|m a tʃ ˈi ɲ ɟ o
machinjoni|m ˌa tʃ i ɲ ɟ ˈo n i
machipuko|m ˌa tʃ i p ˈu k o
macho|m ˈa tʃ o
machoni|m a tʃ ˈo n i
machotara|m ˌa tʃ o t ˈa r a
machousitoke|m ˌa tʃ o ˌu s i t ˈo k e
machozi|m a tʃ ˈo z i
machoziheshboni|m ˌa tʃ o z ˌi h e ʃ b ˈo n i
machray|m ˈa tʃ  r a j
machubuko|m ˌa tʃ u b ˈu k o
machukio|m ˌa tʃ u k ˈi o
machukizo|m ˌa tʃ u k ˈi z o
machuma| m a tʃ ˈu m a
machungu|m a tʃ ˈu ŋ ɡ u
machunguzo|m ˌa tʃ u ŋ ɡ ˈu z o
machungwa|m a tʃ ˈu ŋ ɡ w a
machwa|m ˈa tʃ w a
maciej| m a k ˈi e ɟ
macintosh|m a k ˈi n t o ʃ
mackapärerna|m ˌa k  k a p a r ˈe r n a
mackinder|m a k  k ˈi n d e r
mackinnon|m a k  k ˈi n n o n
macrolides|m ˌa k  r o l ˈi d e s
macromedia|m ˌa k  r o m e d ˈi a
mad|m ˈa d
mada|m ˈa d a
madada|m a d ˈa d a
madagascar|m ˌa d a ɡ ˈa s k a r
madagaska|m ˌa d a ɡ ˈa s k a
madaha|m a d ˈa h a
madahara| m ˌa d a h ˈa r a
madahiro| m ˌa d a h ˈi r o
madai|m a d ˈa i
madakitari|m ˌa d a k i t ˈa r i
madaktari|m ˌa d a k t ˈa r i
madan|m ˈa d a n
madaraja|m ˌa d a r ˈa ɟ a
madaraka|m ˌa d a r ˈa k a
madarakani|m ˌa d a r a k ˈa n i
madarasa|m ˌa d a r ˈa s a
madarasani| m ˌa d a r a s ˈa n i
madarsa| m a d ˈa r s a
madau|m a d ˈa u
madawa|m a d ˈa w a
madawati| m ˌa d a w ˈa t i
made| m ˈa d e
madeira| m ˌa d e ˈi r a
madeleine| m ˌa d e l e ˈi n e
madende|m a d ˈe n d e
madeni|m a d ˈe n i
madereva|m ˌa d e r ˈe v a
madhaalimu| m ˌa ð a a l ˈi m u
madhabahu|m ˌa ð a b ˈa h u
madhabahuni|m ˌa ð a b a h ˈu n i
madhalimu|m ˌa ð a l ˈi m u
madhambi|m a ð ˈa m b i
madhara|m a ð ˈa r a
madhehebu|m ˌa ð e h ˈe b u
madhila|m a ð ˈi l a
madhubuti|m ˌa ð u b ˈu t i
madhulumu|m ˌa ð u l ˈu m u
madhumuni|m ˌa ð u m ˈu n i
madiba|m a d ˈi b a
madikiteta| m ˌa d i k i t ˈe t a
madikizela|m ˌa d i k i z ˈe l a
madikteta|m ˌa d i k t ˈe t a
madimbwi| m a d ˈi m b w i
madina|m a d ˈi n a
madini|m a d ˈi n i
madirisha|m ˌa d i r ˈi ʃ a
madirishani|m ˌa d i r i ʃ ˈa n i
madison|m a d ˈi s o n
madiwani|m ˌa d i w ˈa n i
madkatari| m ˌa d  k a t ˈa r i
madmena|m a d  m ˈe n a
madoa|m a d ˈo a
madoadoa|m ˌa d o a d ˈo a
madogo|m a d ˈo ɡ o
madogomadogo|m ˌa d o ɡ ˌo m a d ˈo ɡ o
madoka|m a d ˈo k a
madokezo| m ˌa d o k ˈe z o
madola|m a d ˈo l a
madoli|m a d ˈo l i
madomobuluu| m ˌa d o m ˌo b u l ˈu u
madona|m a d ˈo n a
madonda|m a d ˈo n d a
madondoo| m ˌa d o n d ˈo o
madongoa|m ˌa d o ŋ ɡ ˈo a
madrasa|m a d  r ˈa s a
madri|m ˈa d  r i
madrid|m ˈa d  r i d
maduda|m a d ˈu d a
maduka|m a d ˈu k a
madukani|m ˌa d u k ˈa n i
madume|m a d ˈu m e
mae|m ˈa e
maegesho|m ˌa e ɡ ˈe ʃ o
maelazo|m ˌa e l ˈa z o
maelefu|m ˌa e l ˈe f u
maelekeo|m ˌa e l e k ˈe o
maelemeo|m ˌa e l e m ˈe o
maelewano|m ˌa e l e w ˈa n o
maelezo|m ˌa e l ˈe z o
maelfu|m a ˈe l f u
maembe| m a ˈe m b e
maemsii| m ˌa e m s ˈi i
maendeleo|m ˌa e n d e l ˈe o
maendelezo|m ˌa e n d e l ˈe z o
maendelo| m ˌa e n d ˈe l o
maendleo| m ˌa e n d l ˈe o
maeneno| m ˌa e n ˈe n o
maeneo|m ˌa e n ˈe o
maengo|m a ˈe ŋ ɡ o
maestra|m a ˈe s t  r a
maevatanana| m ˌa e v ˌa t a n ˈa n a
maf|m ˈa f
mafadhaiko|m ˌa f a ð a ˈi k o
mafahali|m ˌa f a h ˈa l i
mafahari|m ˌa f a h ˈa r i
mafaili|m ˌa f a ˈi l i
mafala| m a f ˈa l a
mafanakio| m ˌa f a n a k ˈi o
mafananisho|m ˌa f a n a n ˈi ʃ o
mafanikio| m ˌa f a n i k ˈi o
mafaniko| m ˌa f a n ˈi k o
mafano|m a f ˈa n o
mafao|m a f ˈa o
mafarakano|m ˌa f a r a k ˈa n o
mafarisayo|m ˌa f a r i s ˈa j o
mafeking| m a f ˈe k i ŋ ɡ
mafereji|m ˌa f e r ˈe ɟ i
maffia|m a f f ˈi a
mafia|m a f ˈi a
mafigo| m a f ˈi ɡ o
mafikira|m ˌa f i k ˈi r a
mafilamu| m ˌa f i l ˈa m u
mafinga|m a f ˈi ŋ ɡ a
mafisadi|m ˌa f i s ˈa d i
mafisi| m a f ˈi s i
mafu|m ˈa f u
mafua|m a f ˈu a
mafumbo|m a f ˈu m b o
mafundi|m a f ˈu n d i
mafundishho| m ˌa f u n d ˈi ʃ h o
mafundisho|m ˌa f u n d ˈi ʃ o
mafungamano|m ˌa f u ŋ ɡ a m ˈa n o
mafungo|m a f ˈu ŋ ɡ o
mafungu|m a f ˈu ŋ ɡ u
mafunjo|m a f ˈu ɲ ɟ o
mafunuo|m ˌa f u n ˈu o
mafunzo|m a f ˈu n z o
mafuriko|m ˌa f u r ˈi k o
mafurko| m a f ˈu r k o
mafurungu|m ˌa f u r ˈu ŋ ɡ u
mafuta|m a f ˈu t a
mafutalakini|m ˌa f u t ˌa l a k ˈi n i
mafutamaana|m ˌa f u t ˌa m a ˈa n a
mafutana| m ˌa f u t ˈa n a
mafuvu|m a f ˈu v u
magadan|m a ɡ ˈa d a n
magadi|m a ɡ ˈa d i
magaharibi|m ˌa ɡ a h a r ˈi b i
magahribi| m ˌa ɡ a h  r ˈi b i
magaidi|m ˌa ɡ a ˈi d i
magaiwa|m ˌa ɡ a ˈi w a
magamba|m a ɡ ˈa m b a
maganda|m a ɡ ˈa n d a
maganga|m a ɡ ˈa ŋ ɡ a
magaonjwa| m ˌa ɡ a ˈo ɲ ɟ u a
magari|m a ɡ ˈa r i
magavana|m ˌa ɡ a v ˈa n a
magazeti|m ˌa ɡ a z ˈe t i
magazetini|m ˌa ɡ a z e t ˈi n i
magdalena|m ˌa ɡ d a l ˈe n a
magdalene|m ˌa ɡ d a l ˈe n e
mage|m ˈa ɡ e
magego|m a ɡ ˈe ɡ o
magellan|m a ɡ ˈe l l a n
magen|m ˈa ɡ e n
magendo|m a ɡ ˈe n d o
magenge|m a ɡ ˈe ŋ ɡ e
mageni|m a ɡ ˈe n i
mager|m ˈa ɡ e r
magereza|m ˌa ɡ e r ˈe z a
magerezani|m ˌa ɡ e r e z ˈa n i
mageria| m ˌa ɡ e r ˈi a
mageuko|m ˌa ɡ e ˈu k o
mageuzi|m ˌa ɡ e ˈu z i
mageuzo|m ˌa ɡ e ˈu z o
maggette|m a ɡ ɡ ˈe t t e
maggid|m ˈa ɡ ɡ i d
maggie|m a ɡ ɡ ˈi e
maggropen|m a ɡ ɡ  r ˈo p e n
maggsta|m ˈa ɡ ɡ s t a
maghala| m a ɣ ˈa l a
magharibi|m ˌa ɣ a r ˈi b i
magharibina|m ˌa ɣ a r i b ˈi n a
magharini|m ˌa ɣ a r ˈi n i
maghazi|m a ɣ ˈa z i
maghembe|m a ɣ ˈe m b e
maghofu|m a ɣ ˈo f u
maghorofa| m ˌa ɣ o r ˈo f a
maghrabini| m ˌa ɣ  r a b ˈi n i
maghribi| m a ɣ  r ˈi b i
magic|m ˈa ɡ i k
magidanga|m ˌa ɡ i d ˈa ŋ ɡ a
magila|m a ɡ ˈi l a
magimba|m a ɡ ˈi m b a
magimbi|m a ɡ ˈi m b i
magindu|m a ɡ ˈi n d u
maginetiti| m ˌa ɡ i n e t ˈi t i
magisk|m ˈa ɡ i s k
magistern|m a ɡ ˈi s t e r n
magma|m ˈa ɡ m a
magnanimitas|m ˌa ɡ n a n i m ˈi t a s
magnesi|m a ɡ n ˈe s i
magnesiamu|m ˌa ɡ n e s i ˈa m u
magnesiti| m ˌa ɡ n e s ˈi t i
magnet|m ˈa ɡ n e t
magnetic|m a ɡ n ˈe t i k
magnetism|m a ɡ n ˈe t i s m
magnification|m ˌa ɡ n i f ˌi k a t ˈi o n
magnificent| m ˌa ɡ n i f ˈi k e n t
magniziamu| m ˌa ɡ n i z i ˈa m u
magnon|m ˈa ɡ n o n
magnus|m ˈa ɡ n u s
magodoro|m ˌa ɡ o d ˈo r o
magofu|m a ɡ ˈo f u
magogu|m a ɡ ˈo ɡ u
magohaganzali|m ˌa ɡ o h ˌa ɡ a n z ˈa l i
magojwa| m a ɡ ˈo ɟ u a
magoli|m a ɡ ˈo l i
magome|m a ɡ ˈo m e
magomeni|m ˌa ɡ o m ˈe n i
magomvi|m a ɡ ˈo m v i
magomvibasi|m ˌa ɡ o m v i b ˈa s i
magongo|m a ɡ ˈo ŋ ɡ o
magonjwa|m a ɡ ˈo ɲ ɟ u a
magoroto|m ˌa ɡ o r ˈo t o
magoti|m a ɡ ˈo t i
magotini|m ˌa ɡ o t ˈi n i
magovi|m a ɡ ˈo v i
magoyo|m a ɡ ˈo j o
magsjuka|m a ɡ s ɟ ˈu k a
magsurt|m ˈa ɡ s u r t
magu|m ˈa ɡ u
magubike|m ˌa ɡ u b ˈi k e
magufi|m a ɡ ˈu f i
magufri|m a ɡ ˈu f  r i
magufuli|m ˌa ɡ u f ˈu l i
magufulimachinga|m ˌa ɡ u f ˌu l i m a tʃ ˈi ŋ ɡ a
magugu|m a ɡ ˈu ɡ u
magumu|m a ɡ ˈu m u
magunia|m ˌa ɡ u n ˈi a
magurudumu|m ˌa ɡ u r u d ˈu m u
magusano| m ˌa ɡ u s ˈa n o
magwanda| m a ɡ w ˈa n d a
magwiji|m a ɡ w ˈi ɟ i
mahaba|m a h ˈa b a
mahabarata| m ˌa h a b a r ˈa t a
mahabharata|m ˌa h a b h a r ˈa t a
mahabubu| m ˌa h a b ˈu b u
mahadhi|m a h ˈa ð i
mahafiz| m a h ˈa f i z
mahakama|m ˌa h a k ˈa m a
mahakamani|m ˌa h a k a m ˈa n i
mahakani|m ˌa h a k ˈa n i
mahala|m a h ˈa l a
mahalaleli|m ˌa h a l a l ˈe l i
mahale|m a h ˈa l e
mahali|m a h ˈa l i
mahame|m a h ˈa m e
mahandaki|m ˌa h a n d ˈa k i
mahangaiko| m ˌa h a ŋ ɡ a ˈi k o
mahapa|m a h ˈa p a
maharage|m ˌa h a r ˈa ɡ e
