''барс''|''pars''
төчнөөн|tʰot͡ʃʰnoːn
төчнөөнөөрөө|tʰot͡ʃʰnoːnoːroː
төөнөж|tʰoːnot͡ʃ
төөнөн|tʰoːnon
төөрдөг|tʰoːrtoɡ
төөрсн|tʰoːrsn
төөрсөн|tʰoːrson
төөрч|tʰoːrt͡ʃʰ
төөрчхөөд|tʰoːrt͡ʃʰxoːt
төөрөгдүүлсэн|tʰoːroɡtuːɮsɛn
төөрөгдүүлэхгүй|tʰoːroɡtuːɮɛxɡuj
төөрөгдөж|tʰoːroɡtot͡ʃ
төөрөгдөл|tʰoːroɡtoɮ
төөрөгдөлтэй|tʰoːroɡtoɮtʰɛj
төөрөгдөл”|tʰoːroɡtoɮ”
у|ʊ
уайлдын|ʊajɮtiːn
уайлс|ʊajɮs
уашт|ʊaʃtʰ
уб|ʊp
убдс|ʊpts
убег|ʊpJiɡ
убтз|ʊptʰt͡s
убцтс|ʊpt͡sʰtʰs
уваагүй|ʊwaːɡuj
увайгүй|ʊwajɡuj
увайгүй|ʊwajɡuj
увдис|ʊwtis
увдистай|ʊwtistʰaj
увиагүй|ʊwiaɡuj
увс|ʊws
увсад|ʊwsat
увснуур|ʊwsnʊːr
увсын|ʊwsiːn
увс”|ʊws”
уга|ʊɡa
угаагаад|ʊɡaːɡaːt
угаагч|ʊɡaːɡt͡ʃʰ
угаадаг|ʊɡaːtaɡ
угаадаггүй|ʊɡaːtaɡɡuj
угаадас|ʊɡaːtas
угааж|ʊɡaːt͡ʃ
угаал|ʊɡaːɮ
угаалга|ʊɡaːɮɡa
угаалгах|ʊɡaːɮɡax
угаалгын|ʊɡaːɮɡiːn
угаалтуурын|ʊɡaːɮtʰʊːriːn
угаар|ʊɡaːr
угаартах|ʊɡaːrtʰax
угаартуулж|ʊɡaːrtʰʊːɮt͡ʃ
угаарын|ʊɡaːriːn
угаас|ʊɡaːs
угаасаа|ʊɡaːsaː
угаасан|ʊɡaːsan
угаах|ʊɡaːx
угаах”|ʊɡaːx”
угаачихсан|ʊɡaːt͡ʃʰixsan
угав|ʊɡaw
угавидн|ʊɡawitn
угай|ʊɡaj
угалз|ʊɡaɮt͡s
угат|ʊɡatʰ
угатя|ʊɡatʰJa
угач|ʊɡat͡ʃʰ
угаһар|ʊɡaһar
угаһинь|ʊɡaһinʲ
угз|ʊɡt͡s
угзралтаар|ʊɡt͡sraɮtʰaːr
угийн|ʊɡiːn
угсаа|ʊɡsaː
угсааг|ʊɡsaːɡ
угсаанаас|ʊɡsaːnaːs
угсаатай|ʊɡsaːtʰaj
угсаатан|ʊɡsaːtʰan
угсаатнууд|ʊɡsaːtʰnʊːt
угсаатны|ʊɡsaːtʰniː
угсралтын|ʊɡsraɮtʰiːn
угтаа|ʊɡtʰaː
угтаад|ʊɡtʰaːt
угтав|ʊɡtʰaw
угтаж|ʊɡtʰat͡ʃ
угтан|ʊɡtʰan
угтах|ʊɡtʰax
угтахаас|ʊɡtʰaxaːs
угтвар|ʊɡtʰwar
угтсан|ʊɡtʰsan
угтуулсан|ʊɡtʰʊːɮsan
угтэ|ʊɡtʰɛ
угшил|ʊɡʃiɮ
угшилтай|ʊɡʃiɮtʰaj
уд|ʊt
удаагаа|ʊtaːɡaː
удаагаас|ʊtaːɡaːs
удааги|ʊtaːɡi
удаагийн|ʊtaːɡiːn
удаагийнх|ʊtaːɡiːnx
удаагүй|ʊtaːɡuj
удаад|ʊtaːt
удаан|ʊtaːn
удаанаар|ʊtaːnaːr
удаанжаргал|ʊtaːnt͡ʃarɡaɮ
удаантай|ʊtaːntʰaj
удаатай|ʊtaːtʰaj
удаах|ʊtaːx
удааширдаг|ʊtaːʃirtaɡ
удааширна|ʊtaːʃirna
удааширсаар|ʊtaːʃirsaːr
удааширсан|ʊtaːʃirsan
удааширч|ʊtaːʃirt͡ʃʰ
удааширчихсан|ʊtaːʃirt͡ʃʰixsan
удаашрах|ʊtaːʃrax
удаашруулах|ʊtaːʃrʊːɮax
удаашруулбал|ʊtaːʃrʊːɮpaɮ
удав|ʊtaw
удаж|ʊtat͡ʃ
удалгүй|ʊtaɮɡuj
удам|ʊtam
удамт|ʊtamtʰ
удамтай|ʊtamtʰaj
удамшлын|ʊtamʃɮiːn
удандан|ʊtantan
удах|ʊtax
удахад|ʊtaxat
удахгүй|ʊtaxɡuj
удвал|ʊtwaɮ
уддаг|ʊttaɡ
удирдаад|ʊtirtaːt
удирдаарай|ʊtirtaːraj
удирдага|ʊtirtaɡa
удирдагч|ʊtirtaɡt͡ʃʰ
удирдагчаар|ʊtirtaɡt͡ʃʰaːr
удирдагчдыг|ʊtirtaɡt͡ʃʰtiːɡ
удирдагчдын|ʊtirtaɡt͡ʃʰtiːn
удирдагчид|ʊtirtaɡt͡ʃʰit
удирдагчийг|ʊtirtaɡt͡ʃʰiːɡ
удирдагчийн|ʊtirtaɡt͡ʃʰiːn
удирдагч”|ʊtirtaɡt͡ʃʰ”
удирдаж|ʊtirtat͡ʃ
удирдамжаа|ʊtirtamt͡ʃaː
удирдамжийн|ʊtirtamt͡ʃiːn
удирдамж”|ʊtirtamt͡ʃ”
удирдан|ʊtirtan
удирдахаар|ʊtirtaxaːr
удирдахаас|ʊtirtaxaːs
удирдахад|ʊtirtaxat
удирдахдаа|ʊtirtaxtaː
удирдвал|ʊtirtwaɮ
удирддаг|ʊtirttaɡ
удирддаггүй|ʊtirttaɡɡuj
удирдлагаар|ʊtirtɮaɡaːr
удирдлагаас|ʊtirtɮaɡaːs
удирдлагаасаа|ʊtirtɮaɡaːsaː
удирдлагад|ʊtirtɮaɡat
удирдлагатай|ʊtirtɮaɡatʰaj
удирдлагууд|ʊtirtɮaɡʊːt
удирдлагуудаас|ʊtirtɮaɡʊːtaːs
удирдлагуудад|ʊtirtɮaɡʊːtat
удирдлагуудтай|ʊtirtɮaɡʊːttʰaj
удирдлагуудтайгаа|ʊtirtɮaɡʊːttʰajɡaː
удирдлагуудыг|ʊtirtɮaɡʊːtiːɡ
удирдлагуудын|ʊtirtɮaɡʊːtiːn
удирдлагыг|ʊtirtɮaɡiːɡ
удирдлагын|ʊtirtɮaɡiːn
удирдлагынхэлтсийн|ʊtirtɮaɡiːnxɛɮtʰsiːn
удирдсан|ʊtirtsan
удирдуулан|ʊtirtʊːɮan
удиртгалтай|ʊtirtʰɡaɮtʰaj
удл|ʊtɮ
удлаа|ʊtɮaː
удмаас|ʊtmaːs
удмыг|ʊtmiːɡ
удмын|ʊtmiːn
удмынхан|ʊtmiːnxan
удмынхны|ʊtmiːnxniː
удсан|ʊtsan
удтал|ʊttʰaɮ
удчихсан|ʊtt͡ʃʰixsan
удш|ʊtʃ
удэт|ʊtɛtʰ
уеп|ʊJipʰ
уепг|ʊJipʰɡ
уже|ʊt͡ʃJi
узбек|ʊt͡spJikʰ
узбекистаны|ʊt͡spJikʰistʰaniː
уих|ʊix
уйгагүй|ʊiɡaɡuj
уйгар|ʊiɡar
уйгаржин|ʊiɡart͡ʃin
уйдаж|ʊitat͡ʃ
уйдахгүй|ʊitaxɡuj
уйддаг|ʊittaɡ
уйдсан|ʊitsan
уйл|ʊiɮ
уйлаад|ʊiɮaːt
уйлав|ʊiɮaw
уйлалдаад|ʊiɮaɮtaːt
уйлалддаг|ʊiɮaɮttaɡ
уйлан|ʊiɮan
уйланхай|ʊiɮanxaj
уйлах|ʊiɮax
уйлж|ʊiɮt͡ʃ
уйлжээ|ʊiɮt͡ʃɛː
уйллаа|ʊiɮɮaː
уйлна|ʊiɮna
уйлсаар|ʊiɮsaːr
уйлсан|ʊiɮsan
уйлсныг|ʊiɮsniːɡ
уйлуулна|ʊiɮʊːɮna
уйлуулъя|ʊiɮʊːɮъJa
уйлчихдаг|ʊiɮt͡ʃʰixtaɡ
уйлчихсан|ʊiɮt͡ʃʰixsan
уйлчихсангүй|ʊiɮt͡ʃʰixsanɡuj
уймарч|ʊimart͡ʃʰ
уйн|ʊin
уйсн|ʊisn
уйтгар|ʊitʰɡar
уйтгарлаж|ʊitʰɡarɮat͡ʃ
уйтгартай|ʊitʰɡartʰaj
уйтгартайхан|ʊitʰɡartʰajxan
уйчлал|ʊit͡ʃʰɮaɮ
украинд|ʊkʰraint
украинчууд|ʊkʰraint͡ʃʰʊːt
украины|ʊkʰrainiː
украйны|ʊkʰrajniː
ул|ʊɮ
улcыг|ʊɮciːɡ
улаа|ʊɮaː
улаан|ʊɮaːn
улаанаас|ʊɮaːnaːs
улаанбаатар|ʊɮaːnpaːtʰar
улаанбаатараас|ʊɮaːnpaːtʰaraːs
улаанбаатарт|ʊɮaːnpaːtʰartʰ
улаанбаатарчууд|ʊɮaːnpaːtʰart͡ʃʰʊːt
улаанбаатарыг|ʊɮaːnpaːtʰariːɡ
улаанбаатарын|ʊɮaːnpaːtʰariːn
улаанбадрахын|ʊɮaːnpatraxiːn
улаанбуудай|ʊɮaːnpʊːtaj
улаанбуудайгаа|ʊɮaːnpʊːtajɡaː
улаанбуудайн|ʊɮaːnpʊːtajn
улаанцутгалан|ʊɮaːnt͡sʰʊtʰɡaɮan
улаанчулуут|ʊɮaːnt͡ʃʰʊɮʊːtʰ
улааны|ʊɮaːniː
улааныг|ʊɮaːniːɡ
улаач|ʊɮaːt͡ʃʰ
улай|ʊɮaj
улайж|ʊɮajt͡ʃ
улайм|ʊɮajm
улайрал|ʊɮajraɮ
улайралдаа|ʊɮajraɮtaː
улайран|ʊɮajran
улайрна|ʊɮajrna
улайрсан|ʊɮajrsan
улайрч|ʊɮajrt͡ʃʰ
улайсан|ʊɮajsan
улам|ʊɮam
уламжилал|ʊɮamt͡ʃiɮaɮ
уламжилж|ʊɮamt͡ʃiɮt͡ʃ
уламжиллаа|ʊɮamt͡ʃiɮɮaː
уламжилсан|ʊɮamt͡ʃiɮsan
уламжлагдан|ʊɮamt͡ʃɮaɡtan
уламжлал|ʊɮamt͡ʃɮaɮ
уламжлалаа|ʊɮamt͡ʃɮaɮaː
уламжлалаараа|ʊɮamt͡ʃɮaɮaːraː
уламжлалтай|ʊɮamt͡ʃɮaɮtʰaj
уламжлалтайг|ʊɮamt͡ʃɮaɮtʰajɡ
уламжлалтын|ʊɮamt͡ʃɮaɮtʰiːn
уламжлалыг|ʊɮamt͡ʃɮaɮiːɡ
уламжлалын|ʊɮamt͡ʃɮaɮiːn
уламжлан|ʊɮamt͡ʃɮan
уламжлахаар|ʊɮamt͡ʃɮaxaːr
уламлан|ʊɮamɮan
улан|ʊɮan
уландаа|ʊɮantaː
улбаагаар|ʊɮpaːɡaːr
улбаалаад|ʊɮpaːɮaːt
улбаалан|ʊɮpaːɮan
улбаалж|ʊɮpaːɮt͡ʃ
улбаалсан|ʊɮpaːɮsan
улбаатай|ʊɮpaːtʰaj
улбар|ʊɮpar
улдаад|ʊɮtaːt
улдуулах|ʊɮtʊːɮax
улзытуев|ʊɮt͡siːtʰʊJiw
улиастайгаас|ʊɮiastʰajɡaːs
улиг|ʊɮiɡ
улиглах|ʊɮiɡɮax
улир|ʊɮir
улираасан|ʊɮiraːsan
улирал|ʊɮiraɮ
улиралд|ʊɮiraɮt
улиралдаа|ʊɮiraɮtaː
улиран|ʊɮiran
улирлаар|ʊɮirɮaːr
улирлаас|ʊɮirɮaːs
улирлы|ʊɮirɮiː
улирлын|ʊɮirɮiːn
улирч|ʊɮirt͡ʃʰ
улм|ʊɮm
улмаар|ʊɮmaːr
улмаас|ʊɮmaːs
улмаас”|ʊɮmaːs”
улс|ʊɮs
улсаа|ʊɮsaː
улсаар|ʊɮsaːr
улсаараа|ʊɮsaːraː
улсаас|ʊɮsaːs
улсаасаа|ʊɮsaːsaː
улсад|ʊɮsat
улсан|ʊɮsan
улсас|ʊɮsas
улсдаа|ʊɮstaː
улсиг|ʊɮsiɡ
улсин|ʊɮsin
улст|ʊɮstʰ
улстай|ʊɮstʰaj
улстөр|ʊɮstʰor
улстөрд|ʊɮstʰort
улстөрждөггүй|ʊɮstʰort͡ʃtoɡɡuj
улстөржиж|ʊɮstʰort͡ʃit͡ʃ
улстөржилт|ʊɮstʰort͡ʃiɮtʰ
улстөржилтийн|ʊɮstʰort͡ʃiɮtʰiːn
улстөржилттэй|ʊɮstʰort͡ʃiɮtʰtʰɛj
улстөржихгүйгээр|ʊɮstʰort͡ʃixɡujɡɛːr
улстөржсөн|ʊɮstʰort͡ʃson
улстөржүүлдэг|ʊɮstʰort͡ʃuːɮtɛɡ
улстөржүүлэх|ʊɮstʰort͡ʃuːɮɛx
улстөржүүлээд|ʊɮstʰort͡ʃuːɮɛːt
улстөржөөд|ʊɮstʰort͡ʃoːt
улстөрийн|ʊɮstʰoriːn
улстөрч|ʊɮstʰort͡ʃʰ
улстөрчдийг|ʊɮstʰort͡ʃʰtiːɡ
улстөрчдийн|ʊɮstʰort͡ʃʰtiːn
улстөрчдөөс|ʊɮstʰort͡ʃʰtoːs
улстөрчид|ʊɮstʰort͡ʃʰit
улстөрчийг|ʊɮstʰort͡ʃʰiːɡ
улстөрчийн|ʊɮstʰort͡ʃʰiːn
улстөрчтэй|ʊɮstʰort͡ʃʰtʰɛj
улсууд|ʊɮsʊːt
улсуудаар|ʊɮsʊːtaːr
улсуудаараа|ʊɮsʊːtaːraː
улсуудаас|ʊɮsʊːtaːs
улсуудад|ʊɮsʊːtat
улсуудтай|ʊɮsʊːttʰaj
улсуудыг|ʊɮsʊːtiːɡ
улсуудын|ʊɮsʊːtiːn
улсы|ʊɮsiː
улсыг|ʊɮsiːɡ
улсын|ʊɮsiːn
улсынхаа|ʊɮsiːnxaː
улсынхаас|ʊɮsiːnxaːs
улс”|ʊɮs”
ултай|ʊɮtʰaj
улцан|ʊɮt͡sʰan
улыг|ʊɮiːɡ
улын|ʊɮiːn
ума|ʊma
умайн|ʊmajn
умард|ʊmart
умардын|ʊmartiːn
умартаж|ʊmartʰat͡ʃ
умартсан|ʊmartʰsan
умбаж|ʊmpat͡ʃ
умбахад|ʊmpaxat
умшвчи|ʊmʃwt͡ʃʰi
умшдг|ʊmʃtɡ
умшнавидн|ʊmʃnawitn
умшснас|ʊmʃsnas
умшҗанавидн|ʊmʃҗanawitn
ун|ʊn
уна|ʊna
унаа|ʊnaː
унаагаар|ʊnaːɡaːr
унаагүй|ʊnaːɡuj
унаагүйн|ʊnaːɡujn
унаад|ʊnaːt
унаанд|ʊnaːnt
унааны|ʊnaːniː
унаатай|ʊnaːtʰaj
унаач|ʊnaːt͡ʃʰ
унав|ʊnaw
унавал|ʊnawaɮ
унага|ʊnaɡa
унагаа|ʊnaɡaː
унагаад|ʊnaɡaːt
унагааж|ʊnaɡaːt͡ʃ
унагаасан|ʊnaɡaːsan
унагаах|ʊnaɡaːx
унагаахын|ʊnaɡaːxiːn
унагаачихгүй|ʊnaɡaːt͡ʃʰixɡuj
унагаая|ʊnaɡaːJa
унагадаг|ʊnaɡataɡ
унагадаггүй|ʊnaɡataɡɡuj
унагаж|ʊnaɡat͡ʃ
унагажээ|ʊnaɡat͡ʃɛː
унагалаа”|ʊnaɡaɮaː”
унагална|ʊnaɡaɮna
унагалсан|ʊnaɡaɮsan
унаган|ʊnaɡan
унаганууд|ʊnaɡanʊːt
унаганых|ʊnaɡaniːx
унагасан|ʊnaɡasan
унагахаа|ʊnaɡaxaː
унагахгүйгээр|ʊnaɡaxɡujɡɛːr
унагахуйц|ʊnaɡaxʊit͡sʰ
унагахын|ʊnaɡaxiːn
унагачихлаа|ʊnaɡat͡ʃʰixɮaː
унад|ʊnat
унадаг|ʊnataɡ
унаж|ʊnat͡ʃ
унажээ|ʊnat͡ʃɛː
уналаа|ʊnaɮaː
уналага|ʊnaɮaɡa
уналга|ʊnaɮɡa
уналт|ʊnaɮtʰ
уналтад|ʊnaɮtʰat
уналттай|ʊnaɮtʰtʰaj
уналтыг|ʊnaɮtʰiːɡ
уналтын|ʊnaɮtʰiːn
унан|ʊnan
унасан|ʊnasan
унаснаар|ʊnasnaːr
унаснаас|ʊnasnaːs
унасныг|ʊnasniːɡ
унатал|ʊnatʰaɮ
унахаар|ʊnaxaːr
унахад|ʊnaxat
унахгүй|ʊnaxɡuj
унахыг|ʊnaxiːɡ
уначих|ʊnat͡ʃʰix
уначихаад|ʊnat͡ʃʰixaːt
уначихаж|ʊnat͡ʃʰixat͡ʃ
уначихгүйг|ʊnat͡ʃʰixɡujɡ
уначихдаг|ʊnat͡ʃʰixtaɡ
уначихлаа|ʊnat͡ʃʰixɮaː
уначихсан|ʊnat͡ʃʰixsan
унв|ʊnw
унгаад|ʊnɡaːt
унгар|ʊnɡar
унгарууд|ʊnɡarʊːt
унгарын|ʊnɡariːn
унд|ʊnt
ундаа|ʊntaː
ундааг|ʊntaːɡ
ундаагаа|ʊntaːɡaː
ундаагаар|ʊntaːɡaːr
ундаалсан|ʊntaːɮsan
ундаан|ʊntaːn
ундаанаас|ʊntaːnaːs
ундааны|ʊntaːniː
ундар|ʊntar
ундаргыг|ʊntarɡiːɡ
ундардаг|ʊntartaɡ
ундармааг|ʊntarmaːɡ
ундго|ʊntɡɔ
ундны|ʊntniː
ундраа|ʊntraː
ундрал|ʊntraɮ
ундрамын|ʊntramiːn
ундрах|ʊntrax
ундрахыг|ʊntraxiːɡ
ундтай|ʊnttʰaj
ундууцангуй|ʊntʊːt͡sʰanɡʊi
ундыг|ʊntiːɡ
ундынь|ʊntiːnʲ
унжаагүй|ʊnt͡ʃaːɡuj
унжиж|ʊnt͡ʃit͡ʃ
унжилт|ʊnt͡ʃiɮtʰ
униар|ʊniar
унтаагүй|ʊntʰaːɡuj
унтаад|ʊntʰaːt
унтад|ʊntʰat
унтаж|ʊntʰat͡ʃ
унтарна|ʊntʰarna
унтарчихдаг|ʊntʰart͡ʃʰixtaɡ
унтарчихсан|ʊntʰart͡ʃʰixsan
унтахгүй|ʊntʰaxɡuj
унтахдаа|ʊntʰaxtaː
унтвал|ʊntʰwaɮ
унтдаг|ʊntʰtaɡ
унтдаггүй|ʊntʰtaɡɡuj
унтдаггүй”|ʊntʰtaɡɡuj”
унтжээ|ʊntʰt͡ʃɛː
унтл|ʊntʰɮ
унтлагын|ʊntʰɮaɡiːn
унтлго|ʊntʰɮɡɔ
унтмаар|ʊntʰmaːr
унтраа|ʊntʰraː
унтраагүй|ʊntʰraːɡuj
унтраахаар|ʊntʰraːxaːr
унтраахгүй|ʊntʰraːxɡuj
унтрав|ʊntʰraw
унтрлго|ʊntʰrɮɡɔ
унтрхла|ʊntʰrxɮa
унтсан|ʊntʰsan
унтсангүй|ʊntʰsanɡuj
унтсинь|ʊntʰsinʲ
унтсн|ʊntʰsn
унтуулах|ʊntʰʊːɮax
унтуулж|ʊntʰʊːɮt͡ʃ
унтуулна|ʊntʰʊːɮna
унтууцан|ʊntʰʊːt͡sʰan
унтчихаж|ʊntʰt͡ʃʰixat͡ʃ
унтчихжээ|ʊntʰt͡ʃʰixt͡ʃɛː
унтэ|ʊntʰɛ
унтҗ|ʊntʰҗ
унх|ʊnx
унцхав|ʊnt͡sʰxaw
унш|ʊnʃ
уншаагүй|ʊnʃaːɡuj
уншаад|ʊnʃaːt
уншаарай|ʊnʃaːraj
уншвал|ʊnʃwaɮ
уншдаг|ʊnʃtaɡ
уншигдаад|ʊnʃiɡtaːt
уншигдах|ʊnʃiɡtax
уншигч|ʊnʃiɡt͡ʃʰ
уншигчгүй|ʊnʃiɡt͡ʃʰɡuj
уншигчдаа|ʊnʃiɡt͡ʃʰtaː
уншигчдаас|ʊnʃiɡt͡ʃʰtaːs
уншигчдад|ʊnʃiɡt͡ʃʰtat
уншигчдадаа|ʊnʃiɡt͡ʃʰtataː
уншигчдын|ʊnʃiɡt͡ʃʰtiːn
уншигчид|ʊnʃiɡt͡ʃʰit
уншигчийг|ʊnʃiɡt͡ʃʰiːɡ
уншигчтай|ʊnʃiɡt͡ʃʰtʰaj
уншиж|ʊnʃit͡ʃ
уншин|ʊnʃin
уншина|ʊnʃina
уншина”|ʊnʃina”
уншихаар|ʊnʃixaːr
уншихаас|ʊnʃixaːs
уншихад|ʊnʃixat
уншихгүй|ʊnʃixɡuj
уншихдаа|ʊnʃixtaː
уншихыг|ʊnʃixiːɡ
уншлаа|ʊnʃɮaː
уншлага|ʊnʃɮaɡa
уншлага”|ʊnʃɮaɡa”
уншлагын|ʊnʃɮaɡiːn
уншсаар|ʊnʃsaːr
уншсан|ʊnʃsan
уншсангүй|ʊnʃsanɡuj
унштал|ʊnʃtʰaɮ
уншуулаад|ʊnʃʊːɮaːt
уншуулаарай|ʊnʃʊːɮaːraj
уншуулалгүй|ʊnʃʊːɮaɮɡuj
уншуулах|ʊnʃʊːɮax
уншуулахыг|ʊnʃʊːɮaxiːɡ
уншуулдаг|ʊnʃʊːɮtaɡ
уншуулж|ʊnʃʊːɮt͡ʃ
уншуулна|ʊnʃʊːɮna
уншуулсныхаа|ʊnʃʊːɮsniːxaː
уншчихаад|ʊnʃt͡ʃʰixaːt
уншчихав|ʊnʃt͡ʃʰixaw
уншчихад|ʊnʃt͡ʃʰixat
уншъя|ʊnʃъJa
уны|ʊniː
уок|ʊɔkʰ
уотфорд|ʊɔtʰfɔrt
ур|ʊr
ураг|ʊraɡ
урагдаж|ʊraɡtat͡ʃ
урагт|ʊraɡtʰ
урагчилсан|ʊraɡt͡ʃʰiɮsan
урагш|ʊraɡʃ
урагшаа|ʊraɡʃaː
урагшаагаа|ʊraɡʃaːɡaː
урагшгүй|ʊraɡʃɡuj
урагшилна|ʊraɡʃiɮna
урагшилсаар|ʊraɡʃiɮsaːr
урагшилцгаая|ʊraɡʃiɮt͡sʰɡaːJa
урагшлан|ʊraɡʃɮan
урагшлах|ʊraɡʃɮax
урагшлахад|ʊraɡʃɮaxat
урагшлахгүй|ʊraɡʃɮaxɡuj
урагшлуулаад|ʊraɡʃɮʊːɮaːt
урагшлуулах|ʊraɡʃɮʊːɮax
урагшлуулж|ʊraɡʃɮʊːɮt͡ʃ
урагшлуулсаар|ʊraɡʃɮʊːɮsaːr
ураг”|ʊraɡ”
урал|ʊraɮ
уралдаад|ʊraɮtaːt
уралдаан|ʊraɮtaːn
уралдаанд|ʊraɮtaːnt
уралдаант|ʊraɮtaːntʰ
уралдаанууд|ʊraɮtaːnʊːt
уралдааны|ʊraɮtaːniː
уралдааныг|ʊraɮtaːniːɡ
уралдаж|ʊraɮtat͡ʃ
уралдан|ʊraɮtan
уралдана|ʊraɮtana
уралдах|ʊraɮtax
уралдахаа|ʊraɮtaxaː
уралдвал|ʊraɮtwaɮ
уралддаг|ʊraɮttaɡ
уралдсан|ʊraɮtsan
уралдуулан|ʊraɮtʊːɮan
уралдуулахаас|ʊraɮtʊːɮaxaːs
уралдуулдаг|ʊraɮtʊːɮtaɡ
уралдуулж|ʊraɮtʊːɮt͡ʃ
уралцаж|ʊraɮt͡sʰat͡ʃ
уралцдаг|ʊraɮt͡sʰtaɡ
урам|ʊram
урамтай|ʊramtʰaj
урамшиж|ʊramʃit͡ʃ
урамшилтай|ʊramʃiɮtʰaj
урамшин|ʊramʃin
урамшуулагч|ʊramʃʊːɮaɡt͡ʃʰ
урамшуулал|ʊramʃʊːɮaɮ
урамшуулалт|ʊramʃʊːɮaɮtʰ
урамшуулалтай|ʊramʃʊːɮaɮtʰaj
урамшуулах|ʊramʃʊːɮax
урамшууллыг|ʊramʃʊːɮɮiːɡ
урамшууллын|ʊramʃʊːɮɮiːn
уран|ʊran
уранаас|ʊranaːs
уранчимэг|ʊrant͡ʃʰimɛɡ
ураны|ʊraniː
ураныхаа|ʊraniːxaː
урбанизм”|ʊrpanit͡sm”
урваагүй|ʊrwaːɡuj
урваад|ʊrwaːt
урваачийг|ʊrwaːt͡ʃʰiːɡ
урвагч|ʊrwaɡt͡ʃʰ
урвагчдаас|ʊrwaɡt͡ʃʰtaːs
урвадаг|ʊrwataɡ
урвадаггүй|ʊrwataɡɡuj
урваж|ʊrwat͡ʃ
урвал|ʊrwaɮ
урвалж|ʊrwaɮt͡ʃ
урвалыг|ʊrwaɮiːɡ
урван|ʊrwan
урвахгүй|ʊrwaxɡuj
урвуулан|ʊrwʊːɮan
ургаа|ʊrɡaː
ургаад|ʊrɡaːt
ургадаг|ʊrɡataɡ
ургадгаараа|ʊrɡatɡaːraː
ургаж|ʊrɡat͡ʃ
ургалтыг|ʊrɡaɮtʰiːɡ
ургамал|ʊrɡamaɮ
ургамалжилтын|ʊrɡamaɮt͡ʃiɮtʰiːn
ургамлуудыг|ʊrɡamɮʊːtiːɡ
ургамлыг|ʊrɡamɮiːɡ
ургамлын|ʊrɡamɮiːn
урган|ʊrɡan
ургана|ʊrɡana
ургасаар|ʊrɡasaːr
ургасан|ʊrɡasan
ургах|ʊrɡax
ургахаас|ʊrɡaxaːs
ургац|ʊrɡat͡sʰ
ургацаа|ʊrɡat͡sʰaː
ургацтай|ʊrɡat͡sʰtʰaj
ургацын|ʊrɡat͡sʰiːn
ургачихна|ʊrɡat͡ʃʰixna
ургийн|ʊrɡiːn
ургийнхан|ʊrɡiːnxan
ургийнхныг|ʊrɡiːnxniːɡ
ургуулан|ʊrɡʊːɮan
ургуулах|ʊrɡʊːɮax
ургуулахад|ʊrɡʊːɮaxat
ургуулахыг|ʊrɡʊːɮaxiːɡ
ургуулдаг|ʊrɡʊːɮtaɡ
ургуулж|ʊrɡʊːɮt͡ʃ
урд|ʊrt
урдаа|ʊrtaː
урдаас|ʊrtaːs
урдаасаа|ʊrtaːsaː
урдас|ʊrtas
урдаснь|ʊrtasnʲ
урдасчн|ʊrtast͡ʃʰn
урдк|ʊrtkʰ
урдны|ʊrtniː
урднь|ʊrtnʲ
урдуур|ʊrtʊːr
урж|ʊrt͡ʃ
урждар|ʊrt͡ʃtar
уржигдар|ʊrt͡ʃiɡtar
уржинан|ʊrt͡ʃinan
уржнан|ʊrt͡ʃnan
уриа|ʊria
уриаг|ʊriaɡ
уриалаад|ʊriaɮaːt
уриалан|ʊriaɮan
уриалах|ʊriaɮax
уриалга|ʊriaɮɡa
уриалгаар|ʊriaɮɡaːr
уриалгахан|ʊriaɮɡaxan
уриалгыг|ʊriaɮɡiːɡ
уриалдаг|ʊriaɮtaɡ
уриалж|ʊriaɮt͡ʃ
уриалжээ|ʊriaɮt͡ʃɛː
уриаллаа|ʊriaɮɮaː
уриалсан|ʊriaɮsan
уриалъя|ʊriaɮъJa
уриан|ʊrian
уриандаа|ʊriantaː
урианхайн|ʊrianxajn
уриатай|ʊriatʰaj
уригдах|ʊriɡtax
урилаа|ʊriɮaː
урилга|ʊriɮɡa
урилгаар|ʊriɮɡaːr
урилгыг|ʊriɮɡiːɡ
урин|ʊrin
урина|ʊrina
урих|ʊrix
урлагаа|ʊrɮaɡaː
урлагаар|ʊrɮaɡaːr
урлагаараа|ʊrɮaɡaːraː
урлагаас|ʊrɮaɡaːs
урлагийг|ʊrɮaɡiːɡ
урлагийн|ʊrɮaɡiːn
урлагийнхан|ʊrɮaɡiːnxan
урлагийнхны|ʊrɮaɡiːnxniː
урлагт|ʊrɮaɡtʰ
урлагтай|ʊrɮaɡtʰaj
урлажээ|ʊrɮat͡ʃɛː
урлан|ʊrɮan
урлана|ʊrɮana
урланг|ʊrɮanɡ
урлангийн|ʊrɮanɡiːn
урлангуудад|ʊrɮanɡʊːtat
урласан|ʊrɮasan
урлахуйн|ʊrɮaxʊin
урманд|ʊrmant
урмыг|ʊrmiːɡ
урнаагийн|ʊrnaːɡiːn
урологийн|ʊrɔɮɔɡiːn
урсаад|ʊrsaːt
урсаж|ʊrsat͡ʃ
урсан|ʊrsan
урсана|ʊrsana
урсах|ʊrsax
урсац|ʊrsat͡sʰ
урсацыг|ʊrsat͡sʰiːɡ
урсацын|ʊrsat͡sʰiːn
